title	text	path
A	a	https://dictionary.basabali.org/A
Aa	aa	https://dictionary.basabali.org/Aa
Aab	aab	https://dictionary.basabali.org/Aab
Aad	aad	https://dictionary.basabali.org/Aad
Aag	aag	https://dictionary.basabali.org/Aag
Aang	aang	https://dictionary.basabali.org/Aang
Aantaran	aantaran	https://dictionary.basabali.org/Aantaran
Aas	aas	https://dictionary.basabali.org/Aas
Aasan	aasan	https://dictionary.basabali.org/Aasan
Aat-aatan	aat-aatan	https://dictionary.basabali.org/Aat-aatan
Aba	aba	https://dictionary.basabali.org/Aba
Abaang	abaang	https://dictionary.basabali.org/Abaang
Abab	abab	https://dictionary.basabali.org/Abab
Ababan	ababan	https://dictionary.basabali.org/Ababan
Abah	abah	https://dictionary.basabali.org/Abah
Abah uma	abah uma	https://dictionary.basabali.org/Abah_uma
Abah-abah	abah-abah	https://dictionary.basabali.org/Abah-abah
Abang	abang	https://dictionary.basabali.org/Abang
Abang age	abang age	https://dictionary.basabali.org/Abang_age
Abangan	abangan	https://dictionary.basabali.org/Abangan
Abaong	abaong	https://dictionary.basabali.org/Abaong
Abara	abara	https://dictionary.basabali.org/Abara
Abarung	abarung	https://dictionary.basabali.org/Abarung
Abas	abas	https://dictionary.basabali.org/Abas
Abasan	abasan	https://dictionary.basabali.org/Abasan
Abedik	abedik	https://dictionary.basabali.org/Abedik
Aben	aben	https://dictionary.basabali.org/Aben
Abenang	abenang	https://dictionary.basabali.org/Abenang
Abenanga	abenanga	https://dictionary.basabali.org/Abenanga
Abenat	abenat	https://dictionary.basabali.org/Abenat
Abesbes	abesbes	https://dictionary.basabali.org/Abesbes
Abesik	abesik	https://dictionary.basabali.org/Abesik
Abet	abet	https://dictionary.basabali.org/Abet
Abetekan	abetekan	https://dictionary.basabali.org/Abetekan
Abetekan lelintah	abetekan lelintah	https://dictionary.basabali.org/Abetekan_lelintah
Abhogari	abhogari	https://dictionary.basabali.org/Abhogari
Abian	abian	https://dictionary.basabali.org/Abian
Abicara	abicara	https://dictionary.basabali.org/Abicara
Abih	abih	https://dictionary.basabali.org/Abih
Abiha	abiha	https://dictionary.basabali.org/Abiha
Abilan	abilan	https://dictionary.basabali.org/Abilan
Abin	abin	https://dictionary.basabali.org/Abin
Abing	abing	https://dictionary.basabali.org/Abing
Abir	abir	https://dictionary.basabali.org/Abir
Ablegag	ablegag	https://dictionary.basabali.org/Ablegag
Abon	abon	https://dictionary.basabali.org/Abon
Abongkos	abongkos	https://dictionary.basabali.org/Abongkos
Abot	abot	https://dictionary.basabali.org/Abot
Abra	abra	https://dictionary.basabali.org/Abra
Abrésé	abrésé	https://dictionary.basabali.org/Abr%C3%A9s%C3%A9
Absen	absen	https://dictionary.basabali.org/Absen
Abu	abu	https://dictionary.basabali.org/Abu
Abug	abug	https://dictionary.basabali.org/Abug
Abuk	abuk	https://dictionary.basabali.org/Abuk
Abuku	abuku	https://dictionary.basabali.org/Abuku
Abulih	abulih	https://dictionary.basabali.org/Abulih
Abungkul	abungkul	https://dictionary.basabali.org/Abungkul
Abut	abut	https://dictionary.basabali.org/Abut
Acamplusan	acamplusan	https://dictionary.basabali.org/Acamplusan
Acara	acara	https://dictionary.basabali.org/Acara
Acarya	acarya	https://dictionary.basabali.org/Acarya
Acekel	acekel	https://dictionary.basabali.org/Acekel
Acengkang	acengkang	https://dictionary.basabali.org/Acengkang
Acep	acep	https://dictionary.basabali.org/Acep
Acep-acepan	acep-acepan	https://dictionary.basabali.org/Acep-acepan
Acepan	acepan	https://dictionary.basabali.org/Acepan
Acepok	acepok	https://dictionary.basabali.org/Acepok
Aci	aci	https://dictionary.basabali.org/Aci
Aci-aci	aci-aci	https://dictionary.basabali.org/Aci-aci
Acolekan	acolekan	https://dictionary.basabali.org/Acolekan
Acreng	acreng	https://dictionary.basabali.org/Acreng
Acum	acum	https://dictionary.basabali.org/Acum
Acutak	acutak	https://dictionary.basabali.org/Acutak
Ada	ada	https://dictionary.basabali.org/Ada
Adaang	adaang	https://dictionary.basabali.org/Adaang
Adadana	adadana	https://dictionary.basabali.org/Adadana
Adake	adake	https://dictionary.basabali.org/Adake
Adan	adan	https://dictionary.basabali.org/Adan
Adang	adang	https://dictionary.basabali.org/Adang
Adanina	adanina	https://dictionary.basabali.org/Adanina
Adar	adar	https://dictionary.basabali.org/Adar
Adas	adas	https://dictionary.basabali.org/Adas
Adat	adat	https://dictionary.basabali.org/Adat
Adeg	adeg	https://dictionary.basabali.org/Adeg
Adeg kurna	adeg kurna	https://dictionary.basabali.org/Adeg_kurna
Adegan	adegan	https://dictionary.basabali.org/Adegan
Adegan tenggala	adegan tenggala	https://dictionary.basabali.org/Adegan_tenggala
Adek	adek	https://dictionary.basabali.org/Adek
Adem	adem	https://dictionary.basabali.org/Adem
Adenan	adenan	https://dictionary.basabali.org/Adenan
Adeng	adeng	https://dictionary.basabali.org/Adeng
Adeng-adeng	adeng-adeng	https://dictionary.basabali.org/Adeng-adeng
Adengan	adengan	https://dictionary.basabali.org/Adengan
Adep	adep	https://dictionary.basabali.org/Adep
Adepa	adepa	https://dictionary.basabali.org/Adepa
Adepuk	adepuk	https://dictionary.basabali.org/Adepuk
Adi	adi	https://dictionary.basabali.org/Adi
Adi Parwa	adi parwa	https://dictionary.basabali.org/Adi_Parwa
Adi kesuma	adi kesuma	https://dictionary.basabali.org/Adi_kesuma
Adikerti buyana taya murcéta	adikerti buyana taya murcéta	https://dictionary.basabali.org/Adikerti_buyana_taya_murc%C3%A9ta
Adil	adil	https://dictionary.basabali.org/Adil
Adina	adina	https://dictionary.basabali.org/Adina
Adiné	adiné	https://dictionary.basabali.org/Adin%C3%A9
Adiri	adiri	https://dictionary.basabali.org/Adiri
Aditya	aditya	https://dictionary.basabali.org/Aditya
Adnya	adnya	https://dictionary.basabali.org/Adnya
Adoh	adoh	https://dictionary.basabali.org/Adoh
Adol	adol	https://dictionary.basabali.org/Adol
Adol-adolan	adol-adolan	https://dictionary.basabali.org/Adol-adolan
Adola	adola	https://dictionary.basabali.org/Adola
Adolang	adolang	https://dictionary.basabali.org/Adolang
Adonan	adonan	https://dictionary.basabali.org/Adonan
Adri	adri	https://dictionary.basabali.org/Adri
Adu	adu	https://dictionary.basabali.org/Adu
Adua	adua	https://dictionary.basabali.org/Adua
Aduh	aduh	https://dictionary.basabali.org/Aduh
Aduk	aduk	https://dictionary.basabali.org/Aduk
Aduk-aduk	aduk-aduk	https://dictionary.basabali.org/Aduk-aduk
Adukang	adukang	https://dictionary.basabali.org/Adukang
Adung	adung	https://dictionary.basabali.org/Adung
Adungang	adungang	https://dictionary.basabali.org/Adungang
Adwitia	adwitia	https://dictionary.basabali.org/Adwitia
Aeng	aeng	https://dictionary.basabali.org/Aeng
Aep	aep	https://dictionary.basabali.org/Aep
Aet	aet	https://dictionary.basabali.org/Aet
Aga siluman	aga siluman	https://dictionary.basabali.org/Aga_siluman
Agak	agak	https://dictionary.basabali.org/Agak
Agal	agal	https://dictionary.basabali.org/Agal
Agama	agama	https://dictionary.basabali.org/Agama
Age	age	https://dictionary.basabali.org/Age
Agebog	agebog	https://dictionary.basabali.org/Agebog
Agel	agel	https://dictionary.basabali.org/Agel
Agelung	agelung	https://dictionary.basabali.org/Agelung
Agem	agem	https://dictionary.basabali.org/Agem
Agem-ageman	agem-ageman	https://dictionary.basabali.org/Agem-ageman
Agemel	agemel	https://dictionary.basabali.org/Agemel
Agen	agen	https://dictionary.basabali.org/Agen
Agence	agence	https://dictionary.basabali.org/Agence
Ageng	ageng	https://dictionary.basabali.org/Ageng
Aget	aget	https://dictionary.basabali.org/Aget
Agil	agil	https://dictionary.basabali.org/Agil
Agni	agni	https://dictionary.basabali.org/Agni
Agol	agol	https://dictionary.basabali.org/Agol
Agra	agra	https://dictionary.basabali.org/Agra
Agrakara	agrakara	https://dictionary.basabali.org/Agrakara
Agud	agud	https://dictionary.basabali.org/Agud
Aguli	aguli	https://dictionary.basabali.org/Aguli
Agumpitan	agumpitan	https://dictionary.basabali.org/Agumpitan
Agung	agung	https://dictionary.basabali.org/Agung
Ah	ah	https://dictionary.basabali.org/Ah
Ahimsa	ahimsa	https://dictionary.basabali.org/Ahimsa
Ai	ai	https://dictionary.basabali.org/Ai
Aijas	aijas	https://dictionary.basabali.org/Aijas
Aijeng	aijeng	https://dictionary.basabali.org/Aijeng
Aileh	aileh	https://dictionary.basabali.org/Aileh
Aina	aina	https://dictionary.basabali.org/Aina
Air	air	https://dictionary.basabali.org/Air
Ais	ais	https://dictionary.basabali.org/Ais
Aiswaryan	aiswaryan	https://dictionary.basabali.org/Aiswaryan
Ajah	ajah	https://dictionary.basabali.org/Ajah
Ajahan	ajahan	https://dictionary.basabali.org/Ajahan
Ajahin	ajahin	https://dictionary.basabali.org/Ajahin
Ajak	ajak	https://dictionary.basabali.org/Ajak
Ajaka	ajaka	https://dictionary.basabali.org/Ajaka
Ajakanan	ajakanan	https://dictionary.basabali.org/Ajakanan
