title	text	path
Ba	ba	https://dictionary.basabali.org/Ba
Ba Duwur	ba duwur	https://dictionary.basabali.org/Ba_Duwur
Ba duur	ba duur	https://dictionary.basabali.org/Ba_duur
Baa	baa	https://dictionary.basabali.org/Baa
Baag	baag	https://dictionary.basabali.org/Baag
Baag-biing	baag-biing	https://dictionary.basabali.org/Baag-biing
Baah	baah	https://dictionary.basabali.org/Baah
Baak	baak	https://dictionary.basabali.org/Baak
Baan	baan	https://dictionary.basabali.org/Baan
Baana	baana	https://dictionary.basabali.org/Baana
Baang	baang	https://dictionary.basabali.org/Baang
Baanga	baanga	https://dictionary.basabali.org/Baanga
Baas	baas	https://dictionary.basabali.org/Baas
Baas galih	baas galih	https://dictionary.basabali.org/Baas_galih
Baas mes	baas mes	https://dictionary.basabali.org/Baas_mes
Baat	baat	https://dictionary.basabali.org/Baat
Babad	babad	https://dictionary.basabali.org/Babad
Babah	babah	https://dictionary.basabali.org/Babah
Babak	babak	https://dictionary.basabali.org/Babak
Babak belur	babak belur	https://dictionary.basabali.org/Babak_belur
Babakan	babakan	https://dictionary.basabali.org/Babakan
Babang	babang	https://dictionary.basabali.org/Babang
Babar	babar	https://dictionary.basabali.org/Babar
Babasan	babasan	https://dictionary.basabali.org/Babasan
Babat	babat	https://dictionary.basabali.org/Babat
Babatan	babatan	https://dictionary.basabali.org/Babatan
Babaton	babaton	https://dictionary.basabali.org/Babaton
Babedag	babedag	https://dictionary.basabali.org/Babedag
Babetekan	babetekan	https://dictionary.basabali.org/Babetekan
Babih	babih	https://dictionary.basabali.org/Babih
Babit	babit	https://dictionary.basabali.org/Babit
Babita	babita	https://dictionary.basabali.org/Babita
Bablanjan	bablanjan	https://dictionary.basabali.org/Bablanjan
Bablanjanne	bablanjanne	https://dictionary.basabali.org/Bablanjanne
Babuan	babuan	https://dictionary.basabali.org/Babuan
Babuang	babuang	https://dictionary.basabali.org/Babuang
Babuk	babuk	https://dictionary.basabali.org/Babuk
Babuten	babuten	https://dictionary.basabali.org/Babuten
Baca	baca	https://dictionary.basabali.org/Baca
Bacak	bacak	https://dictionary.basabali.org/Bacak
Bacaka	bacaka	https://dictionary.basabali.org/Bacaka
Bacakan	bacakan	https://dictionary.basabali.org/Bacakan
Bacakang	bacakang	https://dictionary.basabali.org/Bacakang
Bacana	bacana	https://dictionary.basabali.org/Bacana
Bacin	bacin	https://dictionary.basabali.org/Bacin
Baco	baco	https://dictionary.basabali.org/Baco
Bacol	bacol	https://dictionary.basabali.org/Bacol
Bada	bada	https://dictionary.basabali.org/Bada
Badah	badah	https://dictionary.basabali.org/Badah
Badaja	badaja	https://dictionary.basabali.org/Badaja
Badajanan	badajanan	https://dictionary.basabali.org/Badajanan
Badak	badak	https://dictionary.basabali.org/Badak
Badangin	badangin	https://dictionary.basabali.org/Badangin
Badauh	badauh	https://dictionary.basabali.org/Badauh
Bade	bade	https://dictionary.basabali.org/Bade
Badeeng	badeeng	https://dictionary.basabali.org/Badeeng
Badeg	badeg	https://dictionary.basabali.org/Badeg
Badelod	badelod	https://dictionary.basabali.org/Badelod
Badeng	badeng	https://dictionary.basabali.org/Badeng
Bades	bades	https://dictionary.basabali.org/Bades
Badi	badi	https://dictionary.basabali.org/Badi
Badih	badih	https://dictionary.basabali.org/Badih
Badoh	badoh	https://dictionary.basabali.org/Badoh
Badong	badong	https://dictionary.basabali.org/Badong
Badung	badung	https://dictionary.basabali.org/Badung
Badungal	badungal	https://dictionary.basabali.org/Badungal
Baduur	baduur	https://dictionary.basabali.org/Baduur
Baem	baem	https://dictionary.basabali.org/Baem
Baga	baga	https://dictionary.basabali.org/Baga
Baged	baged	https://dictionary.basabali.org/Baged
Bagia	bagia	https://dictionary.basabali.org/Bagia
Bagian	bagian	https://dictionary.basabali.org/Bagian
Baglug	baglug	https://dictionary.basabali.org/Baglug
Bagor	bagor	https://dictionary.basabali.org/Bagor
Bagus	bagus	https://dictionary.basabali.org/Bagus
Bah	bah	https://dictionary.basabali.org/Bah
Bah bangun	bah bangun	https://dictionary.basabali.org/Bah_bangun
Bah bedeg	bah bedeg	https://dictionary.basabali.org/Bah_bedeg
Baha	baha	https://dictionary.basabali.org/Baha
Bahang	bahang	https://dictionary.basabali.org/Bahang
Bahanga	bahanga	https://dictionary.basabali.org/Bahanga
Bahni	bahni	https://dictionary.basabali.org/Bahni
Bahu	bahu	https://dictionary.basabali.org/Bahu
Bahu danda	bahu danda	https://dictionary.basabali.org/Bahu_danda
Bahu mantra	bahu mantra	https://dictionary.basabali.org/Bahu_mantra
Bahu pada	bahu pada	https://dictionary.basabali.org/Bahu_pada
Bahu raksa	bahu raksa	https://dictionary.basabali.org/Bahu_raksa
Bahu sastra	bahu sastra	https://dictionary.basabali.org/Bahu_sastra
Baig	baig	https://dictionary.basabali.org/Baig
Baing	baing	https://dictionary.basabali.org/Baing
Baingin	baingin	https://dictionary.basabali.org/Baingin
Bais	bais	https://dictionary.basabali.org/Bais
Baita	baita	https://dictionary.basabali.org/Baita
Bajag	bajag	https://dictionary.basabali.org/Bajag
Bajang	bajang	https://dictionary.basabali.org/Bajang
Bajang-bajang	bajang-bajang	https://dictionary.basabali.org/Bajang-bajang
Baji	baji	https://dictionary.basabali.org/Baji
Bajing	bajing	https://dictionary.basabali.org/Bajing
Bajo	bajo	https://dictionary.basabali.org/Bajo
Bajra	bajra	https://dictionary.basabali.org/Bajra
Baju	baju	https://dictionary.basabali.org/Baju
Baju doplang	baju doplang	https://dictionary.basabali.org/Baju_doplang
Baju kutang	baju kutang	https://dictionary.basabali.org/Baju_kutang
Baju putra	baju putra	https://dictionary.basabali.org/Baju_putra
Baju putri	baju putri	https://dictionary.basabali.org/Baju_putri
Bak	bak	https://dictionary.basabali.org/Bak
Bakal	bakal	https://dictionary.basabali.org/Bakal
Bakang-bakang	bakang-bakang	https://dictionary.basabali.org/Bakang-bakang
Bakat	bakat	https://dictionary.basabali.org/Bakat
Bakbakan	bakbakan	https://dictionary.basabali.org/Bakbakan
