title	text	path
COVID 19	covid 19	https://dictionary.basabali.org/COVID_19
Caak	caak	https://dictionary.basabali.org/Caak
Caak wong	caak wong	https://dictionary.basabali.org/Caak_wong
Cabak	cabak	https://dictionary.basabali.org/Cabak
Cabak-cibik	cabak-cibik	https://dictionary.basabali.org/Cabak-cibik
Cabar	cabar	https://dictionary.basabali.org/Cabar
Cabcab	cabcab	https://dictionary.basabali.org/Cabcab
Cabcaban	cabcaban	https://dictionary.basabali.org/Cabcaban
Cabcabin	cabcabin	https://dictionary.basabali.org/Cabcabin
Cabol	cabol	https://dictionary.basabali.org/Cabol
Cabul	cabul	https://dictionary.basabali.org/Cabul
Cacad	cacad	https://dictionary.basabali.org/Cacad
Cacag-cicig	cacag-cicig	https://dictionary.basabali.org/Cacag-cicig
Cacah	cacah	https://dictionary.basabali.org/Cacah
Cacah Jiwa	cacah jiwa	https://dictionary.basabali.org/Cacah_Jiwa
Cacak	cacak	https://dictionary.basabali.org/Cacak
Cacakaran	cacakaran	https://dictionary.basabali.org/Cacakaran
Cacalan	cacalan	https://dictionary.basabali.org/Cacalan
Cacang	cacang	https://dictionary.basabali.org/Cacang
Cacapan	cacapan	https://dictionary.basabali.org/Cacapan
Cacar	cacar	https://dictionary.basabali.org/Cacar
Cacarang	cacarang	https://dictionary.basabali.org/Cacarang
Cacep	cacep	https://dictionary.basabali.org/Cacep
Cacing	cacing	https://dictionary.basabali.org/Cacing
Cacopahan	cacopahan	https://dictionary.basabali.org/Cacopahan
Cadang	cadang	https://dictionary.basabali.org/Cadang
Cadang gonggang	cadang gonggang	https://dictionary.basabali.org/Cadang_gonggang
Cadangan	cadangan	https://dictionary.basabali.org/Cadangan
Cadangang	cadangang	https://dictionary.basabali.org/Cadangang
Cadel	cadel	https://dictionary.basabali.org/Cadel
Cadelin	cadelin	https://dictionary.basabali.org/Cadelin
Cadelina	cadelina	https://dictionary.basabali.org/Cadelina
Cadik	cadik	https://dictionary.basabali.org/Cadik
Cadik galir	cadik galir	https://dictionary.basabali.org/Cadik_galir
Cadot	cadot	https://dictionary.basabali.org/Cadot
Cadramawa	cadramawa	https://dictionary.basabali.org/Cadramawa
Cag-cag	cag-cag	https://dictionary.basabali.org/Cag-cag
Cagcag	cagcag	https://dictionary.basabali.org/Cagcag
Cagcag-cigcig	cagcag-cigcig	https://dictionary.basabali.org/Cagcag-cigcig
Cager	cager	https://dictionary.basabali.org/Cager
Caglek	caglek	https://dictionary.basabali.org/Caglek
Cagreng	cagreng	https://dictionary.basabali.org/Cagreng
Caguah	caguah	https://dictionary.basabali.org/Caguah
Cahcah	cahcah	https://dictionary.basabali.org/Cahcah
Cahcahan	cahcahan	https://dictionary.basabali.org/Cahcahan
Cai	cai	https://dictionary.basabali.org/Cai
Cakal	cakal	https://dictionary.basabali.org/Cakal
Cakang	cakang	https://dictionary.basabali.org/Cakang
Cakcak	cakcak	https://dictionary.basabali.org/Cakcak
Cakep	cakep	https://dictionary.basabali.org/Cakep
Cakepan	cakepan	https://dictionary.basabali.org/Cakepan
Caket	caket	https://dictionary.basabali.org/Caket
Cakluk	cakluk	https://dictionary.basabali.org/Cakluk
Cakra	cakra	https://dictionary.basabali.org/Cakra
Caksu	caksu	https://dictionary.basabali.org/Caksu
Caku	caku	https://dictionary.basabali.org/Caku
Cakup	cakup	https://dictionary.basabali.org/Cakup
Cakup-cakup	cakup-cakup	https://dictionary.basabali.org/Cakup-cakup
Calcal	calcal	https://dictionary.basabali.org/Calcal
Calekutan	calekutan	https://dictionary.basabali.org/Calekutan
Calep	calep	https://dictionary.basabali.org/Calep
Cali	cali	https://dictionary.basabali.org/Cali
Caling	caling	https://dictionary.basabali.org/Caling
Caling gajah	caling gajah	https://dictionary.basabali.org/Caling_gajah
Calingne	calingne	https://dictionary.basabali.org/Calingne
Calo	calo	https://dictionary.basabali.org/Calo
Calon	calon	https://dictionary.basabali.org/Calon
Calonarang	calonarang	https://dictionary.basabali.org/Calonarang
Caluh	caluh	https://dictionary.basabali.org/Caluh
Caluk	caluk	https://dictionary.basabali.org/Caluk
Calung	calung	https://dictionary.basabali.org/Calung
Calung suling	calung suling	https://dictionary.basabali.org/Calung_suling
Camah	camah	https://dictionary.basabali.org/Camah
Camar	camar	https://dictionary.basabali.org/Camar
Camat	camat	https://dictionary.basabali.org/Camat
Cambeng	cambeng	https://dictionary.basabali.org/Cambeng
Cambra	cambra	https://dictionary.basabali.org/Cambra
Camed	camed	https://dictionary.basabali.org/Camed
Cameng	cameng	https://dictionary.basabali.org/Cameng
Camok	camok	https://dictionary.basabali.org/Camok
Campah	campah	https://dictionary.basabali.org/Campah
Campang	campang	https://dictionary.basabali.org/Campang
Camplung	camplung	https://dictionary.basabali.org/Camplung
Campuh	campuh	https://dictionary.basabali.org/Campuh
Campuhan	campuhan	https://dictionary.basabali.org/Campuhan
Campur	campur	https://dictionary.basabali.org/Campur
Camput	camput	https://dictionary.basabali.org/Camput
Canang	canang	https://dictionary.basabali.org/Canang
Canang genten	canang genten	https://dictionary.basabali.org/Canang_genten
Canang pangraos	canang pangraos	https://dictionary.basabali.org/Canang_pangraos
Canang raka	canang raka	https://dictionary.basabali.org/Canang_raka
Canang sari	canang sari	https://dictionary.basabali.org/Canang_sari
Canange	canange	https://dictionary.basabali.org/Canange
Canda	canda	https://dictionary.basabali.org/Canda
Candakan	candakan	https://dictionary.basabali.org/Candakan
Candala	candala	https://dictionary.basabali.org/Candala
Candala sabda	candala sabda	https://dictionary.basabali.org/Candala_sabda
Candang	candang	https://dictionary.basabali.org/Candang
Candang bengka	candang bengka	https://dictionary.basabali.org/Candang_bengka
Candet	candet	https://dictionary.basabali.org/Candet
Candetan	candetan	https://dictionary.basabali.org/Candetan
Candi	candi	https://dictionary.basabali.org/Candi
Candi bentar	candi bentar	https://dictionary.basabali.org/Candi_bentar
Candi kurung	candi kurung	https://dictionary.basabali.org/Candi_kurung
Candi masuwing	candi masuwing	https://dictionary.basabali.org/Candi_masuwing
Candik	candik	https://dictionary.basabali.org/Candik
Candik jala	candik jala	https://dictionary.basabali.org/Candik_jala
Candra	candra	https://dictionary.basabali.org/Candra
Candra Praleka	candra praleka	https://dictionary.basabali.org/Candra_Praleka
Canduk muka	canduk muka	https://dictionary.basabali.org/Canduk_muka
Candula	candula	https://dictionary.basabali.org/Candula
Candung	candung	https://dictionary.basabali.org/Candung
Cane	cane	https://dictionary.basabali.org/Cane
Caneg	caneg	https://dictionary.basabali.org/Caneg
Cang	cang	https://dictionary.basabali.org/Cang
Cangak	cangak	https://dictionary.basabali.org/Cangak
Cangcang	cangcang	https://dictionary.basabali.org/Cangcang
Cange	cange	https://dictionary.basabali.org/Cange
Canggah	canggah	https://dictionary.basabali.org/Canggah
Canggem	canggem	https://dictionary.basabali.org/Canggem
Cangget	cangget	https://dictionary.basabali.org/Cangget
Canggih	canggih	https://dictionary.basabali.org/Canggih
Canggol	canggol	https://dictionary.basabali.org/Canggol
Canging	canging	https://dictionary.basabali.org/Canging
Cangkah	cangkah	https://dictionary.basabali.org/Cangkah
Cangkem	cangkem	https://dictionary.basabali.org/Cangkem
Cangkir	cangkir	https://dictionary.basabali.org/Cangkir
Cangkling	cangkling	https://dictionary.basabali.org/Cangkling
Cangklong	cangklong	https://dictionary.basabali.org/Cangklong
Cangklung	cangklung	https://dictionary.basabali.org/Cangklung
Cangkok	cangkok	https://dictionary.basabali.org/Cangkok
Cangkokah	cangkokah	https://dictionary.basabali.org/Cangkokah
Cangkrama	cangkrama	https://dictionary.basabali.org/Cangkrama
Cangkrim	cangkrim	https://dictionary.basabali.org/Cangkrim
Cangkring	cangkring	https://dictionary.basabali.org/Cangkring
Canglak	canglak	https://dictionary.basabali.org/Canglak
Cantaka	cantaka	https://dictionary.basabali.org/Cantaka
Cantelan	cantelan	https://dictionary.basabali.org/Cantelan
Canteng	canteng	https://dictionary.basabali.org/Canteng
Cantet	cantet	https://dictionary.basabali.org/Cantet
Canteta	canteta	https://dictionary.basabali.org/Canteta
Cantik	cantik	https://dictionary.basabali.org/Cantik
Canting	canting	https://dictionary.basabali.org/Canting
Cantok	cantok	https://dictionary.basabali.org/Cantok
Cap	cap	https://dictionary.basabali.org/Cap
Cap jempol	cap jempol	https://dictionary.basabali.org/Cap_jempol
Capah	capah	https://dictionary.basabali.org/Capah
Capahan	capahan	https://dictionary.basabali.org/Capahan
Capala	capala	https://dictionary.basabali.org/Capala
Capat	capat	https://dictionary.basabali.org/Capat
Capatin	capatin	https://dictionary.basabali.org/Capatin
Capatina	capatina	https://dictionary.basabali.org/Capatina
Capcae	capcae	https://dictionary.basabali.org/Capcae
Capil	capil	https://dictionary.basabali.org/Capil
Caping	caping	https://dictionary.basabali.org/Caping
Caplag	caplag	https://dictionary.basabali.org/Caplag
Caplak	caplak	https://dictionary.basabali.org/Caplak
Capleng	capleng	https://dictionary.basabali.org/Capleng
Caplok	caplok	https://dictionary.basabali.org/Caplok
Caplus	caplus	https://dictionary.basabali.org/Caplus
Capuh	capuh	https://dictionary.basabali.org/Capuh
Capung	capung	https://dictionary.basabali.org/Capung
Capung gantung	capung gantung	https://dictionary.basabali.org/Capung_gantung
Capung gobogan (maling)	capung gobogan (maling)	https://dictionary.basabali.org/Capung_gobogan_(maling)
Capung klekitikan	capung klekitikan	https://dictionary.basabali.org/Capung_klekitikan
Capung kok (bangkok)	capung kok (bangkok)	https://dictionary.basabali.org/Capung_kok_(bangkok)
Cara	cara	https://dictionary.basabali.org/Cara
