title	text	path
Da	da	https://dictionary.basabali.org/Da
Daag-diig	daag-diig	https://dictionary.basabali.org/Daag-diig
Daah-duuh	daah-duuh	https://dictionary.basabali.org/Daah-duuh
Daar	daar	https://dictionary.basabali.org/Daar
Daara	daara	https://dictionary.basabali.org/Daara
Daarang	daarang	https://dictionary.basabali.org/Daarang
Daaranga	daaranga	https://dictionary.basabali.org/Daaranga
Daat	daat	https://dictionary.basabali.org/Daat
Dabdab	dabdab	https://dictionary.basabali.org/Dabdab
Dacin	dacin	https://dictionary.basabali.org/Dacin
Dada	dada	https://dictionary.basabali.org/Dada
Dadaaran	dadaaran	https://dictionary.basabali.org/Dadaaran
Dadag	dadag	https://dictionary.basabali.org/Dadag
Dadah	dadah	https://dictionary.basabali.org/Dadah
Dadak	dadak	https://dictionary.basabali.org/Dadak
Dadalan	dadalan	https://dictionary.basabali.org/Dadalan
Dadalu	dadalu	https://dictionary.basabali.org/Dadalu
Dadaluman	dadaluman	https://dictionary.basabali.org/Dadaluman
Dadalune	dadalune	https://dictionary.basabali.org/Dadalune
Dadang	dadang	https://dictionary.basabali.org/Dadang
Dadap	dadap	https://dictionary.basabali.org/Dadap
Dadap wong	dadap wong	https://dictionary.basabali.org/Dadap_wong
Dadar	dadar	https://dictionary.basabali.org/Dadar
Dadata	dadata	https://dictionary.basabali.org/Dadata
Dadawuhan	dadawuhan	https://dictionary.basabali.org/Dadawuhan
Dadi	dadi	https://dictionary.basabali.org/Dadi
Dadi ati	dadi ati	https://dictionary.basabali.org/Dadi_ati
Dadi-dadi	dadi-dadi	https://dictionary.basabali.org/Dadi-dadi
Dadia	dadia	https://dictionary.basabali.org/Dadia
Dadiang	dadiang	https://dictionary.basabali.org/Dadiang
Dadinan	dadinan	https://dictionary.basabali.org/Dadinan
Dadinne	dadinne	https://dictionary.basabali.org/Dadinne
Dadong	dadong	https://dictionary.basabali.org/Dadong
Dados	dados	https://dictionary.basabali.org/Dados
Dados katawan	dados katawan	https://dictionary.basabali.org/Dados_katawan
Dadosang	dadosang	https://dictionary.basabali.org/Dadosang
Dadu	dadu	https://dictionary.basabali.org/Dadu
Dadua	dadua	https://dictionary.basabali.org/Dadua
Dadung	dadung	https://dictionary.basabali.org/Dadung
Daem	daem	https://dictionary.basabali.org/Daem
Dag	dag	https://dictionary.basabali.org/Dag
Daga	daga	https://dictionary.basabali.org/Daga
Dagad	dagad	https://dictionary.basabali.org/Dagad
Dagang	dagang	https://dictionary.basabali.org/Dagang
Dagangan	dagangan	https://dictionary.basabali.org/Dagangan
Dagdag	dagdag	https://dictionary.basabali.org/Dagdag
Dagdag-dugdug	dagdag-dugdug	https://dictionary.basabali.org/Dagdag-dugdug
Dagel	dagel	https://dictionary.basabali.org/Dagel
Daging	daging	https://dictionary.basabali.org/Daging
Dagingin	dagingin	https://dictionary.basabali.org/Dagingin
Daha	daha	https://dictionary.basabali.org/Daha
Dahat	dahat	https://dictionary.basabali.org/Dahat
Daja	daja	https://dictionary.basabali.org/Daja
Dakangan	dakangan	https://dictionary.basabali.org/Dakangan
Daken	daken	https://dictionary.basabali.org/Daken
Dakep	dakep	https://dictionary.basabali.org/Dakep
Dakepa	dakepa	https://dictionary.basabali.org/Dakepa
Dakepang	dakepang	https://dictionary.basabali.org/Dakepang
Dakepanga	dakepanga	https://dictionary.basabali.org/Dakepanga
Daki	daki	https://dictionary.basabali.org/Daki
Dakit	dakit	https://dictionary.basabali.org/Dakit
Daksa	daksa	https://dictionary.basabali.org/Daksa
Daksina	daksina	https://dictionary.basabali.org/Daksina
Daksina yana	daksina yana	https://dictionary.basabali.org/Daksina_yana
Dalancang	dalancang	https://dictionary.basabali.org/Dalancang
Dalang	dalang	https://dictionary.basabali.org/Dalang
Dalange	dalange	https://dictionary.basabali.org/Dalange
Dalem	dalem	https://dictionary.basabali.org/Dalem
Daleman	daleman	https://dictionary.basabali.org/Daleman
Dalet	dalet	https://dictionary.basabali.org/Dalet
Dalih	dalih	https://dictionary.basabali.org/Dalih
Dalil	dalil	https://dictionary.basabali.org/Dalil
Dalit	dalit	https://dictionary.basabali.org/Dalit
Dalu	dalu	https://dictionary.basabali.org/Dalu
Daluman	daluman	https://dictionary.basabali.org/Daluman
Dama	dama	https://dictionary.basabali.org/Dama
Damah	damah	https://dictionary.basabali.org/Damah
Damala	damala	https://dictionary.basabali.org/Damala
Damang	damang	https://dictionary.basabali.org/Damang
Damar	damar	https://dictionary.basabali.org/Damar
Damar bron	damar bron	https://dictionary.basabali.org/Damar_bron
Damar kurung	damar kurung	https://dictionary.basabali.org/Damar_kurung
Damar sentir	damar sentir	https://dictionary.basabali.org/Damar_sentir
Damar templek	damar templek	https://dictionary.basabali.org/Damar_templek
Damare	damare	https://dictionary.basabali.org/Damare
Dame	dame	https://dictionary.basabali.org/Dame
Damel	damel	https://dictionary.basabali.org/Damel
Dami	dami	https://dictionary.basabali.org/Dami
Damil	damil	https://dictionary.basabali.org/Damil
Dampar	dampar	https://dictionary.basabali.org/Dampar
Dampeh	dampeh	https://dictionary.basabali.org/Dampeh
Damper	damper	https://dictionary.basabali.org/Damper
Damping	damping	https://dictionary.basabali.org/Damping
Dampingin	dampingin	https://dictionary.basabali.org/Dampingin
Damprat	damprat	https://dictionary.basabali.org/Damprat
Dampuk	dampuk	https://dictionary.basabali.org/Dampuk
Dampukan	dampukan	https://dictionary.basabali.org/Dampukan
Damuh	damuh	https://dictionary.basabali.org/Damuh
Damuh lengis	damuh lengis	https://dictionary.basabali.org/Damuh_lengis
Dana	dana	https://dictionary.basabali.org/Dana
Danan	danan	https://dictionary.basabali.org/Danan
Danarasa	danarasa	https://dictionary.basabali.org/Danarasa
Danawa	danawa	https://dictionary.basabali.org/Danawa
Danda	danda	https://dictionary.basabali.org/Danda
Dandan	dandan	https://dictionary.basabali.org/Dandan
Dane	dane	https://dictionary.basabali.org/Dane
Dang	dang	https://dictionary.basabali.org/Dang
Dang kayangan	dang kayangan	https://dictionary.basabali.org/Dang_kayangan
Dangan	dangan	https://dictionary.basabali.org/Dangan
Danganan	danganan	https://dictionary.basabali.org/Danganan
Dangap-dangap	dangap-dangap	https://dictionary.basabali.org/Dangap-dangap
Dangdang	dangdang	https://dictionary.basabali.org/Dangdang
