title	text	path
Gaa	gaa	https://dictionary.basabali.org/Gaa
Gaak	gaak	https://dictionary.basabali.org/Gaak
Gaak-geek	gaak-geek	https://dictionary.basabali.org/Gaak-geek
Gaak-giik	gaak-giik	https://dictionary.basabali.org/Gaak-giik
Gaal-gaal	gaal-gaal	https://dictionary.basabali.org/Gaal-gaal
Gaan	gaan	https://dictionary.basabali.org/Gaan
Gaang	gaang	https://dictionary.basabali.org/Gaang
Gaang-gaang	gaang-gaang	https://dictionary.basabali.org/Gaang-gaang
Gaangan	gaangan	https://dictionary.basabali.org/Gaangan
Gaangina	gaangina	https://dictionary.basabali.org/Gaangina
Gaap	gaap	https://dictionary.basabali.org/Gaap
Gabag	gabag	https://dictionary.basabali.org/Gabag
Gabah	gabah	https://dictionary.basabali.org/Gabah
Gabeng	gabeng	https://dictionary.basabali.org/Gabeng
Gabes	gabes	https://dictionary.basabali.org/Gabes
Gabiag	gabiag	https://dictionary.basabali.org/Gabiag
Gabin	gabin	https://dictionary.basabali.org/Gabin
Gableh	gableh	https://dictionary.basabali.org/Gableh
Gablug	gablug	https://dictionary.basabali.org/Gablug
Gabor	gabor	https://dictionary.basabali.org/Gabor
Gabuag	gabuag	https://dictionary.basabali.org/Gabuag
Gabung	gabung	https://dictionary.basabali.org/Gabung
Gabur	gabur	https://dictionary.basabali.org/Gabur
Gaburang	gaburang	https://dictionary.basabali.org/Gaburang
Gaburanga	gaburanga	https://dictionary.basabali.org/Gaburanga
Gabus	gabus	https://dictionary.basabali.org/Gabus
Gacel	gacel	https://dictionary.basabali.org/Gacel
Gada	gada	https://dictionary.basabali.org/Gada
Gadab	gadab	https://dictionary.basabali.org/Gadab
Gadaba	gadaba	https://dictionary.basabali.org/Gadaba
Gadabina	gadabina	https://dictionary.basabali.org/Gadabina
Gadagan	gadagan	https://dictionary.basabali.org/Gadagan
Gadang	gadang	https://dictionary.basabali.org/Gadang
Gadangan	gadangan	https://dictionary.basabali.org/Gadangan
