title	text	path
Ha	ha	https://dictionary.basabali.org/Ha
Hak	hak	https://dictionary.basabali.org/Hak
Hareka baya	hareka baya	https://dictionary.basabali.org/Hareka_baya
Harini Pluta	harini pluta	https://dictionary.basabali.org/Harini_Pluta
Hau-hau	hau-hau	https://dictionary.basabali.org/Hau-hau
Heled	heled	https://dictionary.basabali.org/Heled
Hitungan	hitungan	https://dictionary.basabali.org/Hitungan
Hot	hot	https://dictionary.basabali.org/Hot
Hredaya	hredaya	https://dictionary.basabali.org/Hredaya
Hubungan	hubungan	https://dictionary.basabali.org/Hubungan
Hukum	hukum	https://dictionary.basabali.org/Hukum
Hulan kapangan	hulan kapangan	https://dictionary.basabali.org/Hulan_kapangan
Hyang	hyang	https://dictionary.basabali.org/Hyang
Hyun	hyun	https://dictionary.basabali.org/Hyun
