title	text	path
I	i	https://dictionary.basabali.org/I
Ia	ia	https://dictionary.basabali.org/Ia
Iab	iab	https://dictionary.basabali.org/Iab
Iaban	iaban	https://dictionary.basabali.org/Iaban
Iad	iad	https://dictionary.basabali.org/Iad
Iak	iak	https://dictionary.basabali.org/Iak
Iang	iang	https://dictionary.basabali.org/Iang
Ianu	ianu	https://dictionary.basabali.org/Ianu
Ias	ias	https://dictionary.basabali.org/Ias
Iat	iat	https://dictionary.basabali.org/Iat
Iba	iba	https://dictionary.basabali.org/Iba
Iba-iba	iba-iba	https://dictionary.basabali.org/Iba-iba
Ibag	ibag	https://dictionary.basabali.org/Ibag
Ibah	ibah	https://dictionary.basabali.org/Ibah
Ibahang	ibahang	https://dictionary.basabali.org/Ibahang
Ibahanga	ibahanga	https://dictionary.basabali.org/Ibahanga
Ibane	ibane	https://dictionary.basabali.org/Ibane
Ibek	ibek	https://dictionary.basabali.org/Ibek
Ibeng	ibeng	https://dictionary.basabali.org/Ibeng
Iber-iber	iber-iber	https://dictionary.basabali.org/Iber-iber
Ibi	ibi	https://dictionary.basabali.org/Ibi
Ibi puan	ibi puan	https://dictionary.basabali.org/Ibi_puan
Ibi sanja	ibi sanja	https://dictionary.basabali.org/Ibi_sanja
Ibing	ibing	https://dictionary.basabali.org/Ibing
Ibingan	ibingan	https://dictionary.basabali.org/Ibingan
Ibu	ibu	https://dictionary.basabali.org/Ibu
Ibuh	ibuh	https://dictionary.basabali.org/Ibuh
Ibuk	ibuk	https://dictionary.basabali.org/Ibuk
Ibukang	ibukang	https://dictionary.basabali.org/Ibukang
Ibul-ibulan	ibul-ibulan	https://dictionary.basabali.org/Ibul-ibulan
Ibusan	ibusan	https://dictionary.basabali.org/Ibusan
Ica	ica	https://dictionary.basabali.org/Ica
Ical	ical	https://dictionary.basabali.org/Ical
Icalang	icalang	https://dictionary.basabali.org/Icalang
Icang	icang	https://dictionary.basabali.org/Icang
Icen	icen	https://dictionary.basabali.org/Icen
