title	text	path
Ka	ka	https://dictionary.basabali.org/Ka
Kaabenang	kaabenang	https://dictionary.basabali.org/Kaabenang
Kaabut	kaabut	https://dictionary.basabali.org/Kaabut
Kaad	kaad	https://dictionary.basabali.org/Kaad
Kaadan	kaadan	https://dictionary.basabali.org/Kaadan
Kaadin	kaadin	https://dictionary.basabali.org/Kaadin
Kaadol	kaadol	https://dictionary.basabali.org/Kaadol
Kaah-kaah	kaah-kaah	https://dictionary.basabali.org/Kaah-kaah
Kaaksi	kaaksi	https://dictionary.basabali.org/Kaaksi
Kaal	kaal	https://dictionary.basabali.org/Kaal
Kaam	kaam	https://dictionary.basabali.org/Kaam
Kaambe	kaambe	https://dictionary.basabali.org/Kaambe
Kaambedang	kaambedang	https://dictionary.basabali.org/Kaambedang
Kaambedin	kaambedin	https://dictionary.basabali.org/Kaambedin
Kaambena	kaambena	https://dictionary.basabali.org/Kaambena
Kaambil	kaambil	https://dictionary.basabali.org/Kaambil
Kaang	kaang	https://dictionary.basabali.org/Kaang
Kaanggen	kaanggen	https://dictionary.basabali.org/Kaanggen
Kaaptiang	kaaptiang	https://dictionary.basabali.org/Kaaptiang
Kaapus	kaapus	https://dictionary.basabali.org/Kaapus
Kaartiang	kaartiang	https://dictionary.basabali.org/Kaartiang
Kaartosang	kaartosang	https://dictionary.basabali.org/Kaartosang
Kaas	kaas	https://dictionary.basabali.org/Kaas
Kaawesa	kaawesa	https://dictionary.basabali.org/Kaawesa
Kababang	kababang	https://dictionary.basabali.org/Kababang
Kababas	kababas	https://dictionary.basabali.org/Kababas
Kababit	kababit	https://dictionary.basabali.org/Kababit
Kabacakang	kabacakang	https://dictionary.basabali.org/Kabacakang
Kabagusan	kabagusan	https://dictionary.basabali.org/Kabagusan
Kabak	kabak	https://dictionary.basabali.org/Kabak
Kabalihin	kabalihin	https://dictionary.basabali.org/Kabalihin
Kabanda	kabanda	https://dictionary.basabali.org/Kabanda
Kabandingang	kabandingang	https://dictionary.basabali.org/Kabandingang
Kabandingin	kabandingin	https://dictionary.basabali.org/Kabandingin
Kabandreng	kabandreng	https://dictionary.basabali.org/Kabandreng
Kabandungang	kabandungang	https://dictionary.basabali.org/Kabandungang
Kabandungin	kabandungin	https://dictionary.basabali.org/Kabandungin
Kabandut	kabandut	https://dictionary.basabali.org/Kabandut
Kabang	kabang	https://dictionary.basabali.org/Kabang
Kabangan	kabangan	https://dictionary.basabali.org/Kabangan
Kabangetang	kabangetang	https://dictionary.basabali.org/Kabangetang
Kabanggaang	kabanggaang	https://dictionary.basabali.org/Kabanggaang
Kabaos	kabaos	https://dictionary.basabali.org/Kabaos
Kabar	kabar	https://dictionary.basabali.org/Kabar
Kabarang	kabarang	https://dictionary.basabali.org/Kabarang
Kabarengin	kabarengin	https://dictionary.basabali.org/Kabarengin
Kabasmi	kabasmi	https://dictionary.basabali.org/Kabasmi
Kabasta baya	kabasta baya	https://dictionary.basabali.org/Kabasta_baya
Kabaya	kabaya	https://dictionary.basabali.org/Kabaya
Kabayahin	kabayahin	https://dictionary.basabali.org/Kabayahin
Kabebasan	kabebasan	https://dictionary.basabali.org/Kabebasan
Kabebeng	kabebeng	https://dictionary.basabali.org/Kabebeng
Kabecikan	kabecikan	https://dictionary.basabali.org/Kabecikan
Kabecikang	kabecikang	https://dictionary.basabali.org/Kabecikang
Kabedbedang	kabedbedang	https://dictionary.basabali.org/Kabedbedang
Kabedil	kabedil	https://dictionary.basabali.org/Kabedil
Kabegal	kabegal	https://dictionary.basabali.org/Kabegal
Kabelas	kabelas	https://dictionary.basabali.org/Kabelas
Kabelasang	kabelasang	https://dictionary.basabali.org/Kabelasang
Kabelekang	kabelekang	https://dictionary.basabali.org/Kabelekang
Kabelet	kabelet	https://dictionary.basabali.org/Kabelet
Kabelingang	kabelingang	https://dictionary.basabali.org/Kabelingang
Kabenengan	kabenengan	https://dictionary.basabali.org/Kabenengan
Kabesegan	kabesegan	https://dictionary.basabali.org/Kabesegan
Kabesik-besikin	kabesik-besikin	https://dictionary.basabali.org/Kabesik-besikin
Kabesikang	kabesikang	https://dictionary.basabali.org/Kabesikang
Kabet	kabet	https://dictionary.basabali.org/Kabet
Kabiah	kabiah	https://dictionary.basabali.org/Kabiah
Kabiasaan	kabiasaan	https://dictionary.basabali.org/Kabiasaan
Kabih	kabih	https://dictionary.basabali.org/Kabih
Kabilbil	kabilbil	https://dictionary.basabali.org/Kabilbil
Kabinawa	kabinawa	https://dictionary.basabali.org/Kabinawa
Kabisan	kabisan	https://dictionary.basabali.org/Kabisan
Kabiseka	kabiseka	https://dictionary.basabali.org/Kabiseka
Kabiuhan	kabiuhan	https://dictionary.basabali.org/Kabiuhan
Kabkab	kabkab	https://dictionary.basabali.org/Kabkab
Kablinger	kablinger	https://dictionary.basabali.org/Kablinger
Kabrebehan	kabrebehan	https://dictionary.basabali.org/Kabrebehan
Kabungkerang	kabungkerang	https://dictionary.basabali.org/Kabungkerang
Kabunteh	kabunteh	https://dictionary.basabali.org/Kabunteh
Kabupaten	kabupaten	https://dictionary.basabali.org/Kabupaten
Kabuungang	kabuungang	https://dictionary.basabali.org/Kabuungang
Kaca	kaca	https://dictionary.basabali.org/Kaca
Kacacar	kacacar	https://dictionary.basabali.org/Kacacar
Kacadelin	kacadelin	https://dictionary.basabali.org/Kacadelin
Kacahin	kacahin	https://dictionary.basabali.org/Kacahin
Kacahina	kacahina	https://dictionary.basabali.org/Kacahina
Kacai	kacai	https://dictionary.basabali.org/Kacai
Kacain	kacain	https://dictionary.basabali.org/Kacain
Kacakang	kacakang	https://dictionary.basabali.org/Kacakang
Kacanduan	kacanduan	https://dictionary.basabali.org/Kacanduan
Kacang	kacang	https://dictionary.basabali.org/Kacang
Kacang cina	kacang cina	https://dictionary.basabali.org/Kacang_cina
Kacang goreng	kacang goreng	https://dictionary.basabali.org/Kacang_goreng
Kacang jongkok	kacang jongkok	https://dictionary.basabali.org/Kacang_jongkok
Kacang panjang	kacang panjang	https://dictionary.basabali.org/Kacang_panjang
Kacang ranti	kacang ranti	https://dictionary.basabali.org/Kacang_ranti
Kacang rijik/ rincik	kacang rijik/ rincik	https://dictionary.basabali.org/Kacang_rijik/_rincik
Kacang tanah	kacang tanah	https://dictionary.basabali.org/Kacang_tanah
Kacangan	kacangan	https://dictionary.basabali.org/Kacangan
Kacangcang	kacangcang	https://dictionary.basabali.org/Kacangcang
Kacantol	kacantol	https://dictionary.basabali.org/Kacantol
Kacapatin	kacapatin	https://dictionary.basabali.org/Kacapatin
Kacarikin	kacarikin	https://dictionary.basabali.org/Kacarikin
Kacarita	kacarita	https://dictionary.basabali.org/Kacarita
Kace	kace	https://dictionary.basabali.org/Kace
Kacedangin	kacedangin	https://dictionary.basabali.org/Kacedangin
Kacek	kacek	https://dictionary.basabali.org/Kacek
Kaceled	kaceled	https://dictionary.basabali.org/Kaceled
Kacelepang	kacelepang	https://dictionary.basabali.org/Kacelepang
Kacelepin	kacelepin	https://dictionary.basabali.org/Kacelepin
Kacicingan	kacicingan	https://dictionary.basabali.org/Kacicingan
Kacidra	kacidra	https://dictionary.basabali.org/Kacidra
Kacihnayang	kacihnayang	https://dictionary.basabali.org/Kacihnayang
Kacing	kacing	https://dictionary.basabali.org/Kacing
Kacingak	kacingak	https://dictionary.basabali.org/Kacingak
Kacip	kacip	https://dictionary.basabali.org/Kacip
Kacipin	kacipin	https://dictionary.basabali.org/Kacipin
Kacir	kacir	https://dictionary.basabali.org/Kacir
Kacirian	kacirian	https://dictionary.basabali.org/Kacirian
Kacit	kacit	https://dictionary.basabali.org/Kacit
Kaco	kaco	https://dictionary.basabali.org/Kaco
Kacocolang	kacocolang	https://dictionary.basabali.org/Kacocolang
Kacocolin	kacocolin	https://dictionary.basabali.org/Kacocolin
Kacorahan	kacorahan	https://dictionary.basabali.org/Kacorahan
Kacret-kacretan	kacret-kacretan	https://dictionary.basabali.org/Kacret-kacretan
Kacrita	kacrita	https://dictionary.basabali.org/Kacrita
Kacuak	kacuak	https://dictionary.basabali.org/Kacuak
Kacuas	kacuas	https://dictionary.basabali.org/Kacuas
Kacuasin	kacuasin	https://dictionary.basabali.org/Kacuasin
Kacumawis	kacumawis	https://dictionary.basabali.org/Kacumawis
Kacunduk	kacunduk	https://dictionary.basabali.org/Kacunduk
Kacut	kacut	https://dictionary.basabali.org/Kacut
Kadakep	kadakep	https://dictionary.basabali.org/Kadakep
Kadakepang	kadakepang	https://dictionary.basabali.org/Kadakepang
Kadal	kadal	https://dictionary.basabali.org/Kadal
Kadalan	kadalan	https://dictionary.basabali.org/Kadalan
Kadali	kadali	https://dictionary.basabali.org/Kadali
Kadalih	kadalih	https://dictionary.basabali.org/Kadalih
Kadalon	kadalon	https://dictionary.basabali.org/Kadalon
Kadalurung	kadalurung	https://dictionary.basabali.org/Kadalurung
Kadang	kadang	https://dictionary.basabali.org/Kadang
Kadangsahang	kadangsahang	https://dictionary.basabali.org/Kadangsahang
Kadanin	kadanin	https://dictionary.basabali.org/Kadanin
Kadas	kadas	https://dictionary.basabali.org/Kadas
Kadat	kadat	https://dictionary.basabali.org/Kadat
Kadatan	kadatan	https://dictionary.basabali.org/Kadatan
Kadatang	kadatang	https://dictionary.basabali.org/Kadatang
Kadaut	kadaut	https://dictionary.basabali.org/Kadaut
Kadeldel	kadeldel	https://dictionary.basabali.org/Kadeldel
Kadeldelang	kadeldelang	https://dictionary.basabali.org/Kadeldelang
Kadeleng	kadeleng	https://dictionary.basabali.org/Kadeleng
Kaden	kaden	https://dictionary.basabali.org/Kaden
Kadenanga	kadenanga	https://dictionary.basabali.org/Kadenanga
Kadengan	kadengan	https://dictionary.basabali.org/Kadengan
Kadewan-dewan	kadewan-dewan	https://dictionary.basabali.org/Kadewan-dewan
Kadga	kadga	https://dictionary.basabali.org/Kadga
Kadi	kadi	https://dictionary.basabali.org/Kadi
Kadi rasa	kadi rasa	https://dictionary.basabali.org/Kadi_rasa
Kadiatmikan	kadiatmikan	https://dictionary.basabali.org/Kadiatmikan
Kadileng	kadileng	https://dictionary.basabali.org/Kadileng
Kadin	kadin	https://dictionary.basabali.org/Kadin
Kading	kading	https://dictionary.basabali.org/Kading
Kadirasa	kadirasa	https://dictionary.basabali.org/Kadirasa
Kadlumuk	kadlumuk	https://dictionary.basabali.org/Kadlumuk
Kado	kado	https://dictionary.basabali.org/Kado
Kadolop	kadolop	https://dictionary.basabali.org/Kadolop
Kadondonan	kadondonan	https://dictionary.basabali.org/Kadondonan
Kadropon	kadropon	https://dictionary.basabali.org/Kadropon
Kadudukin	kadudukin	https://dictionary.basabali.org/Kadudukin
Kaduegan	kaduegan	https://dictionary.basabali.org/Kaduegan
Kaduenang	kaduenang	https://dictionary.basabali.org/Kaduenang
Kaduk	kaduk	https://dictionary.basabali.org/Kaduk
Kadulurin	kadulurin	https://dictionary.basabali.org/Kadulurin
Kadung	kadung	https://dictionary.basabali.org/Kadung
Kadung biasa	kadung biasa	https://dictionary.basabali.org/Kadung_biasa
Kadut	kadut	https://dictionary.basabali.org/Kadut
Kadutan	kadutan	https://dictionary.basabali.org/Kadutan
Kaeeb	kaeeb	https://dictionary.basabali.org/Kaeeb
Kaeebang	kaeebang	https://dictionary.basabali.org/Kaeebang
Kaeebin	kaeebin	https://dictionary.basabali.org/Kaeebin
Kaeedang	kaeedang	https://dictionary.basabali.org/Kaeedang
Kaenahang	kaenahang	https://dictionary.basabali.org/Kaenahang
Kaenahin	kaenahin	https://dictionary.basabali.org/Kaenahin
Kaencak	kaencak	https://dictionary.basabali.org/Kaencak
Kaencakang	kaencakang	https://dictionary.basabali.org/Kaencakang
Kaenjetang	kaenjetang	https://dictionary.basabali.org/Kaenjetang
Kaentungang (kentungang)	kaentungang (kentungang)	https://dictionary.basabali.org/Kaentungang_(kentungang)
Kaetes	kaetes	https://dictionary.basabali.org/Kaetes
Kagae	kagae	https://dictionary.basabali.org/Kagae
Kagaenang	kagaenang	https://dictionary.basabali.org/Kagaenang
Kagaenin	kagaenin	https://dictionary.basabali.org/Kagaenin
Kagalgal	kagalgal	https://dictionary.basabali.org/Kagalgal
Kagantutang	kagantutang	https://dictionary.basabali.org/Kagantutang
Kagarap	kagarap	https://dictionary.basabali.org/Kagarap
Kagauk	kagauk	https://dictionary.basabali.org/Kagauk
Kagaukang	kagaukang	https://dictionary.basabali.org/Kagaukang
Kagayor	kagayor	https://dictionary.basabali.org/Kagayor
Kagebag	kagebag	https://dictionary.basabali.org/Kagebag
Kagebagin	kagebagin	https://dictionary.basabali.org/Kagebagin
Kagebeg	kagebeg	https://dictionary.basabali.org/Kagebeg
Kagebog	kagebog	https://dictionary.basabali.org/Kagebog
Kagebogin	kagebogin	https://dictionary.basabali.org/Kagebogin
Kagebragin	kagebragin	https://dictionary.basabali.org/Kagebragin
Kagebuhang	kagebuhang	https://dictionary.basabali.org/Kagebuhang
Kagebur	kagebur	https://dictionary.basabali.org/Kagebur
Kagecekin	kagecekin	https://dictionary.basabali.org/Kagecekin
Kagedegang	kagedegang	https://dictionary.basabali.org/Kagedegang
Kagedegin	kagedegin	https://dictionary.basabali.org/Kagedegin
Kagedig	kagedig	https://dictionary.basabali.org/Kagedig
Kagedigang	kagedigang	https://dictionary.basabali.org/Kagedigang
Kagedigin	kagedigin	https://dictionary.basabali.org/Kagedigin
Kagelahang	kagelahang	https://dictionary.basabali.org/Kagelahang
Kagelekang	kagelekang	https://dictionary.basabali.org/Kagelekang
Kagentosin	kagentosin	https://dictionary.basabali.org/Kagentosin
Kaget	kaget	https://dictionary.basabali.org/Kaget
Kagiat	kagiat	https://dictionary.basabali.org/Kagiat
Kagodot	kagodot	https://dictionary.basabali.org/Kagodot
Kagodotang	kagodotang	https://dictionary.basabali.org/Kagodotang
Kagodotin	kagodotin	https://dictionary.basabali.org/Kagodotin
Kagok	kagok	https://dictionary.basabali.org/Kagok
Kagoncangang	kagoncangang	https://dictionary.basabali.org/Kagoncangang
Kahanan	kahanan	https://dictionary.basabali.org/Kahanan
Kahkah	kahkah	https://dictionary.basabali.org/Kahkah
Kahkah dungkah	kahkah dungkah	https://dictionary.basabali.org/Kahkah_dungkah
Kai	kai	https://dictionary.basabali.org/Kai
Kaibahang	kaibahang	https://dictionary.basabali.org/Kaibahang
Kaicen	kaicen	https://dictionary.basabali.org/Kaicen
Kaiis	kaiis	https://dictionary.basabali.org/Kaiis
Kaiisang	kaiisang	https://dictionary.basabali.org/Kaiisang
Kaik	kaik	https://dictionary.basabali.org/Kaik
Kaik-kaik	kaik-kaik	https://dictionary.basabali.org/Kaik-kaik
Kaikan	kaikan	https://dictionary.basabali.org/Kaikan
Kaiket	kaiket	https://dictionary.basabali.org/Kaiket
Kaimpasin	kaimpasin	https://dictionary.basabali.org/Kaimpasin
Kain	kain	https://dictionary.basabali.org/Kain
Kaing-kaing	kaing-kaing	https://dictionary.basabali.org/Kaing-kaing
Kait	kait	https://dictionary.basabali.org/Kait
Kaitan	kaitan	https://dictionary.basabali.org/Kaitan
