title	text	path
Na	na	https://dictionary.basabali.org/Na
Naan	naan	https://dictionary.basabali.org/Naan
Naanang	naanang	https://dictionary.basabali.org/Naanang
Naar	naar	https://dictionary.basabali.org/Naar
Nabag	nabag	https://dictionary.basabali.org/Nabag
Nabahang	nabahang	https://dictionary.basabali.org/Nabahang
Nabas	nabas	https://dictionary.basabali.org/Nabas
Nabasin	nabasin	https://dictionary.basabali.org/Nabasin
Nabdab	nabdab	https://dictionary.basabali.org/Nabdab
Nabe	nabe	https://dictionary.basabali.org/Nabe
Nabeh	nabeh	https://dictionary.basabali.org/Nabeh
Nabehin	nabehin	https://dictionary.basabali.org/Nabehin
Nabeng	nabeng	https://dictionary.basabali.org/Nabeng
Nabengin	nabengin	https://dictionary.basabali.org/Nabengin
Nabi	nabi	https://dictionary.basabali.org/Nabi
Nabianin	nabianin	https://dictionary.basabali.org/Nabianin
Nabingin	nabingin	https://dictionary.basabali.org/Nabingin
Nabrak	nabrak	https://dictionary.basabali.org/Nabrak
Nabuh	nabuh	https://dictionary.basabali.org/Nabuh
Nabung	nabung	https://dictionary.basabali.org/Nabung
Nabungang	nabungang	https://dictionary.basabali.org/Nabungang
Nacin	nacin	https://dictionary.basabali.org/Nacin
Nada	nada	https://dictionary.basabali.org/Nada
Nadah	nadah	https://dictionary.basabali.org/Nadah
Nadahang	nadahang	https://dictionary.basabali.org/Nadahang
Nadak	nadak	https://dictionary.basabali.org/Nadak
Nadi	nadi	https://dictionary.basabali.org/Nadi
Nadian	nadian	https://dictionary.basabali.org/Nadian
Nadiang	nadiang	https://dictionary.basabali.org/Nadiang
Nadongang	nadongang	https://dictionary.basabali.org/Nadongang
Nadtad	nadtad	https://dictionary.basabali.org/Nadtad
Nadtadang	nadtadang	https://dictionary.basabali.org/Nadtadang
Naen	naen	https://dictionary.basabali.org/Naen
Naenin	naenin	https://dictionary.basabali.org/Naenin
Naga	naga	https://dictionary.basabali.org/Naga
Naga banda	naga banda	https://dictionary.basabali.org/Naga_banda
Naga kapulir	naga kapulir	https://dictionary.basabali.org/Naga_kapulir
Naga sampurna	naga sampurna	https://dictionary.basabali.org/Naga_sampurna
Nagan	nagan	https://dictionary.basabali.org/Nagan
Naganin	naganin	https://dictionary.basabali.org/Naganin
Nagasari	nagasari	https://dictionary.basabali.org/Nagasari
Nagdag	nagdag	https://dictionary.basabali.org/Nagdag
Nagecel	nagecel	https://dictionary.basabali.org/Nagecel
Nagel	nagel	https://dictionary.basabali.org/Nagel
Nagelang	nagelang	https://dictionary.basabali.org/Nagelang
Nagen	nagen	https://dictionary.basabali.org/Nagen
Nagih	nagih	https://dictionary.basabali.org/Nagih
Nagihin	nagihin	https://dictionary.basabali.org/Nagihin
Nagingin	nagingin	https://dictionary.basabali.org/Nagingin
Nagok	nagok	https://dictionary.basabali.org/Nagok
Nah	nah	https://dictionary.basabali.org/Nah
Nahen	nahen	https://dictionary.basabali.org/Nahen
Nahenang	nahenang	https://dictionary.basabali.org/Nahenang
Nak	nak	https://dictionary.basabali.org/Nak
Naka	naka	https://dictionary.basabali.org/Naka
Nakal	nakal	https://dictionary.basabali.org/Nakal
Nakeh	nakeh	https://dictionary.basabali.org/Nakeh
Naken	naken	https://dictionary.basabali.org/Naken
Nakenin	nakenin	https://dictionary.basabali.org/Nakenin
Nakep	nakep	https://dictionary.basabali.org/Nakep
Nakepang	nakepang	https://dictionary.basabali.org/Nakepang
Nakes	nakes	https://dictionary.basabali.org/Nakes
Nako	nako	https://dictionary.basabali.org/Nako
Nakonang	nakonang	https://dictionary.basabali.org/Nakonang
Naksir	naksir	https://dictionary.basabali.org/Naksir
Nakti	nakti	https://dictionary.basabali.org/Nakti
Nakula	nakula	https://dictionary.basabali.org/Nakula
Nakutin	nakutin	https://dictionary.basabali.org/Nakutin
Nala	nala	https://dictionary.basabali.org/Nala
Naler	naler	https://dictionary.basabali.org/Naler
Nalet	nalet	https://dictionary.basabali.org/Nalet
Nalika	nalika	https://dictionary.basabali.org/Nalika
Nalit	nalit	https://dictionary.basabali.org/Nalit
Nam	nam	https://dictionary.basabali.org/Nam
Nama	nama	https://dictionary.basabali.org/Nama
Nama rupa	nama rupa	https://dictionary.basabali.org/Nama_rupa
Nambahin	nambahin	https://dictionary.basabali.org/Nambahin
Nambakin	nambakin	https://dictionary.basabali.org/Nambakin
Nambang	nambang	https://dictionary.basabali.org/Nambang
Nambanin	nambanin	https://dictionary.basabali.org/Nambanin
Nambeng	nambeng	https://dictionary.basabali.org/Nambeng
Nambun	nambun	https://dictionary.basabali.org/Nambun
Nambunang	nambunang	https://dictionary.basabali.org/Nambunang
Nambung	nambung	https://dictionary.basabali.org/Nambung
Nambus	nambus	https://dictionary.basabali.org/Nambus
Namiu	namiu	https://dictionary.basabali.org/Namiu
Nampa	nampa	https://dictionary.basabali.org/Nampa
Nampad	nampad	https://dictionary.basabali.org/Nampad
Nampah	nampah	https://dictionary.basabali.org/Nampah
Nampal	nampal	https://dictionary.basabali.org/Nampal
Nampek	nampek	https://dictionary.basabali.org/Nampek
Nampel	nampel	https://dictionary.basabali.org/Nampel
Nampesang	nampesang	https://dictionary.basabali.org/Nampesang
Nampi	nampi	https://dictionary.basabali.org/Nampi
Nampih	nampih	https://dictionary.basabali.org/Nampih
Nampihang	nampihang	https://dictionary.basabali.org/Nampihang
Namping	namping	https://dictionary.basabali.org/Namping
Namplak	namplak	https://dictionary.basabali.org/Namplak
Namprat	namprat	https://dictionary.basabali.org/Namprat
Namu-namu	namu-namu	https://dictionary.basabali.org/Namu-namu
Namunamu	namunamu	https://dictionary.basabali.org/Namunamu
Nanah	nanah	https://dictionary.basabali.org/Nanah
Nanak	nanak	https://dictionary.basabali.org/Nanak
Nanang	nanang	https://dictionary.basabali.org/Nanang
Nanas	nanas	https://dictionary.basabali.org/Nanas
Nanceb	nanceb	https://dictionary.basabali.org/Nanceb
Nanda	nanda	https://dictionary.basabali.org/Nanda
