title	text	path
Ra	ra	https://dictionary.basabali.org/Ra
Raab	raab	https://dictionary.basabali.org/Raab
Raat	raat	https://dictionary.basabali.org/Raat
Rabas	rabas	https://dictionary.basabali.org/Rabas
Rabi	rabi	https://dictionary.basabali.org/Rabi
Rabies	rabies	https://dictionary.basabali.org/Rabies
Rabuk	rabuk	https://dictionary.basabali.org/Rabuk
Racak	racak	https://dictionary.basabali.org/Racak
Racem	racem	https://dictionary.basabali.org/Racem
Racik	racik	https://dictionary.basabali.org/Racik
Racun	racun	https://dictionary.basabali.org/Racun
Radeg	radeg	https://dictionary.basabali.org/Radeg
Rades	rades	https://dictionary.basabali.org/Rades
Raditia	raditia	https://dictionary.basabali.org/Raditia
Raga	raga	https://dictionary.basabali.org/Raga
Raga baya	raga baya	https://dictionary.basabali.org/Raga_baya
Raga nungkuli	raga nungkuli	https://dictionary.basabali.org/Raga_nungkuli
Ragane	ragane	https://dictionary.basabali.org/Ragane
Ragas	ragas	https://dictionary.basabali.org/Ragas
Ragem	ragem	https://dictionary.basabali.org/Ragem
Ragi	ragi	https://dictionary.basabali.org/Ragi
Ragrag	ragrag	https://dictionary.basabali.org/Ragrag
Ragu-ragu	ragu-ragu	https://dictionary.basabali.org/Ragu-ragu
Rah	rah	https://dictionary.basabali.org/Rah
Rahajeng	rahajeng	https://dictionary.basabali.org/Rahajeng
Rahajeng semeng	rahajeng semeng	https://dictionary.basabali.org/Rahajeng_semeng
Rahajeng wanti warsa	rahajeng wanti warsa	https://dictionary.basabali.org/Rahajeng_wanti_warsa
Rahat	rahat	https://dictionary.basabali.org/Rahat
Rahayu	rahayu	https://dictionary.basabali.org/Rahayu
Rahi	rahi	https://dictionary.basabali.org/Rahi
Rahina	rahina	https://dictionary.basabali.org/Rahina
Rahina suda	rahina suda	https://dictionary.basabali.org/Rahina_suda
Rahinan	rahinan	https://dictionary.basabali.org/Rahinan
Rai	rai	https://dictionary.basabali.org/Rai
Rainan	rainan	https://dictionary.basabali.org/Rainan
Rait	rait	https://dictionary.basabali.org/Rait
Raja	raja	https://dictionary.basabali.org/Raja
Raja giri	raja giri	https://dictionary.basabali.org/Raja_giri
Raja keleng	raja keleng	https://dictionary.basabali.org/Raja_keleng
Raja singa	raja singa	https://dictionary.basabali.org/Raja_singa
Raja swala	raja swala	https://dictionary.basabali.org/Raja_swala
Rajah	rajah	https://dictionary.basabali.org/Rajah
Rajah awilah	rajah awilah	https://dictionary.basabali.org/Rajah_awilah
Rajahang	rajahang	https://dictionary.basabali.org/Rajahang
Rajakerta	rajakerta	https://dictionary.basabali.org/Rajakerta
Rajaki	rajaki	https://dictionary.basabali.org/Rajaki
Rajang	rajang	https://dictionary.basabali.org/Rajang
Rajas	rajas	https://dictionary.basabali.org/Rajas
Rajasa	rajasa	https://dictionary.basabali.org/Rajasa
Rajata	rajata	https://dictionary.basabali.org/Rajata
Rajeg	rajeg	https://dictionary.basabali.org/Rajeg
Rajeg wesi	rajeg wesi	https://dictionary.basabali.org/Rajeg_wesi
Rajin	rajin	https://dictionary.basabali.org/Rajin
Rajut	rajut	https://dictionary.basabali.org/Rajut
Rak	rak	https://dictionary.basabali.org/Rak
Raka	raka	https://dictionary.basabali.org/Raka
Raka timpas	raka timpas	https://dictionary.basabali.org/Raka_timpas
Raka-raka	raka-raka	https://dictionary.basabali.org/Raka-raka
Rakasaka	rakasaka	https://dictionary.basabali.org/Rakasaka
Raket	raket	https://dictionary.basabali.org/Raket
Rakit	rakit	https://dictionary.basabali.org/Rakit
Rakrik	rakrik	https://dictionary.basabali.org/Rakrik
Raksa	raksa	https://dictionary.basabali.org/Raksa
Raksasa	raksasa	https://dictionary.basabali.org/Raksasa
Raksasane	raksasane	https://dictionary.basabali.org/Raksasane
Raksasi	raksasi	https://dictionary.basabali.org/Raksasi
Rakta	rakta	https://dictionary.basabali.org/Rakta
Rakyat	rakyat	https://dictionary.basabali.org/Rakyat
Ramayana	ramayana	https://dictionary.basabali.org/Ramayana
Ramban	ramban	https://dictionary.basabali.org/Ramban
Rambang	rambang	https://dictionary.basabali.org/Rambang
Rambat	rambat	https://dictionary.basabali.org/Rambat
Rambug	rambug	https://dictionary.basabali.org/Rambug
Rambun	rambun	https://dictionary.basabali.org/Rambun
Rambut	rambut	https://dictionary.basabali.org/Rambut
Rame	rame	https://dictionary.basabali.org/Rame
Rames	rames	https://dictionary.basabali.org/Rames
Ramia	ramia	https://dictionary.basabali.org/Ramia
Rampag	rampag	https://dictionary.basabali.org/Rampag
Rampas	rampas	https://dictionary.basabali.org/Rampas
Rampe	rampe	https://dictionary.basabali.org/Rampe
Ramped	ramped	https://dictionary.basabali.org/Ramped
Rampiak-rumpiuk	rampiak-rumpiuk	https://dictionary.basabali.org/Rampiak-rumpiuk
Ramping	ramping	https://dictionary.basabali.org/Ramping
Rampok	rampok	https://dictionary.basabali.org/Rampok
Rampung	rampung	https://dictionary.basabali.org/Rampung
Ramram	ramram	https://dictionary.basabali.org/Ramram
Ramu	ramu	https://dictionary.basabali.org/Ramu
Ramuh	ramuh	https://dictionary.basabali.org/Ramuh
Ramyaksara	ramyaksara	https://dictionary.basabali.org/Ramyaksara
Ran	ran	https://dictionary.basabali.org/Ran
Rana	rana	https://dictionary.basabali.org/Rana
Ranang	ranang	https://dictionary.basabali.org/Ranang
Rancab	rancab	https://dictionary.basabali.org/Rancab
Rancag	rancag	https://dictionary.basabali.org/Rancag
Rancang	rancang	https://dictionary.basabali.org/Rancang
Randa-rundu	randa-rundu	https://dictionary.basabali.org/Randa-rundu
Randah	randah	https://dictionary.basabali.org/Randah
Randang-rundung	randang-rundung	https://dictionary.basabali.org/Randang-rundung
Randat	randat	https://dictionary.basabali.org/Randat
Rang rubuhun	rang rubuhun	https://dictionary.basabali.org/Rang_rubuhun
Rangap	rangap	https://dictionary.basabali.org/Rangap
Rangap-rangap	rangap-rangap	https://dictionary.basabali.org/Rangap-rangap
Rangda	rangda	https://dictionary.basabali.org/Rangda
Rangda prakasa	rangda prakasa	https://dictionary.basabali.org/Rangda_prakasa
