title	text	path
S	s	https://dictionary.basabali.org/S
Sa	sa	https://dictionary.basabali.org/Sa
Saa	saa	https://dictionary.basabali.org/Saa
Saab	saab	https://dictionary.basabali.org/Saab
Saab bora	saab bora	https://dictionary.basabali.org/Saab_bora
Saab sari	saab sari	https://dictionary.basabali.org/Saab_sari
Saab-seeb	saab-seeb	https://dictionary.basabali.org/Saab-seeb
Saabin	saabin	https://dictionary.basabali.org/Saabin
Saabina	saabina	https://dictionary.basabali.org/Saabina
Saagan	saagan	https://dictionary.basabali.org/Saagan
Saagang	saagang	https://dictionary.basabali.org/Saagang
Saaganga	saaganga	https://dictionary.basabali.org/Saaganga
Saak	saak	https://dictionary.basabali.org/Saak
Saakang	saakang	https://dictionary.basabali.org/Saakang
Saakanga	saakanga	https://dictionary.basabali.org/Saakanga
Saang	saang	https://dictionary.basabali.org/Saang
Saang pamuun	saang pamuun	https://dictionary.basabali.org/Saang_pamuun
Saang sulah	saang sulah	https://dictionary.basabali.org/Saang_sulah
Saapan	saapan	https://dictionary.basabali.org/Saapan
Saat	saat	https://dictionary.basabali.org/Saat
Saatang	saatang	https://dictionary.basabali.org/Saatang
Saba	saba	https://dictionary.basabali.org/Saba
Saban	saban	https://dictionary.basabali.org/Saban
Sabar	sabar	https://dictionary.basabali.org/Sabar
Sabarengan	sabarengan	https://dictionary.basabali.org/Sabarengan
Sabat	sabat	https://dictionary.basabali.org/Sabat
Sabata	sabata	https://dictionary.basabali.org/Sabata
Sabatang	sabatang	https://dictionary.basabali.org/Sabatang
Sabatanga	sabatanga	https://dictionary.basabali.org/Sabatanga
Sabatek	sabatek	https://dictionary.basabali.org/Sabatek
Sabatin	sabatin	https://dictionary.basabali.org/Sabatin
Sabatina	sabatina	https://dictionary.basabali.org/Sabatina
Sabau	sabau	https://dictionary.basabali.org/Sabau
Sabda	sabda	https://dictionary.basabali.org/Sabda
Sabeh	sabeh	https://dictionary.basabali.org/Sabeh
