title	text	path
Ua	ua	https://dictionary.basabali.org/Ua
Uab-uab	uab-uab	https://dictionary.basabali.org/Uab-uab
Uadan	uadan	https://dictionary.basabali.org/Uadan
Uak	uak	https://dictionary.basabali.org/Uak
Uane	uane	https://dictionary.basabali.org/Uane
Uap	uap	https://dictionary.basabali.org/Uap
Uapin	uapin	https://dictionary.basabali.org/Uapin
Uat	uat	https://dictionary.basabali.org/Uat
Ubad	ubad	https://dictionary.basabali.org/Ubad
Ubag-abig	ubag-abig	https://dictionary.basabali.org/Ubag-abig
Ubah	ubah	https://dictionary.basabali.org/Ubah
Ubaha	ubaha	https://dictionary.basabali.org/Ubaha
Ubal	ubal	https://dictionary.basabali.org/Ubal
Uban	uban	https://dictionary.basabali.org/Uban
Uber	uber	https://dictionary.basabali.org/Uber
Ubes-ubes	ubes-ubes	https://dictionary.basabali.org/Ubes-ubes
Ubetang	ubetang	https://dictionary.basabali.org/Ubetang
Ubetanga	ubetanga	https://dictionary.basabali.org/Ubetanga
Ubi	ubi	https://dictionary.basabali.org/Ubi
Ubuan	ubuan	https://dictionary.basabali.org/Ubuan
Ubud	ubud	https://dictionary.basabali.org/Ubud
Ubuh	ubuh	https://dictionary.basabali.org/Ubuh
Ubuhan	ubuhan	https://dictionary.basabali.org/Ubuhan
Ubungan	ubungan	https://dictionary.basabali.org/Ubungan
Ucem	ucem	https://dictionary.basabali.org/Ucem
Ucur	ucur	https://dictionary.basabali.org/Ucur
Udan mas	udan mas	https://dictionary.basabali.org/Udan_mas
Udang	udang	https://dictionary.basabali.org/Udang
Udange	udange	https://dictionary.basabali.org/Udange
Udek	udek	https://dictionary.basabali.org/Udek
Udel	udel	https://dictionary.basabali.org/Udel
Udem	udem	https://dictionary.basabali.org/Udem
Udeng	udeng	https://dictionary.basabali.org/Udeng
Udeng batik	udeng batik	https://dictionary.basabali.org/Udeng_batik
Udeng bebongkosan	udeng bebongkosan	https://dictionary.basabali.org/Udeng_bebongkosan
Udeng endek	udeng endek	https://dictionary.basabali.org/Udeng_endek
Udeng jejateran	udeng jejateran	https://dictionary.basabali.org/Udeng_jejateran
Udeng prada	udeng prada	https://dictionary.basabali.org/Udeng_prada
Udeng putih	udeng putih	https://dictionary.basabali.org/Udeng_putih
Udeng songket	udeng songket	https://dictionary.basabali.org/Udeng_songket
Udu	udu	https://dictionary.basabali.org/Udu
Udud	udud	https://dictionary.basabali.org/Udud
Uduh	uduh	https://dictionary.basabali.org/Uduh
Ued	ued	https://dictionary.basabali.org/Ued
Uek	uek	https://dictionary.basabali.org/Uek
Uga	uga	https://dictionary.basabali.org/Uga
Ugal	ugal	https://dictionary.basabali.org/Ugal
Uger-uger	uger-uger	https://dictionary.basabali.org/Uger-uger
Ugi	ugi	https://dictionary.basabali.org/Ugi
Ugig	ugig	https://dictionary.basabali.org/Ugig
Ugu	ugu	https://dictionary.basabali.org/Ugu
Ugug	ugug	https://dictionary.basabali.org/Ugug
Ujan	ujan	https://dictionary.basabali.org/Ujan
Ujan angin	ujan angin	https://dictionary.basabali.org/Ujan_angin
Ujan baangan	ujan baangan	https://dictionary.basabali.org/Ujan_baangan
Ujan bales	ujan bales	https://dictionary.basabali.org/Ujan_bales
Ujan ganting	ujan ganting	https://dictionary.basabali.org/Ujan_ganting
Ujan mas	ujan mas	https://dictionary.basabali.org/Ujan_mas
Ujan riris	ujan riris	https://dictionary.basabali.org/Ujan_riris
Ujanan	ujanan	https://dictionary.basabali.org/Ujanan
Ujane	ujane	https://dictionary.basabali.org/Ujane
Ujian	ujian	https://dictionary.basabali.org/Ujian
Ujug	ujug	https://dictionary.basabali.org/Ujug
Ukir	ukir	https://dictionary.basabali.org/Ukir
Ukir-ukiran	ukir-ukiran	https://dictionary.basabali.org/Ukir-ukiran
Ukiran	ukiran	https://dictionary.basabali.org/Ukiran
Uku	uku	https://dictionary.basabali.org/Uku
