title	text	path
Wa	wa	https://dictionary.basabali.org/Wa
Wabah	wabah	https://dictionary.basabali.org/Wabah
Waca	waca	https://dictionary.basabali.org/Waca
Wacakang	wacakang	https://dictionary.basabali.org/Wacakang
Wacakanga	wacakanga	https://dictionary.basabali.org/Wacakanga
Wacana	wacana	https://dictionary.basabali.org/Wacana
Wacen	wacen	https://dictionary.basabali.org/Wacen
Wacika	wacika	https://dictionary.basabali.org/Wacika
Wada	wada	https://dictionary.basabali.org/Wada
Wadah	wadah	https://dictionary.basabali.org/Wadah
Wadahin	wadahin	https://dictionary.basabali.org/Wadahin
Wadana	wadana	https://dictionary.basabali.org/Wadana
Wadih	wadih	https://dictionary.basabali.org/Wadih
Wadon	wadon	https://dictionary.basabali.org/Wadon
Wadua	wadua	https://dictionary.basabali.org/Wadua
Waduk	waduk	https://dictionary.basabali.org/Waduk
Waduk Bererong	waduk bererong	https://dictionary.basabali.org/Waduk_Bererong
Wadung	wadung	https://dictionary.basabali.org/Wadung
Waduri	waduri	https://dictionary.basabali.org/Waduri
Wadé	wadé	https://dictionary.basabali.org/Wad%C3%A9
Wagah	wagah	https://dictionary.basabali.org/Wagah
Wagaha	wagaha	https://dictionary.basabali.org/Wagaha
Wagahang	wagahang	https://dictionary.basabali.org/Wagahang
Wagahanga	wagahanga	https://dictionary.basabali.org/Wagahanga
Wage	wage	https://dictionary.basabali.org/Wage
Waged	waged	https://dictionary.basabali.org/Waged
Wagmi	wagmi	https://dictionary.basabali.org/Wagmi
Wahana	wahana	https://dictionary.basabali.org/Wahana
Wahya	wahya	https://dictionary.basabali.org/Wahya
Wahyu	wahyu	https://dictionary.basabali.org/Wahyu
Wai	wai	https://dictionary.basabali.org/Wai
Wai-waian	wai-waian	https://dictionary.basabali.org/Wai-waian
Waja	waja	https://dictionary.basabali.org/Waja
Wajik	wajik	https://dictionary.basabali.org/Wajik
Wajikin	wajikin	https://dictionary.basabali.org/Wajikin
Wak	wak	https://dictionary.basabali.org/Wak
Wak-wakan	wak-wakan	https://dictionary.basabali.org/Wak-wakan
Waker	waker	https://dictionary.basabali.org/Waker
Wakil	wakil	https://dictionary.basabali.org/Wakil
Wakilang	wakilang	https://dictionary.basabali.org/Wakilang
Wakilanga	wakilanga	https://dictionary.basabali.org/Wakilanga
Wakilin	wakilin	https://dictionary.basabali.org/Wakilin
Wakul	wakul	https://dictionary.basabali.org/Wakul
Waké	waké	https://dictionary.basabali.org/Wak%C3%A9
Wala	wala	https://dictionary.basabali.org/Wala
Walang	walang	https://dictionary.basabali.org/Walang
Walat	walat	https://dictionary.basabali.org/Walat
Waled	waled	https://dictionary.basabali.org/Waled
