title	text	path
Ya	ya	https://dictionary.basabali.org/Ya
Yab	yab	https://dictionary.basabali.org/Yab
Yabin	yabin	https://dictionary.basabali.org/Yabin
Yabina	yabina	https://dictionary.basabali.org/Yabina
Yad	yad	https://dictionary.basabali.org/Yad
Yadian	yadian	https://dictionary.basabali.org/Yadian
Yadiapin	yadiapin	https://dictionary.basabali.org/Yadiapin
Yadiastun	yadiastun	https://dictionary.basabali.org/Yadiastun
Yadin	yadin	https://dictionary.basabali.org/Yadin
Yadnya	yadnya	https://dictionary.basabali.org/Yadnya
Yadnya Sesa	yadnya sesa	https://dictionary.basabali.org/Yadnya_Sesa
Yag	yag	https://dictionary.basabali.org/Yag
Yah	yah	https://dictionary.basabali.org/Yah
Yajamana	yajamana	https://dictionary.basabali.org/Yajamana
Yak	yak	https://dictionary.basabali.org/Yak
Yake	yake	https://dictionary.basabali.org/Yake
Yaksa	yaksa	https://dictionary.basabali.org/Yaksa
Yaksi	yaksi	https://dictionary.basabali.org/Yaksi
Yakti	yakti	https://dictionary.basabali.org/Yakti
Yakula puhun	yakula puhun	https://dictionary.basabali.org/Yakula_puhun
Yakut	yakut	https://dictionary.basabali.org/Yakut
Yama	yama	https://dictionary.basabali.org/Yama
Yan	yan	https://dictionary.basabali.org/Yan
Yanak	yanak	https://dictionary.basabali.org/Yanak
Yandu sampurna	yandu sampurna	https://dictionary.basabali.org/Yandu_sampurna
Yang	yang	https://dictionary.basabali.org/Yang
Yapin	yapin	https://dictionary.basabali.org/Yapin
Yasa	yasa	https://dictionary.basabali.org/Yasa
Yatna	yatna	https://dictionary.basabali.org/Yatna
Yatra	yatra	https://dictionary.basabali.org/Yatra
Yayah	yayah	https://dictionary.basabali.org/Yayah
Yayah rena	yayah rena	https://dictionary.basabali.org/Yayah_rena
Yayi	yayi	https://dictionary.basabali.org/Yayi
Yeh	yeh	https://dictionary.basabali.org/Yeh
Yeh mata	yeh mata	https://dictionary.basabali.org/Yeh_mata
Yeh-yehan	yeh-yehan	https://dictionary.basabali.org/Yeh-yehan
Yehe	yehe	https://dictionary.basabali.org/Yehe
Yen	yen	https://dictionary.basabali.org/Yen
Yen kapo	yen kapo	https://dictionary.basabali.org/Yen_kapo
Yening	yening	https://dictionary.basabali.org/Yening
Yip anjerah	yip anjerah	https://dictionary.basabali.org/Yip_anjerah
Yoga	yoga	https://dictionary.basabali.org/Yoga
Yogi	yogi	https://dictionary.basabali.org/Yogi
Yogia	yogia	https://dictionary.basabali.org/Yogia
Yojana	yojana	https://dictionary.basabali.org/Yojana
Yoni	yoni	https://dictionary.basabali.org/Yoni
Yowana	yowana	https://dictionary.basabali.org/Yowana
Yoyo	yoyo	https://dictionary.basabali.org/Yoyo
Yuana	yuana	https://dictionary.basabali.org/Yuana
Yuda	yuda	https://dictionary.basabali.org/Yuda
Yudistira	yudistira	https://dictionary.basabali.org/Yudistira
Yuga	yuga	https://dictionary.basabali.org/Yuga
Yukti	yukti	https://dictionary.basabali.org/Yukti
Yung	yung	https://dictionary.basabali.org/Yung
Yur	yur	https://dictionary.basabali.org/Yur
Yus	yus	https://dictionary.basabali.org/Yus
Yusa	yusa	https://dictionary.basabali.org/Yusa
Yuta	yuta	https://dictionary.basabali.org/Yuta
Yuyu	yuyu	https://dictionary.basabali.org/Yuyu
Yuyu gringsing	yuyu gringsing	https://dictionary.basabali.org/Yuyu_gringsing
