page_title	page_url	video_url	balinese	english	indonesian
A	https://dictionary.basabali.org/A	https://www.youtube.com/embed/jZMZowqnGNs?	Boni: Lamun kenten, kacang manten icen tiang abungkus, nggih? Ayu: Oh nggih, suksma. Boni: Sareng-sareng, Mbok.	Boni: In that case, you can give me a bag of peanut, okay? Ayu: Oh sure, thank you. Boni: You are welcome, Sister.	Boni: Kalau begitu, saya diberikan saja kacang sebungkus, ya? Ayu: Oh iya, terima kasih. Boni: Sama-sama, Kak.
Aa	https://dictionary.basabali.org/Aa	https://www.youtube.com/embed/-T56ewFJkjY?	Aa..driki driki….driki, Pak, ngaleran.	Yes, here...here..Pak...go toward the north.	Aa..di sini….di sini, Pak, menuju utara.
Aa	https://dictionary.basabali.org/Aa	https://www.youtube.com/embed/d-W_0K2csNU?	Aa, uli i telun, anake suba manyi di umane ane badelodan.	Yes, since three days ago, they were harvesting at the southern rice field area.	Iya, sejak tiga hari lalu, orang sudah panen di ladang sebelah selatan.
Aasan	https://dictionary.basabali.org/Aasan	https://www.youtube.com/embed/WpZbn9Hfe38?	Aasan bungan pohé makacakan di natahé ulian ujané bales gati dibi sanja.	The falling mango flower was scattered on the yard because of heavy rain yesterday afternoon.	Remahan bunga mangga berserakan di halaman rumah karena hujan lebat kemarin sore.
Aba	https://dictionary.basabali.org/Aba	https://www.youtube.com/embed/ISCMjjCelcI?	Apa adane ento, aba satu toples dengan nestar, ditolak ajak dadongne.	What’s that about, he/she brings a jar of nestar (cookies), and grandma rejects them.	Apa namanya itu, dia bawa satu toples nestar, ditolak sama nenek.
Abian	https://dictionary.basabali.org/Abian	https://www.youtube.com/embed/BBfdiFsCQS0?	Sekar: Nah, eh… manis sing salakne niki? Made: Mara mbok ngalap ne di abian.	Sekar: Okay, hey… is this snake fruit sweet? Made: I just picked this from my farm.	Sekar: Ya, eh… manis tidak salaknya ini? Made: Baru saja Kakak petik di kebun.
Abungkul	https://dictionary.basabali.org/Abungkul	https://www.youtube.com/embed/6DLxyOiTIEw?	Sekar: Kuda hargane, Mbok? Made: Lamun manggise akilo dasa tali, markisane limang tali aiket, durene dasa tali abungkul.	Sekar: How much are all? Made: Mangosteens are ten thousands for a kilo, passion fruits are five thousand for a package, and durians are ten thousands each.	Sekar: Berapa harganya, Kak? Made: Kalau manggis sekilonya sepuluh ribu, markisanya lima ribu seikat, durian sepuluh ribu satu buahnya.
Aci	https://dictionary.basabali.org/Aci	https://www.youtube.com/embed/PXh07sRo2o8?	Betara saking Désa Ngis sampun rauh. Aci Gumang warsa 2004.	The Deities of Ngis village, Karangasem, has arrived. Grand ceremony at Bukit Gumang Temple in 2004.	Para Dewa dari Desa Ngis, Karangasem sudah tiba. Upacara besar di Pura Bukit Gumang tahun 2004.
Ada	https://dictionary.basabali.org/Ada	https://www.youtube.com/embed/rQSsEHPKPBM?	Oh, makejang sambel matahe ento basane sing ada ane magoreng?	Oh, do you fry any of the ingredients for the raw chili sauce?	Oh, apakah sambal matah tersebut semua bumbunya tidak ada yang digoreng?
Adan	https://dictionary.basabali.org/Adan	https://www.youtube.com/embed/3gBYvB8dAZ0?	Adan tiang Nengah Sandat. E..umur tiang wau tiga puluh empat tahun.	This… my name Nengah Sandat. Eehhh.. my age is only thirty four years old.	Nama saya Nengah Sandat. E..umur saya baru tiga puluh empat tahun.
