page_title	page_url	video_url	balinese	english	indonesian
Cai	https://dictionary.basabali.org/Cai	https://www.youtube.com/embed/APU7bN4Ra-I?	-	-	-
Calingne	https://dictionary.basabali.org/Calingne	https://www.youtube.com/embed/MfHlzMPKCE8?	Pati kaplug makejang trunané di balé angklungé ento malaib lan paling ngalih tongos mengkeb. Luh Ayu Manik lantas nepukin saja aéng goban raksasané ento. Cara ogoh-ogoh awakné gedé ganggas, nanging makejangné awakne makaput aji plastik, gabus, lan botol plastik. Matanné ngendih cara mesuang api, layahné lantang sajan kanti ngenteg ka tanahé. Calingné rénggah sajan lan mangan. Nepukin unduké ento, lantas Luh Ayu Manik ngorahin Putu Nita mengkeb di durin entik-entikanné. Ditu lantas Luh Ayu Manik masih ngalih tongos mengkeb lan nyuti rupa dadi anak luh magelungan lan mabusana sarwa mas, madan Luh Ayu Manik Mas.	The young men from the bale angklung scattered in all directions and ran about looking for a place to hide. Luh Ayu Manik could also see that the giant’s face was really scary. Like an ogoh-ogoh, it was tall and its body was large but its whole body was covered in plastic, foam and plastic bottles. Its eyes burned like fire and its tongue was very long and touched the ground. Its fangs were long, pointed and sharp. Seeing what was happening, Luh Ayu Manik told Putu Nita to hide in the bushes. And Luh Ayu Manik was also looking for a hiding place to change herself into Luh Ayu Manik Mas wearing a golden crown and golden clothes.	Berhamburan para pemuda di balai angklung itu lari dan bingung mencari tempat bersembunyi. Luh Ayu Manik lalu melihat sendiri wajah raksasa itu memang betul menyeramkan. Seperti ogoh-ogoh, badannya besar tinggi, tetapi seluruh badannya ditutupi plastik, gabus, dan botol plastik. Matanya menyala seperti mengeluarkan api, lidahnya panjang sekali sampai menyentuh tanah. Taringnya panjang, runcing dan tajam. Melihat situasi itu, Luh Ayu Manik lalu menyuruh Putu Nita bersembunyi di balik semak-semak. Luh Ayu Manik saat itu juga mencari tempat bersembunyi untuk berubah wujud menjadi perempuan yang bermahkota dan berbusana serba emas, bernama Luh Ayu Manik Mas.
Calon	https://dictionary.basabali.org/Calon	https://www.youtube.com/embed/CWVM5gT1OGc?	Calon anggota dewane ento saling paluihin ngobral janji, sakewala cara sera panggang sera tunu, disubane maan tongos ane melah engsap teken masyarakat.	Candidates for senate each flaunt the most extravagant promises. Yet, like roasted shrimp paste and grilled shrimp paste, they forgot what their promised once they got their seat (said of a situtaion in which the result of two diffrent actions is the same).	Calon anggota dewan tersebut berlomba mengobral janji sebagus-bagusnya. Akan tetapi, seperti terasi dipanggang terasi dibakar, sesudah mendapat tempat yang bagus, lupa pada masyarakat.
Calonarang	https://dictionary.basabali.org/Calonarang	https://www.youtube.com/embed/HexmvrLwGM8?	A: Swastiastu, Swastiastu! Woe, Woe!! B: Engken??? A: Mai nae! B: Ije? A: Mabalih Calonarang! B: Ije ada calonarang lemah-lemah? A: Nah, mai gen! B: Antos kejep, Bro!! …………………………… B: Bro, mai nae! A: We, ngudiang aken makamben? B: Kone mabalih calonarang! A: Men nak dini mabalih!!	A: Swastiastu, Swastiastu! Ahoy, ahoy!! B: What's up??? A: Come here! B: What's the matter? A: Let's watch a Calonarang show! B: Where can we find a Calonarang show at this time of the day? A: Don't let it bothered you! B: Just hold on a sec,, Bro!! …………………………… B: Let's go, Broi! A: Geesh, what's with the formal attire? B: You said we're going to watch a Calonarang show! A: Yes, but on here!!	"A: Swastiastu, Swastiastu! Woe, woe!! B: Kenapa??? A: Ke sini, dong! B: Ke mana? A: Menonton Calonarang! B: Di mana ada Calonarang siang-siang? A: Ya, ke sini saja! B: Tunggu sebentar, Bro!! …………………………… B: Bro, mari! A: He, kenapa sampai sungguh-sungguh memakai ""kamen""? B: Katanya menonton calonarang! A: Ya, orang nontonnya di sini!!"
Campuhan	https://dictionary.basabali.org/Campuhan	https://www.youtube.com/embed/gNc0FrS1_mE?	Ketut: Yen pun kenten..terus..lurus..masuk desa nika, desa kecil. Guna: Nggih.. Ketut: Pun kenten, wenten tukad drika..jembatan, campuhan wastane, terus nurunang…	Ketut: After that… keep going… keep going straight… entering that village, a small village. Guna: Alright… Ketut: After that, there’s a stream there… a bridge, a confluence that is what it called, then keep made your way…	Ketut: Kalau sudah begitu..terus..lurus..masuk desa itu, desa kecil. Guna: Ya.. Ketut: Sudah begitu, ada sungai di sana..jembatan, campuhan namanya, terus turun…
Canang	https://dictionary.basabali.org/Canang	https://www.youtube.com/embed/x_vpM8RRgu0?	BSBB…..Ne busung, ne semat… Aah….dadi canang. Ne busung, ne baas… Aah dadi tipat. Busung-semat, baas-bu..busung….aah…be..busung-baas-semat-busung! Busung semat baas busung!.....Nyak rasane, nah..	BSBB…..This is busung (immature coconut leaf), this is semat (tiny stick made from bamboo)… Aah….become canang (an offerings made from configuration of flowers with a special form of coconut leaf as its base). This is busung, this is rice… Aah become tipat (a kind of food made of cooked rice in an immature coconut leaf). Busung-semat, rice-bu..busung….aah…be..busung-rice-semat-busung! Busung semat rice busung!.....Seems ok, right..	BSBB…..Ini janur, ini biting… Aah….jadi canang (persembahan berupa rangkaian bunga dengan wadah janur yang dibentuk sedemikian rupa) . Ini janur, ini beras… Aah jadi ketupat. Janur-biting, beras-ja..janur….aah…je..janur-beras-biting-janur! Janur biting beras janur!.....Mau rasanya, ya..
Canang	https://dictionary.basabali.org/Canang	https://www.youtube.com/embed/9OIDvsxCCSk?	Om Swastiastu. Nyanggra rahina Saraswati dinane mangkin, titiang makarya canang raka ajengan madaging raka, taluh, penek, lan saur, jaja, sekar amatra, lan kukus arum.	Peace, Happy Saraswati day, I have a canang raka (medium offering) which contains eggs, fruits, dried grated coconut, cakes, some flowers, and kukus arum incense.	Om Swastyastu, Selamat hari raya Saraswati, saya disini membuat canang raka (persembahan sederhana) dimana terdiri dari telur, aneka buah, kelapa parut kering, kue, bunga, dan dupa kukus arum.
Canang	https://dictionary.basabali.org/Canang	https://www.youtube.com/embed/YZpIicRpYnU?	Niki mawasta canang sari, madaging sekar, mako, pamor, miwah asepan. Suksma.	It is called canang sari, contain flowers, tobacco, lime betel and incense. Thank you.	Ini namanya canang sari, berisi bunga, tembakau, kapur sirih dan dupa. Terima kasih.
Canang raka	https://dictionary.basabali.org/Canang_raka	https://www.youtube.com/embed/9OIDvsxCCSk?	Om Swastiastu. Nyanggra rahina Saraswati dinane mangkin, titiang makarya canang raka ajengan madaging raka, taluh, penek, lan saur, jaja, sekar amatra, lan kukus arum.	Peace, Happy Saraswati day, I have a canang raka (medium offering) which contains eggs, fruits, dried grated coconut, cakes, some flowers, and kukus arum incense.	Om Swastyastu, Selamat hari raya Saraswati, saya disini membuat canang raka (persembahan sederhana) dimana terdiri dari telur, aneka buah, kelapa parut kering, kue, bunga, dan dupa kukus arum.
Canang sari	https://dictionary.basabali.org/Canang_sari	https://www.youtube.com/embed/8w5cocL2ZJ0?	Gek: Anak bajang sane jagi matumbasan canang. Ibuk: Anak istri sane madolan canang ring pasar. Gek : Om Swastiastu, numbas canang sari nika, Buk. Ibuk : Kuda ngrereh Gek? Gek : Lima (5) manten nggih. Ibuk : Niki lima (5) Rp. 15.000 Gek : Niki Bu. (nyukserahang jinah) Ibuk : Jagi lunga kija niki? Gek : Tiang jagi nangkil ka pura Besakih. Niki ten wenten kresek, Buk? Ibuk : Badah ! Engken Gek ne? Ten uning kresek nika nak ngae leteh. Ten dados makta kresek ka pura. Gek : Nggih, jakti nika. Sukma niki. Ibuk : Nah, kenten kan jegeg. Gek : Ngiring, Buk.	Gek: teenagers who will buy canang. Ibu : a woman who sells canang on the market. Gek: Om Swastiastu, want to buy canang sari, ma'am. Ibu : How much do you want to buy? Ge: Five, Mom Ibu : These five canang cost Rp. 15,000 Gek: This is, ma'am. (give money) Ibu : Where do you want to go? Gek: I will go to the Besakih temple. No crackle bag, ma'am? Ibu : Geez, whats wrong with you, don't you know if the crackle bag makes it dirty? You can't bring a crackle bag to the temple. Gek: Yeah, that's right. thanks. Ibu : Well, that's beautiful. Gek: Come on, ma'am.	Gek: remaja yang akan membeli canang. Ibu: perempuan yang menjual canang di pasar. Gek : Om Swastiastu, mau beli canang sari, Bu. Ibu : Mau beli berapa? Ge : Lima buah saja, Bu Ibu : Ini lima buah harganya Rp 15.000,- Gek : Ini, Bu. (nyukserahang jinah) Ibu : Mau pergi kemana ini? Gek : Saya akan pergi ke pura Besakih. Tidak ada tas kresek, Bu? Ibu : Waduh, bagaimana sih Gek ini, tidak tahu ya kalau tas kresek itu membuat kotor? Kan tidak boleh membawa tas kresek ke pura. Gek : Iya, benar itu. Terima kasih. Ibu : Nah, begitu kan cantik. Gek : Mari, Bu.
