page_title	page_url	video_url	balinese	english	indonesian
E	https://dictionary.basabali.org/E	https://www.youtube.com/embed/JDpLia5Fan0?	Basa warisan sane sampun…berabad-abad ring jagate. Angge pisan (basa Bali)!	Heritage language that centuries in the world. Use it (the Balinese language)!	Bahasa warisan yang sudah berabad-abad di dunia. Pakailah (bahasa Bali)!
Eda	https://dictionary.basabali.org/Eda	https://www.youtube.com/embed/hzVU2xR_4zU?	Eda bes sanget kenehanga, nyanan lempuyengan. Nika sampun, Kak, punapi carane ngilangang?	Don’t think too much about it, you may get headache later. That’s true, Grandpa, how to relieve it?	Jangan terlalu dipikirkan, nanti pusing. Itu dia, Kek, bagaimana cara menghilangkannya?
Eka Dasa Rudra	https://dictionary.basabali.org/Eka_Dasa_Rudra	https://www.youtube.com/embed/AFoG7xbx7n8?	-	The Eleven Powers: Movie about the Eka Dasa Rudra ceremony in 1979.	-
Elahan	https://dictionary.basabali.org/Elahan	https://www.youtube.com/embed/OYrei3SbgWs?	Sambilanga madaar ia ngenehang apa ane makada musti nguangin nganggon plastik. Yadiastun ia masih mapineh plastik ento liu kawigunane, umpamine anggon wadah bablanjan lan anggon wadah canang ri kala Purnama ka sekolah. Buina nganggon plastik liu ngaenang gaene elahan. Tusing perlu repot, disubane suud nganggon lantas entungang dogen ka tong sampahe. Kanti nasine telah, ia masih enu ngenehang unduke ento.	While she was eating, she thought of reasons why she should use less plastic … even though she thought that plastic had many uses, for example, as a bag for carrying shopping and as a container for taking offerings to school when there is a full moon. Furthermore, using plastic makes work easier. No fuss … after you have used it, you just throw it in the trash. She thought about such things all the way through her meal.	Sambil makan ia memikirkan alasan harus mengurangi penggunaan plastik. Meski menurutnya plastik itu banyak gunanya, misalnya untuk wadah barang-barang ketika berbelanja dan sebagai tempat canang ke sekolah saat Purnama. Tambahan pula, plastik membuat pekerjaan lebih mudah. Tidak perlu repot. Selesai dipakai, tinggal buang saja ke tong sampah. Sampai habis nasinya, ia masih memikirkan hal itu.
Embang	https://dictionary.basabali.org/Embang	https://www.youtube.com/embed/_aI3-sBGogk?	Di tongos ane hening lan di tongos ane embang.	In a tranquil and open place.	Di tempat yang hening dan di tempat yang lapang.
Embuh	https://dictionary.basabali.org/Embuh	https://www.youtube.com/embed/2dUmsc3PHbM?	Guna: Jam kuda Ibu mulai madagang? Wayan: Tiang jam nem pesu. Jam nem semeng nika. Paling lambat jam pitu embuh saprapat tiang ampun..balik mulih.	Guna: What time do you start selling? Wayan: I go out at six o'clock. Six o'clock in the morning that is. At the latest ... at quarter to seven ... I am already back at home.	Guna: Jam berapa Ibu mulai berjualan? Wayan: Saya jam enam keluar. Jam enam pagi itu. Paling lambat jam tujuh kurang seperempat saya sudah..kembali pulang.
Encen	https://dictionary.basabali.org/Encen	https://www.youtube.com/embed/uNIi_HTThCM?	Made: Sepeda ane encen lakar sewan, Putra? Putra: Sane niki manten, Beli Made.	Made: Which bike will you rent, Putra? Putra: Just this one, Brother Made.	Made: Sepeda yang mana hendak disewa, Putra? Putra: Yang ini saja, Kak Made.
Encol	https://dictionary.basabali.org/Encol	https://www.youtube.com/embed/nQSM1NMFixY?	Galahe sube jam dasa lebih seprapat peteng, munyin motor magerengan macelep mulihan. Encol Men Budi nyeeb jendela. Tepukine lantas i De Budi tuun uling sepeda motor. dilanjutkan di sini: http://dictionary.basabali.org/Magerengan_-_Purwaka	It was 10.15 at night and the sound of a motorbike entering the yard could be heard. Men Budi quickly peered through the window. She saw De Budi getting off the bike. Continued here: http://dictionary.basabali.org/Magerengan_-_Background	Waktu sudah menunjukkan jam 10 malam, suara motor terdengar masuk ke rumah. Cepat-cepat Men Budi menengok lewat jendela. Terlihat De Budi turun dari sepeda motor. dilanjutkan di sini: http://dictionary.basabali.org/Magerengan_-_Pendahulan
Endag	https://dictionary.basabali.org/Endag	https://www.youtube.com/embed/ptsAEP5HZHE?	Matan aine endag uli kangin.	The sun is rising from the east.	Matahari sedang terbit dari timur.
Endek	https://dictionary.basabali.org/Endek	https://www.youtube.com/embed/JoYnYrUVyMk?	-	Endek weaving process	proses tenun endek.
