page_title	page_url	video_url	balinese	english	indonesian
Gae	https://dictionary.basabali.org/Gae	https://www.youtube.com/embed/79FGSojClvw?	Buka yeh di don candunge, kenehne setata linglung, paling katungkul ngalih tutur. Gae kutang tuara ada nawang.	Like water on a taro’s leaf, his mind is confused, unsteady for clarity. Unknowningly his work was left unfinished.	Seperti air di daun talas, pikirannya selalu linglung, bingung mencari pencerahan. Kerja ditinggal tak diketahui.
Gaene	https://dictionary.basabali.org/Gaene	https://www.youtube.com/embed/OYrei3SbgWs?	Sambilanga madaar ia ngenehang apa ane makada musti nguangin nganggon plastik. Yadiastun ia masih mapineh plastik ento liu kawigunane, umpamine anggon wadah bablanjan lan anggon wadah canang ri kala Purnama ka sekolah. Buina nganggon plastik liu ngaenang gaene elahan. Tusing perlu repot, disubane suud nganggon lantas entungang dogen ka tong sampahe. Kanti nasine telah, ia masih enu ngenehang unduke ento.	While she was eating, she thought of reasons why she should use less plastic … even though she thought that plastic had many uses, for example, as a bag for carrying shopping and as a container for taking offerings to school when there is a full moon. Furthermore, using plastic makes work easier. No fuss … after you have used it, you just throw it in the trash. She thought about such things all the way through her meal.	Sambil makan ia memikirkan alasan harus mengurangi penggunaan plastik. Meski menurutnya plastik itu banyak gunanya, misalnya untuk wadah barang-barang ketika berbelanja dan sebagai tempat canang ke sekolah saat Purnama. Tambahan pula, plastik membuat pekerjaan lebih mudah. Tidak perlu repot. Selesai dipakai, tinggal buang saja ke tong sampah. Sampai habis nasinya, ia masih memikirkan hal itu.
Gagah	https://dictionary.basabali.org/Gagah	https://www.youtube.com/embed/W240dAt1qIY?	PETANI GAGAH: adalah petani yang berani ngarit dan nyuun padang gajah.	-	-
Gajih	https://dictionary.basabali.org/Gajih	https://www.youtube.com/embed/O_8rGtanne0?	Terus..masalah gajih nika kendalane. Akidik sajaan tiang polih gajih.	Also, the issue of salary is an obstacle. I only get a very small salary.	Terus..masalah gaji itu kendalanya. Sangat sedikit saya mendapat gaji.
Galah	https://dictionary.basabali.org/Galah	https://www.youtube.com/embed/B_Vht6KuRnY?	Suksma Bli, malih pidan tiang dados nyerahan poto? Napike wenten watas galah nyane?	Thank you Brother, when can I submit the pictures? Is there a deadline for this exhibition?	Terima kasih, Kak, kapan saya bisa menyerahkan foto? Apakah ada batas waktunya?
Galang	https://dictionary.basabali.org/Galang	https://www.youtube.com/embed/e03W9p-3EGc?	Yan di masane galang lan panes, nyak luung asilne. Yan nganyi di masan ujane liu masih ane usak tur bah kena angin.	When the weather is nice and sunny, the results are good. But when we harvest during the rainy season, most of the crops are ruined by being struck by the wind.	Pada waktu terang dan musim panas, mau bagus hasilnya. Kalau panen di musim hujan, banyak yang rusak dan roboh diterjang angin.
Galungan	https://dictionary.basabali.org/Galungan	https://www.youtube.com/embed/bL1N6DK8gdY?	Oh inggih, Bu. Mangkin ampun jagi matanding anggén Galungan. Suksma.	Oh, right, Mom, now I'll prepare offerings for Galungan. Thank you.	Oh, iya, Bu, sekarang akan menyiapkan sesajen untuk Galungan. Terima kasih.
Gambar	https://dictionary.basabali.org/Gambar	https://www.youtube.com/embed/LK2d_L08oXE?	Boni: Beli wenten ngadol gambar peta Sanur, nggih? Ketut: Wenten. Peta sane jangkep ajinne 22.000 (dua likur tali).	Boni: Brother, do you happen to sell the map of Sanur, yes? Ketut: I have. The folded map cost 22,000 (twenty-two thousands).	Boni: Kakak menjual peta daerah Sanur, ya? Ketut: Ada. Peta yang lengkap harganya 20.000 (dua puluh dua ribu).
Gambaran	https://dictionary.basabali.org/Gambaran	https://www.youtube.com/embed/JB5namRwZxk?	Oh, nika, sane biasane marupa gambaran wawayangan, sakadi sane wenten ring Kertagosa, Klungkung.	Oh, that, they are usually the pictures of puppetry that you see in Kertagosa, Klungkung.	Oh, itu, yang biasanya berupa gambar wewayangan, seperti yang ada di Kertagosa, Klungkung.
Gambelan	https://dictionary.basabali.org/Gambelan	https://www.youtube.com/embed/D9heY3HqGww?	"Niki Judulnyane “Biyuta rikala ngeruruh tirta ”. Tirta punika wantah tirta amerta. Yening sampun katusuk antuk lemat, nenten ja padem.” Made Sidia stata nuntun geginan masesolahan Sugi. “ nggih, yening ipun,…tiang boya..e..napi wastane.. Ngajum pianak tiang pedidi, pascat pisan, kenten. Kalintang pascatnyane akeh piranti kausak antuk ipun,haha. Arang madue sundih asiki anggena plalian usak,wayang....nanging tiang ten kenapi. Tiang ten merasa sungsut awinan nika wantah....pahan saking pascat ipun, nglimbak patut iraga korbanang, sujati. Benjang pungkur....sujatine akeh pisan pinunasnyane."" “Pikenehnyane wenten lelima. Kapertama ngedalang, kapingkalih masolah, kapingtiga magambel, kapingpat pikenehnyane jagi pentas dalang. Sane kapinglima pikenehnyane jagi dados bintang film, kenten.“ Pinaka Bapa, Made Sidia nenten naenin ngewatesin pikayun pianaknyane, sakewanten ipun tetep nyingakin lan nuntun Sugi. “Amangkinan tiang stata nyingakin Sugi, yadiastun ipun maka sami sampun...wah... gayanyane sampun sakadi sutradara. Kenten. Nanging tiang stata nyingakin mangda ipun sami mamargi dumun. Sampunang.... Magelis gelisan ke modern. Patutne sane tradisi dumun kuatang“"	“The title is “The conflict to find Tirta (holy water). This is the eternal water”. Made Sidia always support Sugi’s passion in arts. “I don’t meant to praise may own son. But he’s really creative. Because of his creativity, many ofmy wayang equipments were damaged. He has broken my lighting equipment, my wayang puppets, but it’s okay. I am not disappointed. Because it’s part of his creative growth. It need to sacrifice sometimes. And he has many dreams”. “My dreams are tobe dalang (wayang puppeteer), dancing, play gambelan music, have a great performance, and the last is to be movie actor”. As a father, Made sidia never restrain Sugi’s creativity. But he always control and direct Sugi. “I always put attention to Sugi. He act like was already a director. I have to keep him the right track. I want him to learn the traditional wayang before he learn the contemporary”.	"“Ini judulnya “Keributan Mencari Tirta”. Tirta itu adalah tirta tidak pernah mati. Kalau sudah ditusuk sama pisau,tidak pernah mati.” Made Sidia selalu mendukung aktivitas Sugi berkesenian. “ Iya, kalau dia,…saya bukan..e..apa namanya.. memuji anak saya sendiri, sangat kreatif sekali, begitu. Saking kreatifnya banyak alat-alat saya yang dirusak oleh dia, haha. Kadang-kadang punya lampu satu dimainkan rusak,wayangnya.. Tapi saya nggak apa. Saya tidak merasa sedih karena itu adalah…bagian dari kreatif dia, berkembang harus kita korban, memang. Nanti…memang dia itu sebenarnya maunya banyak sekali.” “Cita-citanya ada lima. Pertama, mendalang. Kedua,menari. Ketiga adalah main gambelan. Keempat, cita-citanya mau pentas dalang. Yang kelima, cita-citanya mau jadi bintang film, gitu. “ Sebagai ayah, Made Sidia tidak pernah membatasi kreativitas anaknya, walaupun ia tetap memantau dan mengarahkan Sugi. “Selama ini saya selalu kontrol Sugi,walaupun mereka sudah…wah,..gayanya sudah seperti seorang sutradara,gitu.tapi saya selalu kontrol agar mereka terarah dulu. Jangan.. keburu-buru yang kontemporer. Harus yang tradisi dulu yang kuat. """
