page_title	page_url	video_url	balinese	english	indonesian
I	https://dictionary.basabali.org/I	https://www.youtube.com/embed/d-W_0K2csNU?	Aa, uli i telun, anake suba manyi di umane ane badelodan.	Yes, since three days ago, they were harvesting at the southern rice field area.	Iya, sejak tiga hari lalu, orang sudah panen di ladang sebelah selatan.
Ia	https://dictionary.basabali.org/Ia	https://www.youtube.com/embed/MrOh5ScPiiA?	Kurenan mboke ngalahin ulihan kanker paru-paru nika. Ipidan ia demen gati maroko.	My husband passed away because of lung cancer. Before, he liked to smoke.	Suami kakak meninggal karena kanker paru-paru. Dulu almarhum senang sekali merokok.
Ibi	https://dictionary.basabali.org/Ibi	https://www.youtube.com/embed/v2zM8-SNhis?	Mara ibi pipisne ilang, buin manine sampine mati. I Made Lara buka tain sampine ujanan.	It was just yesterday when he lost his money, now his cow is also death. I Made Lara is like a cow dung left in the rain.	Baru kemarin uangnya hilang, esoknya sapinya mati. I Made Lara seperti kotoran sapi kehujanan.
Ibi sanja	https://dictionary.basabali.org/Ibi_sanja	https://www.youtube.com/embed/LbxTXqWKLqg?	Suba kadung ilang mas-masan ane mara beline ibi sanja, buka nuturang tuak labuh, sing ada gunane.	That set of gold accessories that was bought last night has been lost now, talking about it again is useless like talking about spilled palm wine (said of taking about something that has already happened and wishing it could be otherwise but not being able to do anything about it).	Sudah telanjur hilang seperangkat perhiasan emas yang dibelinya semalam, seperti menceritakan tuak jatuh, tidak ada gunanya.
Ibu	https://dictionary.basabali.org/Ibu	https://www.youtube.com/embed/8qddiDNyytY?	Sari: Rahajeng sore, Ibu. Bu Dayu: Rahajeng sore nika.	Sari: Good afternoon, Madam. Bu Dayu: Good afternoon.	Sari: Selamat sore, Ibu. Bu Dayu: Selamat sore.
Icang	https://dictionary.basabali.org/Icang	https://www.youtube.com/embed/_ZaCRSzDxFU?	Marasa tusing trima bukunne grudaga, Luh Ayu Manik lantas nyuti rupa dadi Luh Ayu Manik Mas sahasa nglawan raksasa-raksasane ento padidian. Saget celeng alase ngomong kene, “Ih, Luh Ayu Manik Mas! Adi icang tusing runguang? Telah uyak ngetnget lan tetani! Ne suba jani icang teken timpal-timpale pesu uling bukune. Inguh sajan icang jak timpal-timpale dini! Kalingan bakat baan maca, nyemak buku lan ngedasin dogen tusing maan! Saja percuma, yen ada manusa tuah nyimpen buku dogen nanging tuara ada keneh mamaca lan ngupa pira buku!!”	Unable to take any more of seeing her books being treated like this, Luh Ayu Manik transformed herself into Luh Ayu Manik Mas and prepared to fight the demons herself. The wild pig then said, “Hey, Luh Ayu Manik Mas. How come you don't pay us any attention? We are being eaten by moths and termites! So my friends and I have now decided to come out from these books. We are very unhappy being in this place. Not only are we not read, we're not even picked up and cleaned! What's the point of people just having books without any intention of reading or looking after them?”	Merasa tidak bisa menerima buku-bukunya dihancurkan, Luh Ayu Manik lalu berubah wujud menjadi Luh Ayu Manik Mas dan segera melawan raksasa-raksasa itu sendirian. Tiba-tiba babi hutan berkata begini, “Ih, Luh Ayu Manik Mas! Kenapa engkau tidak mempedulikanku? Semua habis dimakan ngengat dan rayap! Inilah sekarang aku dan teman-temanku keluar dari buku. Aku bersama teman-temanku gelisah sekali di tempat ini! Jangankan membaca, mengambil dan membersihkan saja tidak ada waktu! Percuma sekali jika ada manusia yang hanya menyimpan buku tanpa ada keinginan untuk membaca dan merawat buku!!”
Icen	https://dictionary.basabali.org/Icen	https://www.youtube.com/embed/jZMZowqnGNs?	Boni: Lamun kenten, kacang manten icen tiang abungkus, nggih? Ayu: Oh nggih, suksma. Boni: Sareng-sareng, Mbok.	Boni: In that case, can you give me a bag of peanuts? Okay? Ayu: Oh sure, thank you. Boni: You are welcome, Sister.	Boni: Kalau begitu, saya diberikan saja kacang sebungkus, ya? Ayu: Oh iya, terima kasih. Boni: Sama-sama, Kak.
Ida	https://dictionary.basabali.org/Ida	https://www.youtube.com/embed/q_m6l-scArk?	Raris, dugas pratisentana undagan kaping empat, wenten biyuta, sane ngawinang raris ida ngungsi ka jagat Buleleng.	Then, in the 4th generation, there was a separation, which lead to people to take refuge to Buleleng area.	Kemudian, saat keturunan keempat, terjadi perang, yang kemudian menyebabkan beliau mengungsi ke daerah Buleleng.
Idep	https://dictionary.basabali.org/Idep	https://www.youtube.com/embed/0F_V02Pb_aM?	Semadine ento pinaka jalan iraga nunggilan idep, apang cening nyidayang nepukin rasa bagia.	Meditation is one of many techniques to increase concentration, so you’ll achieve happiness.	Semadi itu seumpama jalan kita, menyatukan pikiran agar Ananda mampu menemukan rasa bahagia.
Idupanga	https://dictionary.basabali.org/Idupanga	https://www.youtube.com/embed/e0u-n65SVu4?	Disubane mulih uli sekolah dinane ento, ia tumben langsung mabalih tv. Sujatine ia tusing biasa mabalih tv teka uli sekolah. Ri kala tipine idupanga, dapetanga siarane tusing melah. Ia lantas nyemak rimut lan ngalih-alihin acara tipi ane melah. Ping telu nglecekang rimut, saget ia nepukin ada iklan di silih tunggil stasiun tipi. Isin iklane ento tuah apang krama Baline nguangin nganggon tas plastik. Apabuin jani suba ada peraturan ane ngatur unduke ento. Suud iklane ento, tipine matianga lantas ia masalin tur madaar.	When she got home from school that day, she decided to watch TV even though it was not usual for her to watch TV after school. When she turned the TV on, the program was not very interesting so she picked up the remote control and searched for a good program. She changed the channel three times and then she saw an ad on the station she was watching. The aim of the ad was to encourage Balinese people to reduce the use of plastic bags … particularly now that there are regulations in place. She turned the TV off after watching the ad, changed her clothes and then had something to eat.	Sepulangnya dari sekolah hari itu, tumben ia langsung menonton televisi. Tidak biasanya ia menonton televisi selepas sekolah. Saat televisinya dihidupkan, ia mendapati siaran yang tidak bagus. Ia lalu mengambil remot dan mencari-cari acara yang bagus. Tiga kali menekan remot, tiba-tiba ia melihat iklan di salah satu stasiun televisi. Isi iklan tersebut adalah agar warga Bali mengurangi penggunaan tas plastik. Apalagi sekarang sudah ada peraturan yang mengatur hal tersebut. Ia mematikan televisi seusai iklan itu. Lalu ia berganti pakaian dan makan.
