page_title	page_url	video_url	balinese	english	indonesian
Ja	https://dictionary.basabali.org/Ja	https://www.youtube.com/embed/BRI3mmm-RXk?	Putu: Ainggih,..e..wastan tiang I Putu Widastra. Tiang saking Selat Tengah, Susut, Bangli. E..geginan tiang sawai-wai nika, semengan,..tiang dados guru. Tapi tiang kari guru kontrak ring SMP Negeri Satu Atap, Satu Susut, sane wenten ring Desa Pengiangan. Baler driki. Kenten…. ampun dari pagi nika ngajahin, kenten. Yen ampun usan ngajahin nika, tiang balik, tiang ngukir, ngukir ring..ring Puri, sambil nyemak gae tambahan, kenten. Nggih, niki hasil-hasil tiange ngukir sakadi niki, nggih. Nggih, niki. Guna: oi becik, becik. Putu: Lenan (te)ken niki tiang…wenten malih keneh tiang sakadi ngukir-ngukir sanggah, biasane saka, kenten. Lambang-lambang bale nika, kenten, pikir tiang. Tapi tiang durung ja begitu bisa san niki ngukir. E….terus yen ampun sore, sekitar jam lima tiang laut ampun. Pun istirahat tiang. Yen ten, langsung tiang ke lapangan sareng timpal-timpal, mesepak bola nika. Sambil mekekedekan drika ring lapangane. Nggih, wantah asapunika, nggih. Guna: Inggih, suksma.	-	Putu: Iya,..e..nama saya I Putu Widastra. Saya berasal dari Selat Tengah, Susut, Bangli. E..kegiatan saya sehari-hari itu, pagi,..saya menjadi guru. Tapi saya masih guru kontrak di SMP Negeri Satu Atap, Satu Susut, yang ada di Desa Pengiangan. Di sini sebelah utara. Begitu…. sudah dari pagi mengajar, begitu. Kalau sudah selesai mengajar itu, saya balik, saya mengukir, mengukir di..di Puri, sambil mengambil pekerjaan tambahan, begitu. Iya, ini hasil-hasil saya mengukir seperti ini, ya. Ya, ini. Guna: oi bagus, bagus. Putu: Selain ini saya…ada lagi pikiran saya seperti mengukir sanggah, biasanya tiang, begitu. Lambang-lambang balai itu, begitu, pikir tiang. Tapi tiang belumlah begitu bisa sekali ini mengukir. E….terus kalau sudah sore, sekitar jam lima tiang selesai sudah bekerja. Sudah saya istirahat. Kalau tidak, langsung saya ke lapangan bersama teman-teman, main itu sepak bola. Sambil bergurau di sana di lapangan. Iya, demikian saja, ya. Guna: Iya, terima kasih.
Ja	https://dictionary.basabali.org/Ja	https://www.youtube.com/embed/kj6nIq_dmYs?	E..mudah-mudahan ja niki (a)pang wenten rejeki, kenten.	Eh...hopefully there will be a windfall in this.	E..mudah-mudahan saja ini agar ada rejeki, begitu.
Jaak	https://dictionary.basabali.org/Jaak	https://www.youtube.com/embed/1_FaUfly3d0?	Bokne jaak.	His/her hair is stiff.	Rambutnya kejur.
Jaan	https://dictionary.basabali.org/Jaan	https://www.youtube.com/embed/a-3-l5B42vQ?	Jaan sajan niki. Kentel rasan coklatne.	This is delicious; the taste of the chocolate is thick.	Enak sekali ini. Kental rasa coklatnya.
Jabag	https://dictionary.basabali.org/Jabag	https://www.youtube.com/embed/CdzGc2Rulv0?	Eda jabag ngraos ngiring anak lingsir.	Don't say harsh words to parents.	Jangan berkata-kata kasar terhadap orang tua.
Jabud	https://dictionary.basabali.org/Jabud	https://www.youtube.com/embed/LKSnsGMBfxY?	Jabud cariké.	Unplug the fields (from the cultivation).	Cabut sawah itu (dari penggarapannya).
Jadig	https://dictionary.basabali.org/Jadig	https://www.youtube.com/embed/gmkA-5rvPBA?	Ia jadig pesan.	He was very rude in his behavior and speechless.	Ia sangat kasar dalam tingkah laku dan berkata-kata.
Jadigina	https://dictionary.basabali.org/Jadigina	https://www.youtube.com/embed/tRWWWLxXeTM?	Ia jadigina.	He targets it in behavior.	Ia dikasarinya dalam tingkah laku.
Jadma	https://dictionary.basabali.org/Jadma	https://www.youtube.com/embed/qrB-Z_xEQAY?	I Belog sujatine masih makita pesan teken Ni Luh Sari, kewala tau teken jadma tuna, I Belog merasa lek teken padewekane.	Si Belog was actually very much attracted to Ni Luh Sari. However, knowing that he was person of little means, he felt rather ashamed about himself.	Si Belog sebenarnya juga tertarik sekali dengan Ni Luh Sari. Namun, tahu dirinya orang yang kurang keadaannya, Si Belog merasa malu dengan dirinya.
Jae	https://dictionary.basabali.org/Jae	https://www.youtube.com/embed/Glzk6v_U1U8?	Yening genit utawi gatel, kikih besik nyantos kalih jari jahe, isinin perasan juuk lengis, oles ring sajeroning awak sane genit utawi gatel	-	Bila gatal-gatal atau alergi, parut satu hingga dua jahe, campur dengan perasan jeruk nipis, oleskan di bagian tubuh yang gatal-gatal.
