page_title	page_url	video_url	balinese	english	indonesian
Ka	https://dictionary.basabali.org/Ka	https://www.youtube.com/embed/OHAw5Ejhrd0?	Ayu: Tiang mangkin jagi ka sekolah Widya Kumara. Tiang mapamit dumun nggih...? Wisnu: Nggih, rarisang.	Ayu: I am going to the Widya Kumara school. Please, excuse me...? Wisnu: Yes, go ahead.	Ayu: Saya sekarang hendak pergi ke sekolah Widya Kumara. Saya pamit dulu, ya...? Wisnu: Iya, silakan.
Kaabut	https://dictionary.basabali.org/Kaabut	https://www.youtube.com/embed/eLyHXJ3WkTY?	Padang kacabud bapa.	Grass removed by father.	Rumput dicabut oleh ayah.
Kaambil	https://dictionary.basabali.org/Kaambil	https://www.youtube.com/embed/h9kfZoSAxew?	Nggih, titiang mawasta I Made Yasana. Titiang dados prajuru ring adat Selat Tengah. E..sane mangkin titiang wenten rerincikan utawi jagi wewangunan nika ring Pura Penataran. Nika…e..polih dana…akedik ring pemerintahan. Punika taler timpalin antuk urunan ring krama. Nika sane jagi kaambil titiang.	OK … my name is I Wayan Yasana. I am an official in the village of Selat Tengah. Er .. now I have a plan or there will be some building in Pura Penataran . That … er … has got funding … a little from the government. So …. along with contributions from the community. That’s what I will bring.	Baik, nama saya I Made Yasana. Saya menjadi prajuru di adat Selat Tengah. E..sekarang saya ada perencanaan atau akan ada pembangunan itu di Pura Penataran. Itu…e..mendapat dana…sedikit di pemerintahan. Maka dari itu disertai dengan urunan dari warga. Itu yang akan saya ambil.
Kabagusan	https://dictionary.basabali.org/Kabagusan	https://www.youtube.com/embed/MQWQnAExeMQ?	Tusing tuah kabagusan ane anggona modal nglemesin anak luh ento. Buka ngitukang layah tan patulang, I Made Lana masih wanen mogbog, ngaku konden ngelah kurenan.	Not just his good looking that he used to seduce the woman. As twisting a spineless tongue, Made Lana was also telling a lie that he did not have a wife.	Bukan hanya ketampanan yang dipakai modal merayu perempuan itu. Seperti meliukkan lidah tak bertulang, Made Lana juga berani berbohong, mengaku belum punya istri.
Kabenengan	https://dictionary.basabali.org/Kabenengan	https://www.youtube.com/embed/prd0XHeoffo?	Kabenengan Beli sedeng liwat driki, ring pekene ngalih buah. Mara Beli inget, i pidan cepok dogen Beli taen mriki.	I just happen to pass by here by the market looking for fruit. I just remembered, I only came here once.	Kebetulan Kakak sedang lewat di pasar sini mencari buah. Baru Kakak ingat, dulu baru sekali saja Kakak pernah ke sini.
Kacang	https://dictionary.basabali.org/Kacang	https://www.youtube.com/embed/jZMZowqnGNs?	Boni: Lamun kenten, kacang manten icen tiang abungkus, nggih? Ayu: Oh nggih, suksma. Boni: Sareng-sareng, Mbok.	Boni: In that case, you can give me a bag of peanut, okay? Ayu: Oh sure, thank you. Boni: You are welcome, Sister.	Boni: Kalau begitu, saya diberikan saja kacang sebungkus, ya? Ayu: Oh iya, terima kasih. Boni: Sama-sama, Kak.
Kacip	https://dictionary.basabali.org/Kacip	https://www.youtube.com/embed/W0StNAzLhyk?	[Ibu makamben coklat]: Anggo wadah jaja sing kedas ia… [Ibu makamben putih]: Nguda sing nyak ngamah kacipne.., nah? Lumah! [Ibu makamben coklat]: Aa, nak mula lumah. [Ibu berkain putih]: Mih, ratu..	-	[Ibu berkain coklat]: Dipakai tempat kue, kan, bersih… [Ibu berkain putih]: kenapa tidak mau “makan” staplernya.., ya? Lekas sekali tumpul! [Ibu berkain coklat]: Iya, memang lekas majal. [Ibu berkain putih]: Ya, Tuhan..
Kacrita	https://dictionary.basabali.org/Kacrita	https://www.youtube.com/embed/v4to4iRc5IE?	"Kacrita murid-muride jani suba maan libur rainan Nyepi. Liang kenehne Luh Ayu Manik teken timpal-timpalne ulian maan libur, apabuin lakar maan mabalih ogoh-ogoh di Pangrupukanne. Semenganne ento, Luh Ayu Manik orahina teken memenne mablanja ka peken meli lakar banten anggon ngae caru di jumahne. Pekenne tusing ja joh, tuah di samping banjar paek umahne. Nanging, ulian apanga ada ajaka nutur di margane, ia lantas ngalih Putu Nita lan bareng-bareng majalan ka peken. Luh Ayu Manik masih tusing engsap ngaba tas kain anggo mablanja. Ia inget pabesen Pak Budi yening plastik ento bisa ngae gumine cemer. Suba neked di malun umahne Putu Nita, lantas Luh Ayu Manik kauk-kauk sambilanga dengak-dengok. ""Putu Nita, tiang Luh Ayu Manik. Lan mai bareng-bareng ka peken!"" keto Luh Ayu Manik ngaukin Putu Nita uli di pamesu panyengker umahne. ""Antiang malu, Luh! Tiang nyemak tas blanja malu,"" Putu Nia nyautin Luh Ayu Manik. Lantas Putu Nita pesu ngaba tas kain anggo wadah bablanjanne. “Mai, Luh, ne tiang masi suba ngaba tas kain anggon mablanja. Apang bedikan ada luu plastik.”"	"The students had a day off school because of the holy day called Nyepi. Luh Ayu Manik and her friends were happy because they were on holiday and they could watch the parade of ogoh-ogoh for Pangrupukan. That morning, Luh Ayu Manik was asked by her mother to go to the market to buy materials so she could make caru (banten kurban for a Balinese Hindu ceremony) at home. The market was not far away. It is next to the banjar near her house. However, so she could have a friend to chat to on the road, she went looking for Putu Nika to go to the market with her. Luh Ayu Manik remembered to take a cloth bag with her to the market. She remembered Pak Budi’s words about how plastic can pollute the environment. Arriving at the front of Putu Nita's house, Luh Ayu Manik called out while looking about. ""Putu Nita, it’s Luh Ayu Manik. Let’s go to the market together!” Luh Ayu Manik called Putu Nita from outside the fence. ""Wait a minute, Luh, I’ll get a shopping bag first,"" Putu Nia answered. Then Putu Nita appeared carrying a cloth bag for her shopping. ""Come on, Luh. I've also brought a cloth bag to reduce the amount of plastic waste."	Diceritakan murid-murid mendapat libur karena hari suci Nyepi. Luh Ayu Manik dan teman-temannya senang karena libur, apalagi nanti bisa menonton pawai ogoh-ogoh saat Pangrupukan. Pagi itu, Luh Ayu Manik disuruh ibunya berbelanja ke pasar membeli bahan banten untuk membuat caru (banten kurban dalam upacara Hindu Bali) di rumahnya. Pasar itu tidak jauh, hanya terletak di samping banjar dekat rumahnya. Akan tetapi, agar ada teman mengobrol di jalan, ia mencari Putu Nita untuk diajaknya bersama-sama ke pasar. Luh Ayu Manik tidak lupa membawa tas kain untuk berbelanja. Ia ingat pesan Pak Budi bahwa plastik bisa menyebabkan alam tercemar. Sesampainya di depan rumah Putu Nita, Luh Ayu Manik lalu memanggil-manggil sambil tolah-toleh. “Putu Nita, aku Luh Ayu Manik. Ayo bareng-bareng ke pasar!” Begitu Luh Ayu Manik memanggil Putu Nita dari luar pagar rumahnya. “Tunggu dulu, Luh, aku mengambil tas belanja dulu,” jawab Putu Nita. Lalu Putu Nita muncul membawa tas kain untuk wadah belanjaannya nanti. “Mari, Luh, ini aku juga sudah membawa tas kain untuk berbelanja. Biar mengurangi sampah plastik.
Kaden	https://dictionary.basabali.org/Kaden	https://www.youtube.com/embed/Z2eceBYfgzk?	Wayan: Wih, suksma niki. Kaden tiang Ayu sareng ke pasar. Ayu: Nenten.	Wayan: Wow, thank you. I thought you went to the market as well. Ayu: No.	Wayan: Wih, terima kasih. Saya kira Ayu ikut ke pasar. Ayu: Tidak.
Kadi	https://dictionary.basabali.org/Kadi	https://www.youtube.com/embed/MIdKJPefvTY?	Putra: Villa kadi niki manten sampun jangkep pisan dagingne. Tantri: Nggih, tiang jagi ngiring ragane ke vila.	Putra: This villa definitely is well equipped. Tantri: Yes, I will guide you to your villa.	Putra: Villa seperti ini saja sudah lengkap sekali fasilitasnya. Tantri: Iya, saya akan mengantar Anda ke villa.
