page_title	page_url	video_url	balinese	english	indonesian
Maabian	https://dictionary.basabali.org/Maabian	https://www.youtube.com/embed/bHQpGDaYwU0?	Wantah a..punika kegiatan tiang sehari-hari, sareng..napi..maabian napi ring carike.	-	Hanya a..itu kegiatan saya sehari-hari, dengan..apa..berkebun apa di sawah.
Maadan	https://dictionary.basabali.org/Maadan	https://www.youtube.com/embed/aOwZXnfK4fI?	Cang madan I Wayan Selamet. E..asal Banjar Selat Tengah. E..geginane sesai nyait, e..maubuhan kucit. Cang ngelah panak abesik, masuk SMP, di Songlandak, Satu Atap 1 Susut. E..geginan kurenan cang e ngukir bias selem.	My name is Ni Wayan Selamet .. er .. I'm from Banjar Selat Tengah .. er .. My day to day activities are sewing and .. er .. raising young pigs. I have one child .. in Junior High School in Songlandak, Satu Asap 1 Susut. My husband makes black sand carvings.	Saya bernama I Wayan Selamet. E..asal Banjar Selat Tengah. E..kegiatan sehari-hari menjahit, e..beternak anak babi. Saya punya anak satu, masuk SMP, di Songlandak, Satu Atap 1 Susut. E..kegiatan suami saya mengukir pasir hitam.
Maan	https://dictionary.basabali.org/Maan	https://www.youtube.com/embed/-zhUfPMLlpI?	Guna: Liu Pak maan e..magae nandur padi nika? Ketut: Beh..yen tiang awaine paling liu tiang maan nem dasa tali.	Guna: Do you earn a lot... err... from planting those rice seedlings? Ketut: Well... The most I could get is sixty thousands a day.	Guna: Banyak Pak dapat e..bekerja menanam benih padi itu? Ketut: Wah ..kalau saya seharinya paling banyak saya dapat enam puluh ribu.
Maan	https://dictionary.basabali.org/Maan	https://www.youtube.com/embed/MtQVrYGSVpU?	Bih, kenyel cara.. triplek awak tiange. Maan ngoyong awai jeg uug awak tiange.	Wow, I'm as tired as... a piece of plywood. For a day I suddenly felt myself coming apart at the seams.	Wah, lelah seperti.. triplek badan saya. Dapat diam sehari bisa-bisa spontan ”hancur” badan saya.
Maanggutan	https://dictionary.basabali.org/Maanggutan	https://www.youtube.com/embed/AmkKdSZ8zN0?	Yen nuju Saniscara kene, Luh Ayu Manik maan selah madaaran bareng-bareng tengaine ajak memenne. Disubane masalin baju, ia ngojog paon, memenne suba ngantiang ditu. Jemaka nasine, lan ia madaaran sambilanga nutur ajak memenne. Luh Ayu Manik ngorahang isin kenehne, yen Reditene buin mani ia dot nutug memenne ka Peken Anyar. Memenne maanggutan. Luh Ayu Manik girang kenehne. Suud madaaran ia cara biasane macelep ka Kamar 21.	On Saturdays, Luh Ayu Manik was able to have lunch with her mother. After changing out of her clothes, she went to the kitchen where her mother was waiting. She helped herself to some food and ate it while chatting with her mother. She told her mother of her plan to go to the market with her the following day, being a Sunday. Her mother nodded in approval. Luh Ayu Manik was so happy. After lunch she went to 'Room 21' as usual.	Pada hari Sabtu seperti ini, Luh Ayu Manik mendapat kesempatan untuk makan bersama dengan ibunya. Setelah mengganti baju, ia menuju dapur, ibunya telah menunggu di sana. Ia mengambil nasi, dan ia makan sambil bercerita dengan ibunya. Luh Ayu Manik menceritakan niatnya pada hari Minggu esok ia ingin mengikuti ibunya ke Pasar Anyar. Ibunya mengangguk. Luh Ayu Manik bahagia hatinya. Setelah makan, seperti biasa ia masuk ke Kamar 21.
Mabakti	https://dictionary.basabali.org/Mabakti	https://www.youtube.com/embed/fmi8_0vbo9M?	Tiang jagi tangkil mabakti malu.	I want to pray first.	Saya mau sembahyang dulu.
Mabanten	https://dictionary.basabali.org/Mabanten	https://www.youtube.com/embed/lT5SJAAc_8Q?	Annerie: Ibu, can you tell me what did you do this morning, before you came here? Ibu: Nyakan, mabanten nasi, nyampat, e..ngae persiapan untuk dagangan. Annerie: Suksma banget, Ibu. Ibu: Suksma mawali.	Annerie: Madam, can you tell me what you did this morning, before you came here? Ibu: I cooked rice, made offerings of rice, swept.. prepared things to swell. Annerie: Thanks very much, Madam.	Annerie: Ibu, bisakah beritahu saya apa yang Anda lakukan pagi ini, sebelum Anda datang kemari? Ibu: Menasak nasi, menghaturkan sesajen nasi, menyapu, e..membuat persiapan untuk dagangan. Annerie: Terima kasih sekali, Ibu. Ibu: Terima kasih kembali
Mabanten	https://dictionary.basabali.org/Mabanten	https://www.youtube.com/embed/vvJo9TI3Tac?	Ketut Santos Fernandez uli cerik jenek di Lampung. Uling cerik biasa tuturina ane serem-serem teken reramane. Gumi Bali ento tenget, kerana sabilang wai krama Baline jemet mabanten.	Ketut Santos Fernandez has lived in Lampung since he was a child. Since an early age his parents were always telling him about mystical things. The island of Bali is referred to as eery because every day, residents of Bali diligently perform prayers and offerings.	Ketut Santos Fernandez sejak kanak-kanak tinggal di Lampung. Semenjak usia dini selalu diceritakan hal yang mistis oleh orangtuanya. Pulau Bali disebut angker sebab setiap hari warga Bali rajin sembahyang dan menghaturkan banten.
Mabaos	https://dictionary.basabali.org/Mabaos	https://www.youtube.com/embed/XxGcl7lCVtA?	Tiang mabasa Bali ritatkala mabaos sareng rerama.	I speak Balinese when I talk with my parents.	Saya berbahasa Bali pada saat berbicara dengan orang tua dalam keluarga.
Mabasa	https://dictionary.basabali.org/Mabasa	https://www.youtube.com/embed/3j0z5DfYNgk?	Ha ha, nggih suksma, Beli. Tiang lakar ngae be siap masisit sareng sambel matah lan taluh mabasa genep.	Ha ha, yes, thank you, Brother. I am about to make shredded chicken with Balinese raw chili sauce and egg with Balinese seasoning.	Ayu: Ha ha, terima kasih, Kak. Saya hendak membuat ayam suwir dengan sambal matah dan telur berbumbu genep.
