page_title	page_url	video_url	balinese	english	indonesian
Naan	https://dictionary.basabali.org/Naan	https://www.youtube.com/embed/6O7POSwnPuM?	Bapa naan tiying penjoré, lantas tiang ané nyujukang.	Father held back the penjor bamboo, then I will build it.	Ayah menahan bambu penjornya, lalu saya yang akan mendirikanya.
Naanang	https://dictionary.basabali.org/Naanang	https://www.youtube.com/embed/lsdcCr5sNm4?	Suba mekelo I Dadong naanang sakit di limané ane lung dugasé nyelélés di ampiké.	For a long time my grandmother suffered from her a broken hand when she fell on the floor.	Sudah lama Nenek menahan sakit di tanganya yang patah ketika jatuh terpeleset di lantai.
Naar	https://dictionary.basabali.org/Naar	https://www.youtube.com/embed/y7sdhI4bQWM?	Dugas nulungin di umah anake nganten, I Made Sudiana ngorahang konden naar nasi sakewala suba naar tipat, krana basangne kaliwat seduk. Ia mula dueg mesuang isin kenehne nganggo geguyonan.	When helping someone who had wedding ceremony, Made Sudiana said he had not eaten rice but he ate 'ketupat', because he was starving. He was good at expressing what was in his mind through jokes.	Saat membantu di rumah orang yang punya hajat pernikahan, Made Sudiana mengatakan belum makan nasi tapi sudah makan ketupat, karena perutnya terlalu lapar. Ia memang pintar mengeluarkan isi hatinya dengan guyonan.
Nabahang	https://dictionary.basabali.org/Nabahang	https://www.youtube.com/embed/bi2BdcNdugo?	Titiang nabahang déwék ka alase wengine dibi ngrereh pianak titiange.	I ventured to go to the forest last night looking for my child.	Saya memberanikan diri ke hutan kemarin malam mencari anak saya.
Nabas	https://dictionary.basabali.org/Nabas	https://www.youtube.com/embed/Kwzwjtoz9pY?	Niang titiangé nabas entik-entikan liar ring tamané.	My grandmother flattened wild plants in the garden.	Nenek saya meratakan tumbuh-tumbuhan liar di kebun.
Nabeh	https://dictionary.basabali.org/Nabeh	https://www.youtube.com/embed/aQNF4WrQjc8?	I Bapa nabeh kori sanggahé ane retak ulian linuhé dibi sanja.	Father installed an amplifier on the ‘sanggah’ (temple building) which was caused by an earthquake last night.	Ayah memasang penguat pada candi sanggah (pura) yang retak diakibatkan oleh gempa semalam.
Nabeng	https://dictionary.basabali.org/Nabeng	https://www.youtube.com/embed/ErUCwQKUL0s?	I Bapa nabeng kubuné aji somi dibi sanja.	Father installed protective cover on his hut with straw yesterday afternoon.	Ayah mengaling gubuknya dengan jerami kemarin sore.
Nabengin	https://dictionary.basabali.org/Nabengin	https://www.youtube.com/embed/IdC2hwZIG9w?	I Bapa enu nabengin kubuné di carik apang luung biin lan dadi anggon tongos maembon yen tuun ujan.	Daddy was installing up a protective cover on the hut in the rice field to make it good again and could be used for shelter if it rained.	Ayah sedang mengalingi gubuk yang ada di sawah agar bagus kembali dan bisa dipakai untuk berteduh jika turun hujan.
Nabianin	https://dictionary.basabali.org/Nabianin	https://www.youtube.com/embed/Ale6Q97DDR8?	I Mémé nabianin luluh saténé apang lalahan bin agigis.	Mother gives chili the satay mixture to be slightly spicy.	Ibu memberi cabai adonan satenya agar sedikit pedas.
Nabingin	https://dictionary.basabali.org/Nabingin	https://www.youtube.com/embed/vsRu9shWWVE?	Dibi sanja tiang nulungin bapa nabingin bale badaja.	Yesterday I helped my father to instalation a wall of the building in the north side.	Kemarin sore saya membantu ayah memasangi dinding bangunan di sebelah utara.
