page_title	page_url	video_url	balinese	english	indonesian
Odalan	https://dictionary.basabali.org/Odalan	https://www.youtube.com/embed/ArEdeCUstSY?	Malih pidan Beli lakar nangkil muspa ring Pura Kawitane? Boya ke benjang jagi wenten odalan?	When do you plan to pray at the ancestor temple ? Will there be a ceremony tomorrow?	Kapan Kakak akan datang bersembahyang ke Pura Kawitan? Bukankah besok akan ada perayaan?
Oka	https://dictionary.basabali.org/Oka	https://www.youtube.com/embed/f4Ulq9bWsuk?	Om Swastiastu. E..wastan titiang Ni Wayan Sutari. Tiang saking Selat Tengah, Susut, Bangli. E..sarahina titiang.. maadolan niki di jumah titiange. Ngadol macem-macem nika, e..sembako, terus..e.. pakan ayam, jajan-jajanan anak-anak, snack-snack nika, minuman. E..terus…e..mangkin titiang ampun maduwe oka kalih, e..lanang istri...	Om Swastiastu. Err... my name is Ni Wayan Sutari. I'm from Selat Tengah, Susut, Bangli. Err.. everyday I... opening up a grocer at my place. Trading in a lot of things... err.. basic everyday needs, then... err.. chicken feed, kids nibbles, those snacks, soft drinks. Err.. then... err... I have two children at home, err... a boy and a girl...	Om Swastiastu. E..nama saya Ni Wayan Sutari. Saya berasal dari Selat Tengah, Susut, Bangli. E..sehari-hari saya.. berjualan ini di rumah saya. Berjualan macam-macam itu, e..sembako, terus..e.. pakan ayam, jajan-jajanan anak-anak, snack-snack itu, minuman. E..terus…e..sekarang saya sudah punya anak dua, e..laki perempuan...
Okokan	https://dictionary.basabali.org/Okokan	https://www.youtube.com/embed/aw7xG6CwtWU?	-	The group Brahma Diva Kencana uses okokan as a music instrument. They have performed several times at the Bali Art Festival (PKB). In 2021 with online streaming by Antida Music.	-
Olih	https://dictionary.basabali.org/Olih	https://www.youtube.com/embed/2-qx7B2iUU8?	Napi manten jenis seni tur gaya lukis sane kaanut olih pelukisne?	What are the artistic types and styles that the painters have?	Apa saja jenis seni dan gaya lukis yang dianut oleh para pelukis ini?
Om swastyastu	https://dictionary.basabali.org/Om_swastyastu	https://www.youtube.com/embed/daBL1UnIuws?	Om Swastyastu, Bli. Om Swastyastu.	Peace be with you, Brother. Peace be with you.	Om Swastyastu, Kak. Om Swastyastu.
Om swastyastu	https://dictionary.basabali.org/Om_swastyastu	https://www.youtube.com/embed/hlKgHBIubtk?	Om Swastyastu.	May everything is good on you with the grace of God	Semoga ada dalam keadaan baik/selamat atas karunia Tuhan.
Ombake	https://dictionary.basabali.org/Ombake	https://www.youtube.com/embed/lKpv0GAKeW0?	Luh Ayu Manik nundén timpal-timpalné apang tusing bas ka tengah macanda krana anginné baret tur ombaké gedé.	Luh Ayu Manik told her friends not to go too far out because of the strong winds and big waves.	Luh Ayu Manik menyarankan teman-temannya agar tidak terlalu ke tengah laut bermain karena angin kencang dan ombaknya besar.
Oneng	https://dictionary.basabali.org/Oneng	https://www.youtube.com/embed/br0tnWterVU?	Mangkin masyarakate sampun seneng tur oneng nglimbakang pertanian organik.	Nowadays, people enjoy and are knowledgeable about organic farming.	Sekarang masyarakat sudah suka dan senang mengembangkan pertanian organik.
Ongkos	https://dictionary.basabali.org/Ongkos	https://www.youtube.com/embed/sTlep9S2icg?	Genah tiange ring Jalan Seroja, gang Anggada nomer limolas. Ayu: Maal nika nggih ongkos taksine?	My place is at Seroja street, alley Anggada number fifteen. Ayu: Is the taxi's fare expensive?	Tempat saya di Jalan Seroja, gang Anggada nomor lima belas. Ayu: Mahal, tidak, ongkos taksinya?
Onyangan	https://dictionary.basabali.org/Onyangan	https://www.youtube.com/embed/yNj--W3ub1g?	Pragat cacada dogen montor bebekne I Wayan ane suba tua teken krama banjare. Sakewala, yen suba perlu onyang nagih nyilih sakitan kenehne. Buka pait-paitan kopine, liu anake demen.	Wayan's motorcycle is always mocked by the people at banjar because it's very old. But, when they need it, all of them wants to use it. Like there's a proverb says, even coffee is bitter, many people love it.	Motor bebeknya Wayan yang sudah tua selalu dicela oleh warga banjar. Akan tetapi, kalau sudah perlu, semua mau meminjam sesuka hatinya. Seperti pahit-pahitnya kopi, banyak orang yang suka.
Orahin	https://dictionary.basabali.org/Orahin	https://www.youtube.com/embed/TXzxCY4R8gk?	Dewi: Suba taen milu manyi satonden ene? I Luh: Tusing taen, Mbok. Jani tulung orahin tiang.	Dewi: Have you ever try harvesting before? I Luh: Never, sister. Would you please tell me how.	Dewi: Sudah pernah ikut memanen padi sebelumnya? I Luh: Belum pernah, Kak. Sekarang tolong beritahu saya.
Orahin	https://dictionary.basabali.org/Orahin	https://www.youtube.com/embed/gEGbRwb2NbQ?	Yen..nika ten bani tiang ngukum nika. Palingan lah o(rah)in secara halus nika.	If...this I dare not punish this. At least to counsel in a refined way.	Kalau..itu tidak berani saya itu menghukum. Setidaknya dinasihati secara halus itu.
Orahina	https://dictionary.basabali.org/Orahina	https://www.youtube.com/embed/2c7DSbByJ2A?	Disubane orahina teken Ni Bawang, ditu laut Ni Kesuna metu kenehne ane kaliwat loba. Dot ngelahang panganggo lan perhiasan ane bungah buka ane gelahang embokne.	After being told by Ni Bawang, Ni Kesuna got greedy. She also want to have exquisite clothes and accessories like the ones owned by her sister.	Sesudah diberitahu oleh Ni Bawang, di sana lantas keluar keinginan Ni Kesuna yang terlampau tamak. Ingin memiliki pakaian dan perhiasan yang mewah seperti yang dimiliki kakaknya.
