page_title	page_url	video_url	balinese	english	indonesian
Paane nyangkrik	https://dictionary.basabali.org/Paane_nyangkrik	https://www.youtube.com/embed/vI7Qlmcjr58?	Paané nyangkrik uli pidan.	His thigh is shaped like a thigh cricket from the past.	Pahanya berbentuk seperti paha jangkrik dari dulu.
Pacang	https://dictionary.basabali.org/Pacang	https://www.youtube.com/embed/gZ_E_3LZIWA?	Nggih, ring genah iriki wenten akeh katandur sarwa entikan sane pacang kaanggen lakar tamba.	Yes, in this place many plants are used as herbal medicine.	Iya, di tempat ini ada banyak ditanam bermacam tanaman yang akan digunakan sebagai bahan obat.
Pada	https://dictionary.basabali.org/Pada	https://www.youtube.com/embed/T0BkMwt9-64?	Pada girang maplalianan bias lan ombak.	They are all happy to play sand and waves.	Mereka semua riang gembira bermain pasir dan ombak.
Padalem	https://dictionary.basabali.org/Padalem	https://www.youtube.com/embed/a4Vm-lXBlOE?	Gus, enu truna jani. Lamun nyidaang, suud maroko, nggih? Pedalem pipise tur kesehatane.	Gus, you are still single now. If you can, please quit smoking, okay? Don’t you feel bad for your money and health?	Gus, sekarang masih bujang. Kalau bisa, berhenti merokok, ya? Kasihan uang dan kesehatannya.
Padang	https://dictionary.basabali.org/Padang	https://www.youtube.com/embed/9Sa-gCRqVZA?	Raris campurin baan serat kakao, tebihan don-donan, padang, miwah sane lianan.	And then mix it with cocoa fibers, shredded leaves, grass and other things.	Lalu campurkan dengan serat kakao, potongan daun-daunan, rumput, dan yang lainnya.
Padang jampi	https://dictionary.basabali.org/Padang_jampi	https://www.youtube.com/embed/V7n-peV9oIs?	Ia ngalih padang jampi.	He looked for a type of grass for drinking medicine.	Ia mencari jenis rumput untuk obat minum.
Padarman	https://dictionary.basabali.org/Padarman	https://www.youtube.com/embed/J1xtVuAw_K4?	Ayu: Kawitan tiange ring Padarman Kresna Kepakisan. Yoga: Oh, kenten.	Ayu: My ancestors came from Padarman Kresna Kepakisan. Yoga: Oh, really.	Ayu: Kawitan saya di Padarman Kresna Kepakisan. Yoga: Oh, begitu.
Paderep	https://dictionary.basabali.org/Paderep	https://www.youtube.com/embed/nP_WhT6IEj4?	I Luh: Nyanan yen tiang milu manyi, amongken maan duman? Adi: Pederep maan a kampil, yan tukang punuh maan sisan pederepe.	I Luh: If I help you harvesting, how much will I get? Adi: The main laborer would get 1 full sack of rice and the collectors will get the rest.	I Luh: Nanti kalau saya ikut panen, berapa dapat bagian? Adi: Buruh panen dapat satu karung, kalau buruh pungut sisa padi mendapat sisa dari buruh panen.
Padewekan	https://dictionary.basabali.org/Padewekan	https://www.youtube.com/embed/-Zueobv6OaQ?	Ento mawanan Meme lan Bapan Luhe ngajak malukat, apang I Luh nemu kasukan lan padewekan nirmala.	Therefore your mother and father urge you to perform purification, so that you will achieve happiness and a peaceful soul.	Itulah alasan Ibu dan Bapak I Luh mengajak malukat, agar I Luh memperoleh kebahagiaan dan kesucian diri.
Padi	https://dictionary.basabali.org/Padi	https://www.youtube.com/embed/pxx2sfCoH14?	Ne jani, isinin ngiune baan padi. Eda bes bek, nyanan telah ulung padine.	Now, fill the bamboo tray with rice, but don’t put too much, or a lot of rice will fall off later.	Sekarang, isi nyiru dengan gabah. Jangan terlalu banyak, nanti berjatuhan gabahnya.
Padidi	https://dictionary.basabali.org/Padidi	https://www.youtube.com/embed/Q64guwBhxEQ?	E..anggona ngidupin tiang padidi.	Eh...I use it to support myself.	E..dipakai menghidupi saya sendiri.
Padidian	https://dictionary.basabali.org/Padidian	https://www.youtube.com/embed/oU0eIWDhmMU?	Buka beruke takil I Gede Gerak, mapi-mapi mragatang wicaran banjare padidian.	Like a water pot from coconut shell. I Gede Gerak pretended to occupy himself with his own neighborhood’s problem.	Seperti beruk (kendi dari tempurung kelapa) terbungkus, I Gede Gerak berpura-pura menyelesaikan perkara banjarnya sendirian.
Paek	https://dictionary.basabali.org/Paek	https://www.youtube.com/embed/Ph94XJg4l0Y?	Linggah pesan bale bengonge niki, samalihne paek sareng segara.	What a spacious gazebo, and it is close to the beach.	Luas sekali bale bengong ini, dan juga dekat dengan pantai.
Paet	https://dictionary.basabali.org/Paet	https://www.youtube.com/embed/Zwnbh-Frupc?	Guna: Napi manten.. e.. perluang e yen nak ngukir nika, Pak? Ketut: Yen ngukir, yen ngadol nika kan kayu..kayu. Yen…paet, pangotok kan nika gen.	Guna; What is needed if someone wants to carve it, Sir? Ketut: If you carve, if you sell the wood...wood. If... you just need a chisel and hammer.	Guna: Apa saja e.. yang diperlukan.. e kalau orang mengukir itu, Pak? Ketut: Kalau mengukir, kalau jualan itu kan kayu..kayu. Kalau…pahat, palu kan itu saja.
Paica	https://dictionary.basabali.org/Paica	https://www.youtube.com/embed/vQSKjMdijOs?	Saiban utawi ngejot cihna rasa bagia lan suksma ring paican Ida Sang Hyang Widhi Wasa. Banten saiban biasané katurang nganggén daun pisang (mangkin sampun akéhan kramané nganggén canang) kadagingin nasi, tasik, lan ulam sané kakaryanin rahina punika. Banten saiban katurang ring palinggih, pelangkiran, genah nasi, gebeh utawi genah beras, ring sumur, ring bungut paon (puwaragan), lebuh, lan natar pakarangan.	-	Saiban atau ngejot sebagai wujud syukur atas apa yang diberikan Ida Hyang Widhi Wasa kepada kita. Biasanya banten saiban dihaturkan menggunakan daun pisang (sekarang banyak pakai canang) diisi nasi, garam, dan lauk pauk disajikan sesuai dengan yang dimasak hari itu. Banten saiban dihaturkan pada tempat sembahyang (palinggih, pelangkiran, dll), tempat nasi (terbuat dari sokasi, magic jar, dll), tempat penyimpanan beras, sumur, dapur, depan pintu masuk rumah, dan halaman rumah.
Paingkupan	https://dictionary.basabali.org/Paingkupan	https://www.youtube.com/embed/BI9LfU1-5xI?	Sampun wénten ring paingkupan.	Already in agreement.	Sudah ada di kesepakatan.
Pait	https://dictionary.basabali.org/Pait	https://www.youtube.com/embed/rK58dXNaCR8?	"""Kopi pait dogen, Luh, Beli gaenang. To di kenyem Iluhe, jemak gulane"". Wuih, apa greget cie? Tawang ci greget cange? Apa? Dibi cang magending. Terus engken? Sing mabayah!"	"""Black coffee, dear, made one for me. Your smile will be its sugar"". Wow … what’s up with you? You want to know what’s up with me? Yes … what? Yesterday … I sang. Yes … and …? I didn’t get paid!"	"""Kopi pahit saja, Dinda, Kakak dibuatkan. Itu di senyum Adinda, ambil gulanya"". Wuih, apa geregetmu? Kamu tahu apa geregetku? Apa? Kemarin aku menyanyi. Terus bagaimana? Tidak dibayar!"
