page_title	page_url	video_url	balinese	english	indonesian
Rabies	https://dictionary.basabali.org/Rabies	https://www.youtube.com/embed/9DjTagO0zdM?	Cihna asu sané keni rabies inggih punika paosné akéh, jejeh tekén toya lan galang, tur ngancan galak.	The characteristics of dogs affected by rabies are large amounts of saliva, fear of light and water, and more fierce.	Ciri-ciri anjing yang terkena rabies yaitu air liurnya banyak, takut dengan air dan cahaya, dan lebih galak.
Raga	https://dictionary.basabali.org/Raga	https://www.youtube.com/embed/vAoDTI21jLg?	...majalan becik ring angga sarirané, sané ngawinang anggané kenak , seger oger tur bayuné gedé.	...improve circulation in the body, which could maintain our stamina and keep our body fresh.	... menjadi bagus sirkulasinya di dalam tubuh yang mengakibatkan badan sehat, segar bugar dan tenaga kuat.
Ragane	https://dictionary.basabali.org/Ragane	https://www.youtube.com/embed/okp5IDBKraU?	Ayu: Ragane sira pesengane? Wisnu: Wastan titiang Wisnu. Ayu mawit saking napi? Ayu: Tiang saking Karangasem. Wisnu: Sampun sue deriki?	Ayu: What's your name? Wisnu: My name is Wisnu. Ayu, where are you from? Ayu: I am from Karangasem. Wisnu: How long have you been here?	Ayu: Siapa namanya? Wisnu: Nama saya Wisnu. Ayu asalnya dari mana? Ayu: Saya dari Karangasem. Wisnu: Sudah lama tingal di sini?
Rah	https://dictionary.basabali.org/Rah	https://www.youtube.com/embed/a0gO25b_4cY?	Tangan Idané akéh ngamedalang rah.	His hands were bleeding a lot.	Tangan Beliau banyak mengeluarkan darah.
Rahajeng	https://dictionary.basabali.org/Rahajeng	https://www.youtube.com/embed/DTwIO7JR9tg?	Putra: Om Swastiastu. Tantri: Om Swastiatu. Rahajeng rauh ring The Laguna Resort and Spa, Nusa Dua, Bali.	Putra: May peace be with you. Tantri: May peace be with you. Welcome to The Laguna Resort and Spa, Nusa Dua, Bali.	Putra: Om Swastiastu. Tantri: Om Swastiatu. Selamat datang di The Laguna Resort and Spa, Nusa Dua, Bali.
Rahina	https://dictionary.basabali.org/Rahina	https://www.youtube.com/embed/9OIDvsxCCSk?	Om Swastiastu. Nyanggra rahina Saraswati dinane mangkin, titiang makarya canang raka ajengan madaging raka, taluh, penek, lan saur, jaja, sekar amatra, lan kukus arum.	Peace, Happy Saraswati day, I have a canang raka (medium offering) containing food of eggs, fruits, dried grated coconut, cakes, some flowers, and kukus arum incense.	Om Swastyastu, Selamat hari raya Saraswati, saya disini membuat canang raka (persembahan sederhana) makanan berisi dari telur, aneka buah, kelapa parut kering, kue, bunga, dan dupa kukus arum.
Rahina	https://dictionary.basabali.org/Rahina	https://www.youtube.com/embed/3q72z0cefsY?	Om Swastiastu! Rahinane mangkin rahina Buda, pinanggal roras April kalih tali pitulas.	May everything is good on you with the grace of God! Today is Wednesday the twelfth of April two thousand and seventeen	Semoga ada dalam keadaan baik/selamat atas karunia Tuhan! Hari ini hari Rabu tanggal dua belas April dua ribu tujuh belas
Rainan	https://dictionary.basabali.org/Rainan	https://www.youtube.com/embed/k-1PjLtuyvs?	Sabilang rainan, makejang nyaman-nyaman tiange sareng mabakti mrika. Mih, Beli, kari maduwe babad sareng lelintihan punika?	Every temple ceremony, all of my family prays there. Wow, do you still have the Babad (ancient chronicle of family origin)?	Setiap hari raya, semua saudara-saudara saya sembahyang bersama-sama ke sana. Wah, Kakak, masih memiliki sejarah dan uraian ceritanya itu?
Raja	https://dictionary.basabali.org/Raja	https://www.youtube.com/embed/gyZSDOyGxsk?	Arya Tegeh Kori nika sane kapertama dadi raja ring Badung.	This Arya Tegeh Kori become the first king of Badung.	Arya Tegeh Kori itulah yang pertama jadi raja di Badung.
Raksasane	https://dictionary.basabali.org/Raksasane	https://www.youtube.com/embed/33nNYlChieI?	Uling ija kaden tekan anginne, jeg nglinus di tengah Kamar 21. Jejeh lantas ia ajaka makejang. Buku ane bacana saget magejeran lan makeber. Uli bukune ento pesu raksasa-raksasa ane gobane serem. Makesiab lan kabilbil timpal-timpalne Luh Ayu Manik sada makita malaib. Nanging, makejang mamegeng cara togog tusing bisa nindakang batis. Keto masih I Wayan ajak I Made makita mageluran ka sisi. Nanging bibihne macaket sing nyidaang ngomong. “Eda ngomong liu, tongosang ibane dini, ne ajak timpal nyaine!” Keto raksasane mamunyi bangras.	Who knows where it came from, but suddenly there was a strong wind which swirled around 'Room 21' and they were gripped with fear. The book they were reading shook and flew about the room. Horrid demons appeared from the pages of the book. Luh Ayu Manik’s friends were shocked and confused and wanted to run away. But they couldn’t move. They were like statues and couldn’t move their feet. Also I Wayan and I Made wanted to call out but their lips were sealed and they couldn’t speak. “Don't say anything – you will remain here … with your friends,” bellowed the demon.	Entah dari mana datangnya, angin kencang tiba-tiba berhembus di Kamar 21. Mereka semua ketakutan. Buku yang dibaca tiba-tiba bergetar dan terbang. Dari buku-buku itu keluarlah raksasa-raksasa yang rupanya seram. Teman-teman Luh Ayu Manik seketika terkejut dan bingung sembari ingin lari. Akan tetapi, mereka tidak bisa bergerak seperti patung, tidak bisa melangkahkan kaki. Begitu juga I Wayan dan I Made ingin berteriak ke luar, tetapi bibirnya terkatup tidak mampu berbicara. “Jangan banyak bicara, diamlah kalian di sini, ini ajak temanmu!” Ujar para raksasa tersebut kasar.
