page_title	page_url	video_url	balinese	english	indonesian
Saa	https://dictionary.basabali.org/Saa	https://www.youtube.com/embed/UskpfmNh_dY?	Lantang gati saa mémén tiangé dugas maturan di pura.	My mother's worship is very long when praying at the temple.	Panjang sekali doa pujaan ibu saya ketika bersembahyang di pura.
Saab	https://dictionary.basabali.org/Saab	https://www.youtube.com/embed/VQoiNMtZOcY?	Saab gelah mémén tiange misi gambar bunga mawarna barak.	My mother's movable food cover contains a picture of a red flower.	Tudung saji milik ibu saya berisi gambar bunga berwarna merah.
Saab bora	https://dictionary.basabali.org/Saab_bora	https://www.youtube.com/embed/1XOYu8SbhyU?	Jemakang mémé saab bora di balé badaja, Dé !	Bring me (mom) a large serving cover in the north room, De!	Ambilkan ibu tudung saji besar di ruangan sebelah utara, De !
Saab sari	https://dictionary.basabali.org/Saab_sari	https://www.youtube.com/embed/slC2vrJ5odw?	Dugas ka peken Kumbasari, mémé meli saab sari lalima.	When going to Kumbasari market, the mother bought five small serving caps made from palm leaves.	Ketika ke pasar Kumbasari, ibu membeli lima tudung saji kecil berbahan daun lontar.
Saabin	https://dictionary.basabali.org/Saabin	https://www.youtube.com/embed/qUuspvLnM4Q?	Saabin bantené apang tusing garang buyung.	Cover the offering so that it is not surrounded by flies.	Tudungi sajen itu agar tidak dikerubungi lalat.
Saabina	https://dictionary.basabali.org/Saabina	https://www.youtube.com/embed/CSzfOzZbo0I?	Bantené ento saabina aji saab mawarna selem.	The offering was covered by him using a black serving cover.	Sajen itu ditudungi olehnya menggunakan tudung saji berwarna hitam.
Saagan	https://dictionary.basabali.org/Saagan	https://www.youtube.com/embed/MotCId-t_t4?	Punduhang saagan ané ada ditu Luh, lan dini dum ajak makejang.	Gather offerings that have been offered at there Luh, let's share here together.	Kumpulkan sesajen yang telah dipersembahkan yang ada di sana Luh, mari bagi di sini bersama.
Saagang	https://dictionary.basabali.org/Saagang	https://www.youtube.com/embed/8YGfDY-QTao?	Lan jani saagang lungsuran bantené bareng-bareng.	Let's eat the offered offering together.	Mari makan sajen yang telah dipersembahkan itu bersama-sama.
Saak	https://dictionary.basabali.org/Saak	https://www.youtube.com/embed/QhgRDeXPsOs?	Ambengan di mukak umah tiangé saak.	The reeds in front of my house grew a lot.	Alang-alang di depan rumah saya tumbuh banyak.
Saakang	https://dictionary.basabali.org/Saakang	https://www.youtube.com/embed/KLOuQAQ2qz8?	Dé, bapa ngidih tulung tekén Madé. Saakang bibit jagungé di abian nah, Dé.	De, I (father) asked Made for help. Spread the corn seeds widely in the garden, De.	De, ayah minta tolong kepada Made. Sebar luaskan bibit jagung itu di kebun ya, De.
Saakanga	https://dictionary.basabali.org/Saakanga	https://www.youtube.com/embed/BUE2Lbx8qPA?	Bibit jagungé suba saakanga tuni semengan.	The corn seed had been disseminated by him this morning.	Bibit jagung itu sudah disebarluaskan olehnya tadi pagi.
Saang	https://dictionary.basabali.org/Saang	https://www.youtube.com/embed/GUZqFP9Xe1U?	Tiang lan mémé ngalih saang ka alasé.	My mother and I searched firewood for the forest.	Saya dan ibu mencari kayu bakar ke hutan.
Saang pamuun	https://dictionary.basabali.org/Saang_pamuun	https://www.youtube.com/embed/4-N1fQXXjSA?	Saang pamuun sampun kacumasiwang sadurung ngeseng layon.	The fire wood that had been roasted by the priest to ignite firstly had prepared before burning the corpse.	Kayu api yang dimantrai oleh pendeta untuk menyulut pertama kali sudah disiapkan sebelum membakar mayat.
Saang sulah	https://dictionary.basabali.org/Saang_sulah	https://www.youtube.com/embed/22qxNKnd6QM?	Tiang orahina meli saang sulah tekén mémé di peken.	I was told to buy white pepper by the mother on the market.	Saya disuruh membeli lada putih oleh ibu di pasar.
Saapan	https://dictionary.basabali.org/Saapan	https://www.youtube.com/embed/mlON7AA7OHY?	Ia saapan laut nigtig mejané ento.	He was suddenly angry then hit the table.	Dia marah dengan tiba-tiba lalu memukul meja itu.
Saat	https://dictionary.basabali.org/Saat	https://www.youtube.com/embed/o1qlRDv22Ho?	Keneh tiangé lakar megaé di kapal pesiar suba saat.	My intention to work at a cruise ship is enterprising	Kemauan saya akan bekerja di kapal pesiar sudah giat.
Saatang	https://dictionary.basabali.org/Saatang	https://www.youtube.com/embed/aUnDec8Wo2w?	Saatang megaé apang énggal pragat lan énggal mulih.	Try hard to get it over quickly and quickly go home.	Giatkan bekerja agar cepat selesai dan cepat pulang.
Saba	https://dictionary.basabali.org/Saba	https://www.youtube.com/embed/hAn4kD8udPc?	Para mantriné malinggih ring saba ning puri.	The ministers reside in areas outside the palace.	Para menteri bertempat tinggal di daerah luar istana.
Sabeng	https://dictionary.basabali.org/Sabeng	https://www.youtube.com/embed/p3guAupWs48?	Titiang sabéng puri yening wénten karya sané pacang kalaksanayang irika.	I often come to the palace if there is an event to be held there.	Saya sering datang ke istana jika ada acara yang akan diadakan di sana.
