page_title	page_url	video_url	balinese	english	indonesian
Taag	https://dictionary.basabali.org/Taag	https://www.youtube.com/embed/2McutEMANlk?	Dugasé magibung di Banjar, ulian waregné I Madé mesuang taag di malun anaké. Ngae lek tiang ane dadi beliné, anaké ngadénang tiang tusing taen ngajahin Adi ané madan tata krama.	When Magibung (a tradition of eating together) at Balai Banjar, I Made were belching in front of people. Makes me embarrassed as his brother, people think I have never educated my sister about manners.	Ketika magibung (tradisi makan bersama) di Balai Banjar, I Made mengeluarakan serdawa di depan orang-orang. Membuat saya malu sebagai kakaknya, orang-orang berfikir saya tidak pernah mendidik Adik tentang tata krama.
Taan	https://dictionary.basabali.org/Taan	https://www.youtube.com/embed/frvhhBxgivU?	Taan gigis tiying penjoré apang tusing makisidan.	Hold a little of that penjor bamboo so that it doesn't shift.	Tahan sedikit bambu penjor itu agar tidak bergeser.
Taana	https://dictionary.basabali.org/Taana	https://www.youtube.com/embed/PBjYrXVPy84?	Tiinge ento taana aji kayu apang tusing nglayut.	The bamboo is held by him using wood to prevent it from clinging.	Bambu itu ditahannya menggunakan kayu agar tidak bergayut.
Taanang	https://dictionary.basabali.org/Taanang	https://www.youtube.com/embed/P9KxRmBDhfk?	Taanang seduk basang cainé, buin akejep anak lakar maan magibung.	Bear your hungry feeling, people will magibung soon (the tradition of eating together).	Tahankan perutmu yang lapar, sebentar lagi orang akan magibung (tradisi makan bersama).
Taananga	https://dictionary.basabali.org/Taananga	https://www.youtube.com/embed/jhvMh1Op4c8?	Taananga seduk basangné ulian lek lakar ngidih nasi dini.	He bear his hungry stomach in shame to ask for rice here.	Ditahankanya perutnya yang lapar karena malu untuk meminta nasi di sini.
Taas	https://dictionary.basabali.org/Taas	https://www.youtube.com/embed/bB7tew8-_K8?	Telah taas don kayuné sabilang kena ujan abu Gunung Agung.	Many plants are fall when it’s exposed to the ash rain of Mount Agung.	Banyak tumbuhan gugur setiap terkena hujan abu Gunung Agung.
Taasang	https://dictionary.basabali.org/Taasang	https://www.youtube.com/embed/rV96j7hpKPg?	Taasang punyan kayuné ento apang iragé bakatang saangné.	Drop the tree so we get the firewood.	Gugurkan pohon itu agar kita dapatkan kayu bakarnya.
Taasanga	https://dictionary.basabali.org/Taasanga	https://www.youtube.com/embed/xTMFdOTxd9c?	Telah taasanga bungan jepun tiangé ane mara mentik ban siapné I Pekak.	All of my new frangipani flower were fallen by Grandpa's chicken.	Bunga kamboja saya yang baru tumbuh habis digugurkan oleh ayamnya Kakek.
Tabag	https://dictionary.basabali.org/Tabag	https://www.youtube.com/embed/6y9FzmhZE5o?	Luh, kaat malu jajane dadi limang tabag ! Jani Mémé enu nulukang saang di paon.	Luh, cut the cake first into five thick slices! Now Mother is turning on firewood in the kitchen.	Luh, potong dulu kue itu menjadi lima irisan yang tebal-tebal ! Sekarang Ibu sedang menghidupkan kayu bakar di dapur.
Tabah	https://dictionary.basabali.org/Tabah	https://www.youtube.com/embed/_rmGo5C6kqA?	Tabah sajan anak cenikné I Ketut menék punyan binginé ento, sing koné ia nawang madan takut?	How dare is Ketut’s son climb the banyan tree, doesn't he feel scared?	Berani sekali anaknya Si Ketut menaiki pohon beringin itu, tidakah ia merasa takut?
Tabahang	https://dictionary.basabali.org/Tabahang	https://www.youtube.com/embed/fe7TBOBjKrY?	Bapak Jokowi, yening dados titiang mabesen. Tabahang ragané ngelawan koruptor ring jagat Indonesiané puniki.	Mr. Jokowi, may I give a suggestion. Be brave against this corruptor in Indonesia.	Bapak Jokowi, bolehkah saya meberi saran. Beranikan dirimu melawan koruptor di negeri Indonesia ini.
Tabahina	https://dictionary.basabali.org/Tabahina	https://www.youtube.com/embed/zeFC_6_s598?	Kenyel tiang nuturin, ngewelang suba apang tusing keto buin. Nanging, solah Adiné tileh kaketo. Kerasa tabahina sajan beliné, sing ké ia ngelah rasa hormat agigis ken Beli.	I was tired of telling and scolding him so he wouldn’t like that anymore. But what, his brother’s behavior is still like that. It feels like he’s not respected at his brother at alla, doesn't he have the slightest respect with his brother.	Sudah capek saya memberitahukan, memarahi agar tidak seperti itu lagi. Tetapi apa, tingkah laku Adiknya masih seperti itu. Serasa tidak disegani sekali Kakaknya, tidakah ia punya rasa hormat sedikit pun dengan Kakaknya.
Tabas	https://dictionary.basabali.org/Tabas	https://www.youtube.com/embed/XL7mwAke3v0?	Aji, tabas ajebos kayuné punika, jagi anggen titiang ngarya kerajinan ring sekolah.	Daddy, please flatten that wood, I'll use it to make school ring crafts.	Ayah, ratakanlah kayu itu, akan saya pakai untuk membuat kerajinan ring sekolah.
Tabasa	https://dictionary.basabali.org/Tabasa	https://www.youtube.com/embed/kQjrXaHz1to?	Ento punyan biyuné I Mémé tabasa aji arit ken I Bapa.	That mother's banana tree flattened using sickle by father.	Pohon pisang ibu itu diratakanya menggunakan celurit oleh Bapak.
Tabasang	https://dictionary.basabali.org/Tabasang	https://www.youtube.com/embed/47OboNY7swg?	Tabasang lan getep-getep malu kayuné ento, nyanan lakar kaanggon saang ane tuh-tuh.	Flatten and cut the wood first, then dry-dry firewood will be used.	Ratakan dan potong-potong dulu kayu itu, nanti akan dipakai kayu bakar yang kering-kering.
Tabasanga	https://dictionary.basabali.org/Tabasanga	https://www.youtube.com/embed/k9vs_arTKbQ?	Tarune punika sampun tabasanga, sané mangkin rarisang ambil kayu jatiné punika.	The tree had been flattened, now please grab that teak wood.	Pohon itu sudah diratakanya, sekarang silahkan ambil kayu jatinya itu.
Tabasin	https://dictionary.basabali.org/Tabasin	https://www.youtube.com/embed/fENK9OqbkFQ?	Tabasin apang bersih kayuné énto, apang sing kanti natunin irage yen lakar majemak.	Flatten so that the wood is clean, so as not to hurt us when we take it.	Ratakan agar kayu itu bersih, agar tidak melukai kita saat akan mengambilnya.
Tabasina	https://dictionary.basabali.org/Tabasina	https://www.youtube.com/embed/MwPl8Ev_qoI?	Kayuné énto suba tabasina teken Bapan tianga, jani tuah nganggoné apang dadi Bale.	The wood has been flattened by my father, now I just have to process it into a bed.	Kayunya itu sudah diratakanya oleh bapak saya, sekarang tinggal mengolah agar menjadi sebuah ranjang.
