page_title	page_url	video_url	balinese	english	indonesian
Ubud	https://dictionary.basabali.org/Ubud	https://www.youtube.com/embed/AoyQAd1UuwY?	-	Ubud, one of my favorite places, is the cultural heart of Bali. Surrounded by rice terraces and paddies, there are temples and shrines at every step, people going about their daily devotions, ubiquitous statues and objects d'art and exquisite attention to detail everywhere. This video weaves together imagery of this fabulous place and is set to original music.	-
Ubuh	https://dictionary.basabali.org/Ubuh	https://www.youtube.com/embed/tQQWIotf3vg?	Ditu liu ade anak ubuh ane merluang biaya anggonne mesekolah.	There are a lot of orphans who need funds for their education there.	Di sana ada banyak anak yatim piatu yang memerlukan biaya untuk mereka bersekolah.
Ubuhan	https://dictionary.basabali.org/Ubuhan	https://www.youtube.com/embed/Z0cJLokGEhs?	Guna: Ada maubuh-ubuhan? Nengah: Nggih, wenten. Ubuhan tiang kalih. Wenten godel siki, sareng babi. E..asapunika…ke	Guna: Do you raise any animals? Nengah: Yes, I have some. I have two livestock. There are one calf, and a pig. Err.. That’s it… that’s all.	Guna: Ada beternak? Nengah: Ya, ada. Ternak saya dua. Ada anak sapi satu, dengan babi. E..begitu…
Udeng	https://dictionary.basabali.org/Udeng	https://www.youtube.com/embed/CzsL_VGovwU?	Udeng utawi destar pinaka ceciren krama Bali lan krama magama Hindu di Bali. Udeng kaanggen rikala ngayah adat lan ka pura. Udeng malecir kaanggen olih krama biasa, udeng masongko ceciren pamangku.	An udeng (Balinese) or destar (Indonesian) is a distinctive feature of Balinese people and of those Balinese whose religion is Hindu. An udeng is worn when undertaking volunteer work (ngayah) for the benefit of the community or when going to a temple. An udeng with its front part protruding is worn by ordinary people while an udeng in the shape of a turban is worn by pamangku (priests in the temple ... not priests from the Brahman caste).	Udeng atau destar merupakan ciri masyarakat Bali dan warga beragama Hindu di Bali. Udeng dipakai saat ngayah (kerja sukarela) untuk kepentingan adat dan ke Pura. Udeng dengan ujung tersembul dipakai oleh masyarakat umum, udeng yang dibentuk songkok menjadi cirinya pamangku (pendeta di Pura, bukan dari golongan Brahmana).
Ued	https://dictionary.basabali.org/Ued	https://www.youtube.com/embed/atOeB2o2b2I?	Nika mrajan Ayune, nggih? Ued saking Denpasar? Ring dija nika kawitane, Ayu?	That's your family kinship temple, right? Are you originally from Denpasar? Where are your ancestors from, Ayu?	Itu mrajan (tempat ibadah) Ayu, ya? Asalnya asli dari Denpasar? Di mana kawitan (pura asal leluhur), Ayu?
Uek	https://dictionary.basabali.org/Uek	https://www.youtube.com/embed/Axq9SpBzU-k?	Bes kaliwat ia metek kajelekan anake di pisaga kadi rasa tikeh uek tusing ada ngrambang.	He was too focused on his neighbor’s faults he don’t even realize his own bamboo mat has already out of use.	Terlalu berlebihan ia menghitung keburukan tetangga, bahkan tikar robek pun tidak dipedulikan.
Ujan	https://dictionary.basabali.org/Ujan	https://www.youtube.com/embed/1lcBWD05e9M?	Guna: Napi gen e..masalahne yen Pak mamula padi totonan? Ketut: Yen musim panes..payah ampun tiang. Musim ujan, malih payah, ten mrasidayang nandur musim ujan.	Guna: So ... what is the problem that you have planting rice? Ketut: In the dry (hot) season, I get really tired. In the wet season ... I get even more tired. .. I just can't plant rice in the wet season.	Guna: Apa saja e..masalahnya kalau Pak menanam padi itu? Ketut: Kalau musim panas..payah sudah saya. Musim hujan, lebih payah, tidak mampu menanam (saat) musim hujan.
Ujanan	https://dictionary.basabali.org/Ujanan	https://www.youtube.com/embed/JXi3iXjxgwA?	Buka becicane ujanan raos memene teken panakne, ane tusing seleg masuk.	Like a magpie caught under a downpour, mother scolds her child who like to skip school.	Seperti murai kehujanan bicara si Ibu pada anaknya yang tidak rajin sekolah.
Ujane	https://dictionary.basabali.org/Ujane	https://www.youtube.com/embed/vfHMHfpHZGA?	Neked di wantilan, ujané ulung mabriok.	After sheltering in the hall the rain began to pelt down.	Sesampai di wantilan, hujanpun turun.
Ujian	https://dictionary.basabali.org/Ujian	https://www.youtube.com/embed/-ZNEDwqEQ5Y?	Suud ujian tengah seméster, Luh Ayu Manik lan timpal-timpalné kémah di panepi siring.	When the midterm exam is over, Luh Ayu Manik and her friends camp on the beach.	Ketika ujian tengah semester selesai, Luh Ayu Manik bersama teman-temannya kemah di pantai.
