page_title	page_url	video_url	balinese	english	indonesian
Wacen	https://dictionary.basabali.org/Wacen	https://www.youtube.com/embed/1E4a6cGCLHY?	Indayang wacen dumun buku yoga puniki, mangda uning napi manten gerakan yoga sane patut plajahin.	Try to read this yoga book, you will understand which yoga movements should be learned.	Coba baca dulu buku yoga ini, agar tahu apa saja gerakan yoga yang patut dipelajari.
Wadah	https://dictionary.basabali.org/Wadah	https://www.youtube.com/embed/W0StNAzLhyk?	[Ibu makamben coklat]: Anggo wadah jaja sing kedas ia… [Ibu makamben putih]: Nguda sing nyak ngamah kacipne.., nah? Lumah! [Ibu makamben coklat]: Aa, nak mula lumah. [Ibu berkain putih]: Mih, Ratu..	-	[Ibu berkain coklat]: Dipakai tempat kue, kan, bersih… [Ibu berkain putih]: kenapa tidak mau “makan” staplernya.., ya? Lekas sekali tumpul! [Ibu berkain coklat]: Iya, memang lekas majal. [Ibu berkain putih]: Ya, Tuhan..
Wadahin	https://dictionary.basabali.org/Wadahin	https://www.youtube.com/embed/tm0H4KfrNvQ?	"Nuju semengan, Luh Ayu Manik ngenah bincuh ngalih-ngalihin apa kaden di paone. Memenne matakon, ""Ngalih apa, Luh?” “Ngalih plastik, Me, anggon wadah canang ane lakar aba tiang ke sekolah,” keto pasautne. ""Ning, sokasi cenik dogen wadahin, da nganggon plastik,"" keto memenne ngorahin. ""Plastik dogen wadahin, Me, apang aluh tiang ngaba, tusing repot,"" keto pasautne Luh Ayu Manik. Disubane makatang ane aliha, ia salanturne makinkin lakar luas ka sekolahne."	"One morning, Luh Ayu Manik was very busy looking for something in the kitchen. “What are you looking for, Luh?” her mother asked. “I’m looking for some plastic to wrap the offerings that I am taking to school” she replied. “My child, just use a small woven basket as a container … don’t use a plastic bag,” her mother advised. ""I’ll just use a plastic bag, Mom, so I can carry it easily with no problem,"" Luh Ayu Manik replied.  After finding what she was looking for, she got ready and left for school."	Pada suatu pagi, Luh Ayu Manik terlihat sibuk mencari-cari sesuatu di dapur. Ibunya bertanya, “Mencari apa, Luh?” “Mencari plastik, Bu, untuk membungkus canang yang akan saya bawa ke sekolah,” jawabnya. “Nak, sokasi kecil saja pakai sebagai wadah, jangan memakai plastik,” begitu ibunya menasihati. “Wadahi plastik saja, Bu, agar saya mudah membawanya, tidak repot,” demikian jawaban Luh Ayu Manik. Setelah menemukan yang dicarinya, ia pun bersiap-siap berangkat ke sekolah.
Waged	https://dictionary.basabali.org/Waged	https://www.youtube.com/embed/usxy_gJyun8?	Desa Kukuh Kecamatan Marga, Kabupaten Tabanan kasumbung ka mancanegari santukan kawentenan daya tarik wisata Alas Kedaton. Ring Desa Kukuh taler akeh wenten kerajinan ukir kayu. Kerajinan puniki nglimbak duk warsa 1992. Kerajinan puniki sampun dados industri. Akeh krama Kukuh, cerik kelih tua bajang, makarya ring ukiran kayu. Kerajinan puniki taler nglimbak ke pakubon warga. Sane ngukir nenten krama lanang kemanten. Krama istri akeh taler waged ngukir kayu. “Tiang ngukir uling SD. Tiang muruk jumah. Mbok tiang nguruka. Ngukir ringring maan upah 20 ribu. Sambilan ngempu nika.” Inggih, asapunika prasida atur uningayang titiang indik kawentenan seni ukir ring Desa Kukuh.	The village of Kukuh in the district of Marga is known throughout many countries because of the tourist attraction called Alas Kedaton. In Kukuh there is also a lot of woodcarving. Woodcarving started to become popular in 1992 and has since become an industry. Many in the village of Kukuh – children, adults, the elderly as well as adolescents – engage in woodcarving. And woodcarving has become a cottage industry i.e. carvings are done at home. It is not only men who do woodcarving. There are also many women who are good at carving wood. “I have been carving since Elementary School. I learned at home. My older sister taught me. Carving a ringring* gets me about twenty thousand Rupiah. I do it while looking after my children.” So that’s what I can tell you about the art of carving in Kukuh. •Elaborately carved decorative edges for buildings, often painted.	Desa Kukuh Kecamatan Marga, Kabupaten Tabanan terkenal ke mancanegara karena keberadaan daya tarik wisata Alas Kedaton. Di Desa Kukuh juga banyak terdapat kerajinan ukir kayu. Kerajinan ini meluas pada tahun 1992. Kerajinan ini sudah menjadi industri. Banyak warga Kukuh, kecil dewasa tua remaja, membuat ukiran kayu. Kerajinan ini juga meluas ke rumah warga. Yang mengukir bukan hanya warga laki-laki. Warga perempuan banyak juga pandai mengukir kayu. “Saya mengukir sedari SD. Saya belajar di rumah. Kakak perempuan saya yang mengajari saya. Mengukir ringring (ukiran tirai) mendapat upah 20 ribu. Itu sambil mengasuh anak.” Baik, demikianlah saya informasikan tentang keberadaan seni ukir di Desa Kukuh.
Wai	https://dictionary.basabali.org/Wai	https://www.youtube.com/embed/vvJo9TI3Tac?	Ketut Santos Fernandez uli cerik jenek di Lampung. Uling cerik biasa tuturina ane serem-serem teken reramane. Gumi Bali ento tenget, kerana sawilang wai krama Baline jemet mabanten.	Ketut Santos Fernandez has lived in Lampung since he was a child. Since an early age his parents were always telling him about mystical things. The island of Bali is referred to as eery because every day, residents of Bali diligently perform prayers and offerings.	Ketut Santos Fernandez sejak kanak-kanak tinggal di Lampung. Semenjak usia dini selalu diceritakan hal yang mistis oleh orangtuanya. Pulau Bali disebut angker sebab setiap hari warga Bali rajin sembahyang dan menghaturkan banten.
Wantah	https://dictionary.basabali.org/Wantah	https://www.youtube.com/embed/5xnjKpyXETE?	Om Swastiastu. Wastan tiang I Kadek Yoga Pratama. Tiang masekolah ring SMK Pariwisata Trisakti Tampak Siring. Geginan tiang sewai-wai wantah mengukir. Punika.	Om Swastiastu. My name is I Kadek Yoga Pratama. I go to Trisakti Tampak Siring Trade School of Tourism. What I do everyday is mostly carving. That’s it.	Om Swastiastu. Nama saya I Kadek Yoga Pratama. Saya bersekolah di SMK Pariwisata Trisakti Tampak Siring. Kegiatan saya sehari-hari hanya mengukir. Begitu.
Warih	https://dictionary.basabali.org/Warih	https://www.youtube.com/embed/rQKHY677lhU?	Saking irika lantas turun temurun warih idane nyentanayang ring pakarangan tiange.	Since then, generation after generation, he continued his legacy in my hometown.	Sejak saat itu secara turun temurun keturunan beliau berumah tangga di lingkungan rumah keluarga saya.
Warisan	https://dictionary.basabali.org/Warisan	https://www.youtube.com/embed/JDpLia5Fan0?	Basa warisan sane sampun…berabad-abad ring jagate. Angge pisan (basa Bali)!	Heritage language that centuries in the world. Use it (the Balinese language)!	Bahasa warisan yang sudah berabad-abad di dunia. Pakailah (bahasa Bali)!
Warsa	https://dictionary.basabali.org/Warsa	https://www.youtube.com/embed/usxy_gJyun8?	Desa Kukuh Kecamatan Marga, Kabupaten Tabanan kasumbung ka mancanegari santukan kawentenan daya tarik wisata Alas Kedaton. Ring Desa Kukuh taler akeh wenten kerajinan ukir kayu. Kerajinan puniki nglimbak duk warsa 1992. Kerajinan puniki sampun dados industri. Akeh krama Kukuh, cerik kelih tua bajang, makarya ring ukiran kayu. Kerajinan puniki taler nglimbak ke pakubon warga. Sane ngukir nenten krama lanang kemanten. Krama istri akeh taler waged ngukir kayu. “Tiang ngukir uling SD. Tiang muruk jumah. Mbok tiang nguruka. Ngukir ringring maan upah 20 ribu. Sambilan ngempu nika.” Inggih, asapunika prasida atur uningayang titiang indik kawentenan seni ukir ring Desa Kukuh.	The village of Kukuh in the district of Marga is known throughout many countries because of the tourist attraction called Alas Kedaton. In Kukuh there is also a lot of woodcarving. Woodcarving started to become popular in 1992 and has since become an industry. Many in the village of Kukuh – children, adults, the elderly as well as adolescents – engage in woodcarving. And woodcarving has become a cottage industry i.e. carvings are done at home. It is not only men who do woodcarving. There are also many women who are good at carving wood. “I have been carving since Elementary School. I learned at home. My older sister taught me. Carving a ringring* gets me about twenty thousand Rupiah. I do it while looking after my children.” So that’s what I can tell you about the art of carving in Kukuh. •Elaborately carved decorative edges for buildings, often painted.	Desa Kukuh Kecamatan Marga, Kabupaten Tabanan terkenal ke mancanegara karena keberadaan daya tarik wisata Alas Kedaton. Di Desa Kukuh juga banyak terdapat kerajinan ukir kayu. Kerajinan ini meluas pada tahun 1992. Kerajinan ini sudah menjadi industri. Banyak warga Kukuh, kecil dewasa tua remaja, membuat ukiran kayu. Kerajinan ini juga meluas ke rumah warga. Yang mengukir bukan hanya warga laki-laki. Warga perempuan banyak juga pandai mengukir kayu. “Saya mengukir sedari SD. Saya belajar di rumah. Kakak perempuan saya yang mengajari saya. Mengukir ringring (ukiran tirai) mendapat upah 20 ribu. Itu sambil mengasuh anak.” Baik, demikianlah saya informasikan tentang keberadaan seni ukir di Desa Kukuh.
Warsa	https://dictionary.basabali.org/Warsa	https://www.youtube.com/embed/R7wl-_oD3KQ?	Ong Swastyastu. Ida dane para pamiarsa sareng sami, rahajeng rauh ring video titiang puniki. Wastan titiang Ni Putu Ayu Suaningsih saking mahasiswa Sastra Bali Universitas Udayana semester 6. Rahinane mangkin nemonin tanggal selikur februari warsa kalih tali kalih dasa pinaka hari Bahasa Ibu Internasional, titiang pinaka mahasiswa sane malajahin basa Ibu saking Bali jagi ngaturang essai mabasa Bali sane mamurda Malajah saking Kidang miwah Cecek.	Ong Swastiyastu. Ladies and gentlemen (all the audience) welcome to my video. My name is Ni Putu Ayu Suaningsih from Bali Literature student at Udayana University 6th semester. Today is the twenty-first February of the year two thousand and twenty which is the International Mother Language Day, I as a student studying mother language from Bali will present a Balinese essay entitled, Learning from Deer and Geckos.	Ong Swastiyastu. Para pendengar sekalian, selamat datang di video saya ini. Nama saya Ni Putu Ayu Suaningsih dari mahasiswa Sastra Bali Universitas Udayana semester 6. Hari ini tanggal dua puluh satu Februari tahun dua ribu dua puluh yang merupakan hari Bahasa Ibu Internasional, saya sebagai mahasiswa yang mempelajari bahasa ibu dari Bali akan mempersembahkan essai berbahasa Bali yang berjudul Belajar dari Kijang dan Cicak.
