page_title	page_url	video_url	balinese	english	indonesian
Ba Duwur	https://dictionary.basabali.org/Ba_Duwur	https://www.youtube.com/embed/rATMTpJqBmM?	Ngilangang kenyelné, murid-muridé gendang gending menék gunung. Anginné nyirsir dingin nlusup tulang. Jalan ané entasin belig, makejang ajak tragia, tusing bani macanda. Ngeléng utawi ngléwa bisa makada labuh. Demen murid-muridé ningalin dusuné. Uling ba duwur tinglis tingalina umah kramané di padukuhan. Pasihé masih ngenah uling di bongkol gunungé. Di sisin alasé enu bet, kedisé nguci sahasa ngaturang panganjali tekén murid-muridé ané teka lakar nandur taru. Neked di tengah alasé, makejang ajak tangkejut. Alasé gundul. Uling di sisi ngenah bet nanging di tengah alasé benyah.	To overcome fatigue, the students sang songs on their hike up the mountain. A cold breeze chilled them to their bones. The way was slippery and the students took care, not willing to make light of the situation. If they were to lose concentration they were liable to fall. The students were happy to see the rural environment. From above, the houses of the village were clearly visible. The sea itself was visible from the base of the mountain. On the edge of the thick, still verdant forest, birds sang as though they were communicating with the students on their way to plant trees. On arriving in the forest they were all surprised - the forest had been clear felled! From outside of the forest all appeared verdant but once inside, the forest had been devastated.	Untuk menghilangkan lelah, murid-murid itu bernyanyi dalam perjalanan mendaki gunung. Angin sepoi-sepoi terasa dingin menyusup tulang. Jalan yang dilewati licin, semua anak berhati-hati, tidak berani bercanda. Jika teledor mereka bisa jatuh. Murid-murid itu senang melihat alam pedesaan. Dari atas, terlihat jelas rumah warga di desa. Lautpun kelihatan dari kaki gunung. Di sisi hutan yang masih rimbun, burung-burung bernyanyi seakan menyapa para murid yang datang untuk menanam pohon. Sampai di dalam hutan, semuanya terkejut. Ternyata hutan gundul. Dari luar tampak rimbun, tetapi di dalam keadaan hutan hancur.
Baan	https://dictionary.basabali.org/Baan	https://www.youtube.com/embed/pxx2sfCoH14?	Ne jani, isinin ngiune baan padi. Eda bes bek, nyanan telah ulung padine.	Now, fill the bamboo tray with rice, but don’t put too much, or a lot off rice will fall off late.	Sekarang, isi nyiru dengan gabah. Jangan terlalu banyak, nanti berjatuhan gabahnya.
Baana	https://dictionary.basabali.org/Baana	https://www.youtube.com/embed/IUVBEMKZnls?	Lantas ajaka telu bareng-bareng mamaca ensiklopedia ento. Suba pragat baana mamaca bukune ento, makita lantas I Wayan nyemak buku len ane ada duur rak ane paling siduur. Bukune ento suba daki, buina usak brengbeng. Ngenah sajan bukune ento tusing taen apikanga. Makita lantas Luh Ayu Manik lan timpal-timpalne mamaca bukune ento. Mara kebit-kebitanga bukune ento misi gambaran ane aeng lan misi rerajahan. Jejeh ajaka papat mamaca bukune ento.	They all sat down and read the encyclopedia together. After finishing with that book, I Wayan reached for another book from the highest shelf. The book was covered in dust and tattered and clearly had never been looked after. Luh Ayu Manik and her friends all wanted to look inside it. But when they opened it, they saw that it contained scary images and sacred writings in Balinese script. They were too scared to read that book.	Mereka bertiga lalu ikut membaca ensiklopedia tersebut. Setelah selesai membaca buku itu, I Wayan lalu ingin mengambil buku lain yang ada di rak paling atas. Buku itu sudah kumal, rusak dan robek. Terlihat sekali buku itu tidak pernah dirawat. Luh Ayu Manik bersama teman-temannya ingin membaca buku itu. Setelah dibuka-buka, buku tersebut berisi gambaran yang seram dan aksara suci. Mereka berempat takut membaca buku tersebut.
Baang	https://dictionary.basabali.org/Baang	https://www.youtube.com/embed/D8P6A46-bZg?	Nah, suba pitung tali gen. Baang lebihan bedik, nah?	Okay, seven thousand is a deal. Just give me a few extra, okay?	Ya, sudah tujuh ribu saja. Kasih lebih sedikit, ya?
Baas	https://dictionary.basabali.org/Baas	https://www.youtube.com/embed/x_vpM8RRgu0?	BSBB…..Ne busung, ne semat… Aah….dadi canang. Ne busung, ne baas… Aah dadi tipat. Busung-semat, baas-bu..busung….aah…be..busung-baas-semat-busung! Busung semat baas busung!.....Nyak rasane, nah..	BSBB…..This is busung (immature coconut leaf), this is semat (tiny stick made from bamboo)… Aah….become canang (an offerings made from configuration of flowers with a special form of coconut leaf as its base). This is busung, this is rice… Aah become tipat (a kind of food made of cooked rice in an immature coconut leaf). Busung-semat, rice-bu..busung….aah…be..busung-rice-semat-busung! Busung semat rice busung!.....Seems ok, right..	BSBB…..Ini janur, ini biting… Aah….jadi canang (persembahan berupa rangkaian bunga dengan wadah janur yang dibentuk sedemikian rupa) . Ini janur, ini beras… Aah jadi ketupat. Janur-biting, beras-ja..janur….aah…je..janur-beras-biting-janur! Janur biting beras janur!.....Mau rasanya, ya..
Baat	https://dictionary.basabali.org/Baat	https://www.youtube.com/embed/U624hqJhUhk?	Yening tiang meled ngirangin baat awak tiange, napi tambane?	If I would like to lose weight, what is the medicine?	Kalau saya ingin mengurangi berat badan, apa obatnya?
Babad	https://dictionary.basabali.org/Babad	https://www.youtube.com/embed/k-1PjLtuyvs?	Sabilang rainan, makejang nyaman-nyaman tiange sareng mabakti mrika. Mih, Beli, kari maduwe babad sareng lelintihan punika?	Every temple ceremony, all of my family prays there. Wow, do you still have the Babad (ancient chronicle of family origin)?	Setiap hari raya, semua saudara-saudara saya sembahyang bersama-sama ke sana. Wah, Kakak, masih memiliki sejarah dan uraian ceritanya itu?
Babak belur	https://dictionary.basabali.org/Babak_belur	https://www.youtube.com/embed/XaeKdE2tSBQ?	Krana ento lantas Ni Kesuna ngorahin memene nigtig ukudane apang kanti babak belur. Sasubane katigtig lantas ia ngeling sengu-sengu ka tukade, katemu teken I kedis crukcuk kuning.	That’s why, Ni Kesuna told her mother to beat her up until she was covered in bruises. After that, she went away crying, and met with the yellow vented bulbul (songbird).	Oleh karena itu, lalu Ni Kesuna memberitahu ibunya untuk memukulinya agar sampai babak belur. Sesudah dipukuli, lantas ia menangis tersedu-sedu, bertemu dengan burung merbah kuning.
Babedag	https://dictionary.basabali.org/Babedag	https://www.youtube.com/embed/uBw4uwyxiWI?	Om Swastiastu, semeton sareng sami. Sane mangkin ngiring sareng-sareng mlajah adan-adan panak beburon. Sane kapertama, panak siap madan pitik, panak bebek madan memeri. Salanturnyane panak jaran madan babedag, panak kambing madan wiwi. Salanturnyane panak sampi madan godel, panak kebo madan bedigal. Salanturnyane panak bangkung madan kucit, panak cicing madan konyong. Salanturnyane panak meong madan tai, panak bikul madan nyingnying, Salanturnyane panak penyu madan tukik, panak katak madan becing-becing. Salanturnyane panak udang madan testes, panak yuyu madan utung-utung. Inggih, suksma. Om Shanti Shanti Shanti Om. Titiang wawu malajah. Kirang langkung nunas ampura.	Om Swastiastu to all of you. Now let’s together learn the names of baby animals. Firstly, baby chickens are called pitik (chicks) and baby ducks are called memeri (ducklings). Next, baby horses are called babedag (foals) and baby goats are called wiwi (kids). Next, baby cows are called godel (calves) and baby buffalo are called bedigal (calves). Next, baby pigs are called kucit (piglets) and baby dogs are called konyong (puppies). Baby cats are called tai (kittens) and baby mice are called nyingnying (pups). Next, baby turtles are called tukik (hatchlings) and baby frogs are called becing-becing (tadpoles). Finally, baby prawns are called testes (shrimp) and baby crabs are called utung-utung (larvae). Om Shant Shanti Shanti Om. I am just learning. I apologise for any errors.	Om Swastiastu, saudara sekalian. Sekarang mari bersama-sama belajar nama-nama anak binatang. Yang pertama, anak ayam dinamakan pitik, anak bebek dinamakan memeri. Selanjutnya anak kuda dinamakan babedag, anak kambing dinamakan wiwi. Selanjutnya anak sapi dinamakan godel, anak kerbau dinamakan bedigal. Selanjutnya anak babi dinamakan kucit, anak anjing dinamakan konyong. Selanjutnya anak kucing dinamakan tai, anak tikus dinamakan nyingnying, Selanjutnya anak penyu dinamakan tukik, anak katak dinamakan becing-becing. Selanjutnya anak udang dinamakan testes, anak ketam dinamakan utung-utung. Iya, terima kasih. Om Shanti Shanti Shanti Om. Saya baru belajar. Kurang lebihnya mohon maaf.
Bablanjan	https://dictionary.basabali.org/Bablanjan	https://www.youtube.com/embed/OYrei3SbgWs?	Sambilanga madaar ia ngenehang apa ane makada musti nguangin nganggon plastik. Yadiastun ia masih mapineh plastik ento liu kawigunane, umpamine anggon wadah bablanjan lan anggon wadah canang ri kala Purnama ka sekolah. Buina nganggon plastik liu ngaenang gaene elahan. Tusing perlu repot, disubane suud nganggon lantas entungang dogen ka tong sampahe. Kanti nasine telah, ia masih enu ngenehang unduke ento.	While she was eating, she thought of reasons why she should use less plastic … even though she thought that plastic had many uses, for example, as a bag for carrying shopping and as a container for taking offerings to school when there is a full moon. Furthermore, using plastic makes work easier. No fuss … after you have used it, you just throw it in the trash. She thought about such things all the way through her meal.	Sambil makan ia memikirkan alasan harus mengurangi penggunaan plastik. Meski menurutnya plastik itu banyak gunanya, misalnya untuk wadah barang-barang ketika berbelanja dan sebagai tempat canang ke sekolah saat Purnama. Tambahan pula, plastik membuat pekerjaan lebih mudah. Tidak perlu repot. Selesai dipakai, tinggal buang saja ke tong sampah. Sampai habis nasinya, ia masih memikirkan hal itu.
