page_title	page_url	video_url	balinese	english	indonesian
Dadaaran	https://dictionary.basabali.org/Dadaaran	https://www.youtube.com/embed/uQbcqOPA2_c?	Ayu: Apa buin lakar ajengane ento misi taluh mabasa genep. Yoga: Apa maadan dedaaran keto, Yu?	Ayu: Especially when the egg with the complete seasonings are included. Yoga: What kind of food is that?	Ayu: Apa lagi kalau makanan tersebut ditambah telur berbumbu genep. Yoga: Makanan apa yang dinamakan begitu, Yu?
Dadaaran	https://dictionary.basabali.org/Dadaaran	https://www.youtube.com/embed/AsgzAMmgZf8?	Dedaarane jeg jaan-jaan.	The important thing is that the food is delicious.	Makanannya pokoknya enak-enak.
Dadi	https://dictionary.basabali.org/Dadi	https://www.youtube.com/embed/KgfCP5S3GII?	Yoga: Adi, nak ngudiang dadi dini? Adi: Tiang jagi mabakti ring purane driki.	Yoga: Hey Adi, what are you doing here? Adi: I am going to pray at the temple here	-
Dadi	https://dictionary.basabali.org/Dadi	https://www.youtube.com/embed/H6uvnPsPifI?	Dadine, makejang soroh pepineh lan laksanan i ragane ane jele lakar kalukat apang dadi nirmala. Keto, Mbok?	Does that mean, all of the bad thoughts and deeds will be purified so that we become pure. Is that right, Sister?	Berarti, semua macam pikiran dan perbuatan kita yang buruk akan dibersihkan agar menjadi suci. Begitu, Kak?
Dadiang	https://dictionary.basabali.org/Dadiang	https://www.youtube.com/embed/pbtFzE1qSKU?	Yoga: Dadi Beli ngoopin Ayu ngaenin? Ayu: Ne, Beli, sibak dadiang dua taluhe ane suba mlablab ento.	Yoga: Can I help you? Ayu: Here, slice the hard boiled eggs in half.	Yoga: Bolehkah Kakak membantu Ayu membuatnya? Ayu: Ini, Kak, bagi dua telur yang sudah direbus itu.
Dadong	https://dictionary.basabali.org/Dadong	https://www.youtube.com/embed/GgWDPUTecp0?	… galau dadongne	Grandma is confused.	Nenek Galau.
Dados	https://dictionary.basabali.org/Dados	https://www.youtube.com/embed/NsP-DgJDKlw?	Kegiatan titiang sehari-hari dados tukang jahit. Tiang uli cenik sampun melajah dados tukang jahit. Pengalaman titiang dados tukang jahit ampun makideh-kidehan polih.. jahit kebaya polih, jahit kaos polih, e..jahit baju pantai polih.	My daily activity is tayloring. I have been learning to taylor since I was young. My tayloring experience is wide... I can sew kebaya, I can sew pants, ah ... I am excellent at sewing shirts.	Kegiatan saya sehari-hari menjadi tukang jahit. Saya sedari kecil sudah belajar menjadi tukang jahit. Pengalaman saya menjadi tukang jahit sudah ke mana-mana bisa.. jahit kebaya bisa, jahit kaos bisa, e..jahit baju pantai bisa.
Dados	https://dictionary.basabali.org/Dados	https://www.youtube.com/embed/c5TmGtTH4eE?	Adi: Peh, becik pisan punika. Dados titiang sareng pameran nika, Beli? Yoga: Dadi, ngudiang sing?	Adi: Gosh, that's very good. May I join that exhibition (Lit. Brother, may I join that exhibition)? Yoga: You may, why not?	Adi: Wah, bagus sekali itu. Boleh saya ikut dalam pameran itu, Kak? Yoga: Boleh, kenapa tidak?
Dados	https://dictionary.basabali.org/Dados	https://www.youtube.com/embed/frrqCMrpN9w?	Yen tiang dados supir pariwisata, asik.	If I become a tourist driver it would be great!	Kalau saya menjadi sopir pariwisata, asik!
Dados	https://dictionary.basabali.org/Dados	https://www.youtube.com/embed/8w5cocL2ZJ0?	Gek: Anak bajang sane jagi matumbasan canang. Ibuk: Anak istri sane madolan canang ring pasar. Gek : Om Swastiastu, numbas canang sari nika, Buk. Ibuk : Kuda ngrereh Gek? Gek : Lima (5) manten nggih. Ibuk : Niki lima (5) Rp. 15.000 Gek : Niki Bu. (nyukserahang jinah) Ibuk : Jagi lunga kija niki? Gek : Tiang jagi nangkil ka pura Besakih. Niki ten wenten kresek, Buk? Ibuk : Badah ! Engken Gek ne? Ten uning kresek nika nak ngae leteh. Ten dados makta kresek ka pura. Gek : Nggih, jakti nika. Sukma niki. Ibuk : Nah, kenten kan jegeg. Gek : Ngiring, Buk.	Gek: teenagers who will buy canang. Ibu : a woman who sells canang on the market. Gek: Om Swastiastu, want to buy canang sari, ma'am. Ibu : How much do you want to buy? Ge: Five, Mom Ibu : These five canang cost Rp. 15,000 Gek: This is, ma'am. (give money) Ibu : Where do you want to go? Gek: I will go to the Besakih temple. No crackle bag, ma'am? Ibu : Geez, whats wrong with you, don't you know if the crackle bag makes it dirty? You can't bring a crackle bag to the temple. Gek: Yeah, that's right. thanks. Ibu : Well, that's beautiful. Gek: Come on, ma'am.	Gek: remaja yang akan membeli canang. Ibu: perempuan yang menjual canang di pasar. Gek : Om Swastiastu, mau beli canang sari, Bu. Ibu : Mau beli berapa? Ge : Lima buah saja, Bu Ibu : Ini lima buah harganya Rp 15.000,- Gek : Ini, Bu. (nyukserahang jinah) Ibu : Mau pergi kemana ini? Gek : Saya akan pergi ke pura Besakih. Tidak ada tas kresek, Bu? Ibu : Waduh, bagaimana sih Gek ini, tidak tahu ya kalau tas kresek itu membuat kotor? Kan tidak boleh membawa tas kresek ke pura. Gek : Iya, benar itu. Terima kasih. Ibu : Nah, begitu kan cantik. Gek : Mari, Bu.
